SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0,100,20,0,48.02,72.76,7.22,32.70791693486136,16.810206241030798,11.323998036345357
2,0,85,20,0,54.16,60.8,5.82,36.96180062950952,22.125585567263922,15.747644430073668
3,0,70,20,0,60.64,48.8,5.74,42.04182200438282,28.839818344335566,20.83024560858486
4,0,55,20,0,67.35,37.17,6.84,48.06062992021497,37.097346355875075,26.446594387261676
5,0,40,20,0,74.27,25.94,8.78,55.14672783759634,47.12554216828027,32.67132227581443
6,0,30,20,0,78.94,18.77,10.36,60.47551626395969,54.82437816382385,37.18373164754971
7,0,20,20,0,83.69,11.78,12.27,66.3734108111682,63.47180082523114,41.9420021673716
8,0,10,20,0,88.52,5.1,14.57,72.95693374530839,73.1516683627865,46.875482330418706
9,0,0,20,0,93.38,-1.32,17.0,80.16098056742565,83.8377837903358,52.110065196757226
10,0,100,10,0,48.02,73.81,2.57,33.00426919163924,16.810206241030798,12.925379368628954
11,0,85,10,0,54.28,62.08,0.19,37.513199204601314,22.239309086063386,18.26590651362982
12,0,70,10,0,60.88,50.11,-0.59,42.82656496835089,29.111605428676864,24.34540619548897
13,0,55,10,0,67.77,38.39,-0.11,49.171194486196136,37.660976684737484,31.149277023780236
14,0,40,10,0,74.84,27.11,1.26,56.60514344926261,48.02389811390381,38.68101988933609
15,0,30,10,0,79.6,19.91,2.51,62.18045887944582,55.975722661855755,44.113470142876054
16,0,20,10,0,84.42,12.93,4.03,68.3302082857589,64.87639112971011,49.8845918997603
17,0,10,10,0,89.3,6.17,5.84,75.10680269557932,74.80164450418222,55.95987243075306
18,0,0,10,0,94.21,-0.25,7.94,82.56183340722161,85.76084263531969,62.26464118437302
19,0,100,0,0,48.02,75.0,-2.04,33.342292868293306,16.810206241030798,14.65538545165425
20,0,85,0,0,54.42,63.27,-5.15,38.06887354030798,22.3724782489032,20.912354941656183
21,0,70,0,0,61.13,51.57,-6.86,43.68688207968003,29.396527129097638,28.20943856508259
22,0,55,0,0,68.18,39.81,-7.0,50.357580261028225,38.216665981077554,36.32344345131561
23,0,40,0,0,75.4,28.51,-6.22,58.16620926833978,48.91754120710158,45.33833393104598
