SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0,100,20,0,44.13,69.53,6.71,27.397376115959627,13.928349114675164,9.403396529964228
2,0,85,20,0,49.97,58.19,5.1,31.003670908883663,18.393546922600866,13.226968141117753
3,0,70,20,0,56.22,46.54,5.0,35.34334642641184,24.132287163782856,17.610276569317193
4,0,55,20,0,62.79,35.16,5.83,40.60390203924199,31.33569516732696,22.67008499363957
5,0,40,20,0,69.54,24.18,7.43,46.78091975847594,40.099021040735586,28.336714712410725
6,0,30,20,0,74.12,17.16,8.77,51.47383726342602,46.89100937717824,32.50567191407182
7,0,20,20,0,78.71,10.5,10.38,56.6339609822985,54.426892894273536,36.881502309998616
8,0,10,20,0,83.33,4.21,12.43,62.34365440735342,62.786653898594125,41.32956062665381
9,0,0,20,0,87.92,-1.78,14.6,68.50335397275524,71.8990987412358,45.977527434175535
10,0,100,10,0,44.16,70.54,2.31,27.68324203152245,13.949206871950468,10.758952869715843
11,0,85,10,0,50.15,59.34,-0.13,31.5295468568855,18.544519197627526,15.355511401525476
12,0,70,10,0,56.5,47.74,-0.93,36.06134528973371,24.4140625,20.59975737499144
13,0,55,10,0,63.18,36.37,-0.66,41.55083878887516,31.803324797552186,26.626905082872188
14,0,40,10,0,69.97,25.49,0.38,47.92005520402697,40.70678585716153,33.33395332914317
15,0,30,10,0,74.59,18.55,1.3,52.78529297770788,47.628489814760236,38.330257241805235
16,0,20,10,0,79.23,11.93,2.5,58.13673185039287,55.32830750203729,43.6034848131978
17,0,10,10,0,83.89,5.6,3.92,64.00363722595503,63.85458279533037,49.176642722235684
18,0,0,10,0,88.53,-0.35,5.73,70.39025396516266,73.17266683219125,54.80460095372628
19,0,100,0,0,44.18,71.64,-2.01,27.982980565753625,13.963123605416378,12.205203296804672
20,0,85,0,0,50.3,60.51,-5.23,32.030993174767126,18.67095866732953,17.620491081361482
21,0,70,0,0,56.8,49.07,-6.8,36.85484205395973,24.718389437861322,23.895922928786085
22,0,55,0,0,63.58,37.75,-7.09,42.58384331209008,32.28775407919554,30.991704833185434
23,0,40,0,0,70.46,26.96,-6.69,49.23208638991823,41.40680545891588,38.9792660623813
24,0,30,0,0,75.09,20.11,-6.12,54.236745913733124,48.42148881341231,44.81353491543635
25,0,20,0,0,79.76,13.57,-5.3,59.772247998525906,56.25724295379065,51.03987849313682
26,0,10,0,0,84.45,7.31,-4.27,65.83627351328654,64.9345530467757,57.64655983170097
27,0,0,0,0,89.17,1.27,-3.08,72.4640814343679,74.52494326418928,64.68608167618783
28,0,100,0,20,36.64,60.23,-2.85,18.25938678378496,9.344878822419945,8.461006588587889
29,0,70,0,20,47.57,40.6,-5.96,24.020275183578104,16.458212545422622,15.919740042938493
30,0,40,0,20,59.1,22.02,-5.61,31.87613265932785,27.136000796978145,25.431425581822978
31,0,20,0,20,66.77,10.91,-4.39,38.34125887743296,36.32828516012597,32.83106911906897
32,0,10,0,20,70.53,5.84,-3.57,41.93191144671573,41.507458605634206,36.77058194733076
33,0,0,0,20,74.27,1.0,-2.6,45.790638366795775,47.12554216828027,40.870154814901085
34,10,100,20,0,41.69,65.49,2.5,23.91624786498499,12.300638326256202,9.404299474342366
35,10,85,20,0,47.39,54.21,0.94,27.08147370446496,16.318802547959628,13.121955476847457
36,10,70,20,0,53.61,42.5,0.99,31.003577277751937,21.60931168258487,17.394566110762067
37,10,55,20,0,60.02,31.19,1.88,35.64922101493822,28.145542765693556,22.24081804319132
38,10,40,20,0,66.57,20.34,3.42,41.084587519260076,36.065577116797,27.667873410849218
39,10,30,20,0,71.01,13.43,4.73,45.22191900041675,42.20204908597371,31.63420527175316
40,10,20,20,0,75.45,6.88,6.27,49.76196615102412,48.99786556087018,35.79916463234905
41,10,10,20,0,79.91,0.7,8.15,54.77698038360652,56.522024021523535,40.080409014356384
42,10,0,20,0,84.2,-5.13,9.68,59.95663407184613,64.45093125999426,44.73686879353322
43,10,100,10,0,41.72,66.59,-1.87,24.19810682921915,12.319838070441591,10.750394832420614
44,10,85,10,0,47.58,55.44,-4.25,27.593046641026355,16.465980738755178,15.23036628293921
45,10,70,10,0,53.9,43.8,-4.87,31.70114604775308,21.880515998503427,20.33454869629097
46,10,55,10,0,60.41,32.53,-4.56,36.557145915302335,28.580948104229876,26.120124783390008
47,10,40,10,0,67.01,21.79,-3.57,42.19066090470347,36.645214985559576,32.55983132109702
48,10,30,10,0,71.49,14.96,-2.65,46.49045919608499,42.90434556491912,37.30402824331683
49,10,20,10,0,75.98,8.46,-1.52,51.21433751951587,49.85471616251181,42.3349451354787
50,10,10,10,0,80.49,2.23,-0.26,56.391834732036195,57.55366061858061,47.71688268540539
51,10,0,10,0,84.82,-3.54,0.91,61.77112212638966,65.65474390145145,53.332505726484264
52,10,100,0,0,41.87,67.58,-6.11,24.576763491738937,12.416136526905058,12.245835620939648
53,10,85,0,0,47.84,56.53,-9.22,28.152179186670207,16.668812727049083,17.509563205084106
54,10,70,0,0,54.19,45.0,-10.52,32.381140957542215,22.15398001269783,23.475815288015077
55,10,55,0,0,60.8,33.82,-10.84,37.46495213518561,29.020820861863957,30.324446706744098
56,10,40,0,0,67.49,23.19,-10.49,43.35796406686718,37.28459375570184,37.996126843029636
57,10,30,0,0,72.02,16.4,-9.99,47.82799124328095,43.688800894358096,43.65120660068172
58,10,20,0,0,76.57,9.95,-9.24,52.75993169067638,50.820253084958885,49.650901075768886
59,10,10,0,0,81.12,3.79,-8.35,58.13943709191229,58.68837079011029,56.042606971443476
60,10,0,0,0,85.52,-1.94,-7.78,63.77756493327862,67.03179659682644,63.02404728130114
61,10,100,0,20,34.86,56.93,-6.1,16.245040104799976,8.428593324347041,8.510191102196233
62,10,70,0,20,45.6,37.2,-9.06,21.398217308290793,14.9750461273525,15.79749753494653
63,10,40,0,20,56.86,18.81,-8.74,28.44839029477152,24.779556719730206,25.020222543518226
64,10,20,0,20,64.25,7.9,-7.66,34.16320882719051,33.11015055615492,32.11663144489862
65,10,10,0,20,67.89,2.92,-6.93,37.36041740058881,37.8230559799628,35.91670289949859
66,10,0,0,20,71.51,-1.8,-6.23,40.80777757573623,42.93377577692557,40.00186702748521
67,20,100,20,0,39.27,61.31,-1.66,20.732066713383624,10.816691066092808,9.400688043614679
68,20,85,20,0,44.95,49.95,-3.0,23.577952245252085,14.505982933840563,13.025227695962954
69,20,70,20,0,51.01,38.32,-2.94,27.01043728406911,19.27724141140729,17.15335039447778
70,20,55,20,0,57.24,27.12,-2.04,31.076010404697136,25.16929431711018,21.792925453566948
71,20,40,20,0,63.6,16.43,-0.53,35.84957592702368,32.31210381729468,26.974382676117585
72,20,30,20,0,67.89,9.64,0.72,39.46501402591346,37.8230559799628,30.748165931472418
73,20,20,20,0,72.16,3.22,2.06,43.41208273906141,43.897600000000004,34.771787327024434
74,20,10,20,0,76.35,-2.82,3.37,47.626638612318835,50.4587783475004,39.05076149188564
75,20,0,20,0,80.48,-8.53,4.77,52.132905725763095,57.535768288982744,43.510652751754044
76,20,100,10,0,39.41,62.31,-5.93,21.066787497816367,10.899096123060088,10.774983964892042
77,20,85,10,0,45.14,51.07,-7.98,24.019327406610348,14.64206516923613,15.039809805553407
78,20,70,10,0,51.29,39.52,-8.6,27.61098335266707,19.519901293167507,19.96222262404154
79,20,55,10,0,57.62,28.41,-8.35,31.879089519833755,25.56309721647054,25.537903526945065
80,20,40,10,0,64.06,17.77,-7.45,36.852740711954766,32.875532015970315,31.76321967542013
81,20,30,10,0,68.41,11.04,-6.61,40.63775926946397,38.53077399910052,36.32813639202285
82,20,20,10,0,72.73,4.68,-5.66,44.75688112684706,44.754579076184456,41.18463815470671
83,20,10,10,0,76.98,-1.3,-4.96,49.17425062242338,51.49850929158638,46.5649665005844
84,20,0,10,0,81.15,-6.95,-3.91,53.86729273254003,58.742773437500006,51.949689951456385
85,20,100,0,0,39.56,63.43,-10.15,21.439705759408763,10.987850543277707,12.265706475739892
86,20,85,0,0,45.38,52.3,-12.92,24.541733765424574,14.815171547111408,17.272248055950495
87,20,70,0,0,51.59,40.89,-14.21,28.285755678488393,19.782144580997077,23.053910830086014
88,20,55,0,0,58.01,29.87,-14.57,32.75587404157709,25.971512656897055,29.643534578567785
89,20,40,0,0,64.55,19.35,-14.29,37.98915780079719,33.48286922222877,37.067198687184906
90,20,30,0,0,68.95,12.67,-13.86,41.93843883017952,39.27499893490661,42.509152278050436
91,20,20,0,0,73.33,6.36,-13.29,46.25289460993238,45.668635337460024,48.30796139744165
92,20,10,0,0,77.61,0.45,-12.96,50.84182772613578,52.552425842657044,54.675065142082445
93,20,0,0,0,81.86,-5.14,-12.5,55.80124626336414,60.0401358998934,61.39353249151575
94,20,100,0,20,33.06,53.6,-9.32,14.36566790980366,7.5649953242240375,8.54195720326674
95,20,70,0,20,43.61,33.81,-12.14,18.959363247954194,13.570110928658924,15.653607255358072
96,20,40,0,20,54.55,15.65,-11.89,25.216029606030936,22.496610368339717,24.55787896834597
97,20,20,0,20,61.7,4.94,-10.97,30.27906684636969,30.053087008999956,31.40501241559646
98,20,10,0,20,65.22,0.06,-10.48,33.11421014661589,34.325351070667104,35.1729963237256
99,20,0,0,20,68.7,-4.55,-9.88,36.15037264257536,38.929270303722994,39.09613899737224
100,30,100,20,0,36.92,56.79,-5.78,17.83665893303479,9.494793829185289,9.420562358838271
101,30,85,20,0,42.44,45.44,-6.98,20.277341901630027,12.786646361064417,12.8999708494759
102,30,70,20,0,48.36,33.87,-6.86,23.26674617588874,17.07946012136619,16.873009848437135
103,30,55,20,0,54.4,22.79,-6.0,26.783717901199683,22.35342162450286,21.31921330183211
104,30,40,20,0,60.58,12.23,-4.59,30.942008855324765,28.77213692084546,26.306319321006423
105,30,30,20,0,64.73,5.54,-3.48,34.078971827752305,33.70783735860685,29.955000410905644
106,30,20,20,0,68.8,-0.69,-2.56,37.45656094784475,39.0673172331789,33.96201151146939
107,30,10,20,0,72.82,-6.6,-1.38,41.084474557655255,44.89090272305136,38.0549493594071
108,30,0,20,0,76.79,-12.19,-0.08,44.97573972062841,51.18345005938898,42.3004889835267
109,30,100,10,0,37.06,57.93,-10.03,18.166129321416392,9.570348864754605,10.790371196689032
110,30,85,10,0,42.63,46.72,-11.9,20.70980739177161,12.911768025992762,14.878213354873472
111,30,70,10,0,48.65,35.24,-12.45,23.859196459364654,17.31137722340246,19.626894013815566
112,30,55,10,0,54.79,24.27,-12.24,27.569835773060973,22.726982069208958,24.981714694547023
113,30,40,10,0,61.05,13.77,-11.43,31.919072767883137,29.305150863670598,30.97748726616987
114,30,30,10,0,65.26,7.16,-10.72,35.22067265111628,34.37609067971217,35.39004319343086
115,30,20,10,0,69.37,0.98,-10.18,38.742110794809385,39.86042056312529,40.20105724961005
116,30,10,10,0,73.45,-4.87,-9.6,42.55804889677921,45.85292733308305,45.35322443315917
117,30,0,10,0,77.47,-10.39,-8.64,46.642115261262106,52.31699132568729,50.49524806527817
118,30,100,0,0,37.17,59.15,-14.29,18.490143976656988,9.62999392739811,12.272414742393146
119,30,85,0,0,42.84,48.07,-16.88,21.181262665093797,13.051007056459882,17.089922953889033
120,30,70,0,0,48.92,36.79,-18.06,24.48337155415241,17.529178592808236,22.657641190501728
121,30,55,0,0,55.17,25.9,-18.45,28.39855438074723,23.094944865833465,29.012209147801947
122,30,40,0,0,61.52,15.51,-18.25,32.97304161131413,29.844707335274112,36.15698266874345
123,30,30,0,0,65.78,8.97,-17.93,36.43199047553986,35.0402625,41.408752349102315
124,30,20,0,0,69.95,2.89,-17.73,40.1480009525431,40.67838247231078,47.115955676676826
