SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0,0,0,0,95.0,1.5,-6.0,85.28043954170423,87.61832947230307,79.31939202863947
2,0,10,0,0,90.08,8.15,-7.42,77.75371090634665,76.47624670138175,71.10566067596227
3,0,20,0,0,85.2,14.67,-8.29,70.70336256936561,66.39992209602693,62.9809047925381
4,0,30,0,0,80.33,21.39,-8.87,64.19981561735207,57.26782816645054,55.241130615421135
5,0,40,0,0,75.43,28.45,-9.24,58.19484180178889,48.96572527618754,47.937040156364816
6,0,55,0,0,67.98,40.01,-9.56,50.10958570901429,37.94492014791505,37.93329713236564
7,0,70,0,0,60.42,52.69,-9.17,43.02802168266043,28.592170989482966,28.871682908668564
8,0,85,0,0,53.32,65.54,-7.71,37.30456859844263,21.340357689942177,21.2429500091873
9,0,100,0,0,48.06,75.29,-5.18,33.47426325507422,16.841735222333845,15.946546547569186
10,10,0,0,0,91.19,-2.28,-10.93,74.95827948539934,78.90215138990682,77.35983635183506
11,10,10,0,0,86.47,4.14,-11.97,68.35145884066907,68.93126378842666,69.24565532958799
12,10,20,0,0,81.74,10.48,-12.69,62.09160386770436,59.81953549909795,61.37636189335259
13,10,30,0,0,77.05,17.05,-13.2,56.38876544445456,51.614908848827845,53.995373971066236
14,10,40,0,0,72.39,23.71,-13.36,51.12933875552621,44.24206953691982,46.977143497341835
15,10,55,0,0,65.04,35.29,-13.8,43.882880812123815,34.09764064127271,37.32540230683956
16,10,70,0,0,57.69,47.54,-13.21,37.56201971965865,25.63608494153357,28.463743320273625
17,10,85,0,0,50.64,60.42,-12.2,32.41421205748958,18.95967975726762,21.177554038075034
18,10,100,0,0,45.36,70.44,-10.15,28.980114791788502,14.80069418180327,16.07715719152194
19,20,0,0,0,87.2,-5.64,-15.58,65.34559109721873,70.41499036450858,74.74664411973512
20,20,10,0,0,82.71,0.55,-16.41,59.64427190413109,61.61826818128817,67.02039849094237
21,20,20,0,0,78.13,6.82,-17.1,54.16323666173235,53.4330799743865,59.55136553669556
22,20,30,0,0,73.63,12.96,-17.21,49.107935456723126,46.13029390471881,52.25440155013367
23,20,40,0,0,69.0,19.75,-17.58,44.40832886315761,39.344389376358194,45.60916170639678
24,20,55,0,0,61.92,30.79,-17.9,38.02143837174518,30.309087670671204,36.40006299652575
25,20,70,0,0,54.67,43.07,-17.59,32.41999940248567,22.611600629574294,27.963291320479932
26,20,85,0,0,47.85,55.48,-16.64,27.896585272724362,16.676647042788247,20.992966035685477
27,20,100,0,0,42.75,65.36,-14.76,24.944443737052232,12.991211257828839,16.122959803470398
28,30,0,0,0,83.19,-9.04,-20.26,56.54082890859792,62.52154522524241,72.1878977172135
29,30,10,0,0,78.86,-3.06,-21.03,51.55422325192929,54.68590368967568,64.86950592138861
30,30,20,0,0,74.49,3.06,-21.47,46.85819332920125,47.47093622182388,57.67344758502611
31,30,30,0,0,70.1,9.12,-21.61,42.40742370110673,40.89173019855261,50.730344339735154
32,30,40,0,0,65.63,15.55,-21.84,38.25566948595041,34.8478045140099,44.328895066850215
33,30,55,0,0,58.82,26.25,-21.96,32.719659182156235,26.833612499999987,35.48625398980242
34,30,70,0,0,51.79,38.09,-21.59,27.793650771968387,19.958271860457064,27.38640855278644
35,30,85,0,0,45.06,50.62,-20.96,23.83773719131679,14.584664129833127,20.750221920386863
36,30,100,0,0,40.08,60.48,-19.61,21.28959218290128,11.29926117511993,16.225936660261933
37,40,0,0,0,79.15,-12.57,-24.94,48.46987593434762,55.18898542087367,69.63103590841196
38,40,10,0,0,74.98,-6.71,-25.6,44.17270087112503,48.24627964912461,62.66027267454215
39,40,20,0,0,70.8,-0.81,-25.82,40.13632205726404,41.89722005822296,55.73416879840287
40,40,30,0,0,66.54,5.13,-25.91,36.26168083706017,36.02628048659233,49.10322897806552
41,40,40,0,0,62.24,11.37,-26.06,32.68065858734303,30.684041231702828,43.01307319385144
42,40,55,0,0,55.7,21.88,-26.29,27.95640531758359,23.614757997970397,34.75139969474442
43,40,70,0,0,48.86,33.45,-25.85,23.658002748840907,17.480621339025788,26.91932866416436
44,40,85,0,0,42.31,45.45,-25.15,20.164955238456937,12.70150421238827,20.479506245992283
45,40,100,0,0,37.42,55.26,-24.13,17.95433950693889,9.766471416929766,16.198241200645477
46,55,0,0,0,72.95,-18.09,-32.32,37.60704866248817,45.08830296028692,66.03655289060865
47,55,10,0,0,69.08,-12.46,-32.61,34.296333651247004,39.45558400508426,59.458350688930075
48,55,20,0,0,65.15,-6.92,-32.53,31.090923302838114,34.23667693907859,52.895313626053316
49,55,30,0,0,61.16,-1.28,-32.51,28.051419265531205,29.430842137849027,46.797066384235784
50,55,40,0,0,57.13,4.79,-32.58,25.27775619306404,25.056058398317376,41.20290280496712
51,55,55,0,0,50.88,15.11,-32.86,21.540319373163985,19.165264865308128,33.555087059643974
52,55,70,0,0,44.47,25.94,-32.21,18.156558920319497,14.16595761812446,26.216390746706494
53,55,85,0,0,38.22,37.55,-31.73,15.396020776602212,10.211853412911557,20.249777076617544
54,55,100,0,0,33.61,47.12,-31.03,13.707839655666517,7.822286409920968,16.337034186527696
55,70,0,0,0,66.57,-24.03,-39.84,28.19618910273719,36.065577116797,62.392790225105465
56,70,10,0,0,63.02,-18.76,-39.93,25.71580598170439,31.6109180117061,56.40018895527926
57,70,20,0,0,59.38,-13.26,-39.73,23.34981120705932,27.44065234788224,50.40639112534208
58,70,30,0,0,55.73,-8.01,-39.46,21.071998394646727,23.64441235783805,44.78115410035425
59,70,40,0,0,51.98,-2.3,-39.36,18.953022985556427,20.126558181454744,39.58898110899683
60,70,55,0,0,46.09,7.47,-39.17,16.05959642638811,15.335255348786855,32.248550333588895
61,70,70,0,0,40.13,17.91,-38.49,13.534198972299365,11.329510832047749,25.529311897245506
62,70,85,0,0,34.29,29.43,-38.42,11.511069328926135,8.148373715417298,20.208148033900475
63,70,100,0,0,30.05,38.27,-37.82,10.237612957522407,6.256262116438251,16.61274193259379
64,85,0,0,0,60.62,-30.2,-47.07,20.83936340596392,28.817246089938088,59.33288296621307
65,85,10,0,0,57.34,-25.34,-47.0,18.9654350368128,25.272531655151916,53.82505182442392
66,85,20,0,0,54.05,-20.11,-46.39,17.267369809483093,22.021680184009693,48.1856001085551
67,85,30,0,0,50.67,-14.86,-46.05,15.610497745769585,18.985297096219096,43.04653219844328
68,85,40,0,0,47.21,-9.6,-45.78,14.009552097355503,16.18018203397279,38.2361258363328
69,85,55,0,0,41.82,-0.52,-45.22,11.866295407577274,12.383981493193653,31.38820383009086
70,85,70,0,0,36.22,9.96,-44.61,10.01672760314614,9.122978151523228,25.179098807360255
71,85,85,0,0,30.93,20.56,-44.0,8.536341501474674,6.621824936254561,20.10507436925082
72,85,100,0,0,26.93,28.85,-43.51,7.548427149247743,5.068841342216265,16.745191651493226
73,100,0,0,0,56.12,-34.9,-52.52,16.211167734230393,24.032181011931613,57.068823616905604
74,100,10,0,0,53.12,-30.18,-52.18,14.806744921388285,21.15617840829883,51.89734911955565
75,100,20,0,0,49.98,-25.2,-51.65,13.432405100100025,18.40191269578498,46.68194210537177
76,100,30,0,0,46.82,-20.29,-51.01,12.123158346484637,15.882535272561405,41.71461198773435
77,100,40,0,0,43.67,-14.81,-50.35,10.985022503927988,13.611128868483227,37.110776018086526
78,100,55,0,0,38.75,-6.19,-49.58,9.361038160597612,10.514252511057752,30.78575429100523
79,100,70,0,0,33.65,3.36,-48.78,7.92239826896332,7.841222741617636,25.032938812240584
80,100,85,0,0,28.6,13.42,-48.0,6.710028347692304,5.683692955840748,20.096750435723106
81,100,100,0,0,24.74,21.12,-47.45,5.872655261261445,4.332006566997416,16.81544842185588
82,0,0,10,0,94.39,-0.05,3.02,83.07195879349946,86.18173487016433,67.78609202771116
83,0,10,10,0,89.49,6.73,1.3,75.78421123688904,75.20728473575433,60.740514374227224
84,0,20,10,0,84.62,13.27,0.1,68.88447452775556,65.26479395987947,53.76408026969887
85,0,30,10,0,79.82,20.14,-0.92,62.69066258844071,56.36305592223954,47.29272635890393
86,0,40,10,0,75.0,27.19,-1.77,56.917901310164424,48.2781043708229,41.20317144304717
