ISO28178																																								
																																								
DESCRIPTOR	APTEC_PC11_CCNB_2023_v1																																							
ORIGINATOR	"Advanced Printing Technology Centre (APTEC), http://aptec.hkprinters.org/en/index.html"																																							
CREATED	July 2023																																							
TARGET_TYPE	ISO12642-2																																							
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"																																							
PRINT_CONDITIONS	Sheet-fed offset printing according to ISO 12647-2:2013 Printing Substrate 11 Clay Coated News Back(CCNB)																																							
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"																																							
ILLUMINATION_NAME	D50																																							
OBSERVER_ANGLE	2																																							
FILTER	M1																																							
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"																																							
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"																																							
KEYWORD	TRACEABILITY																																							
TRACEABILITY	NIST																																							
																																								
NUMBER_OF_FIELDS	41																																							
BEGIN_DATA_FORMAT																																								
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT																																								
																																								
NUMBER_OF_SETS	1617																																							
BEGIN_DATA																																								
1	0	100	20	0	0.1382	0.1382	0.1373	0.1374	0.1377	0.1388	0.1397	0.1337	0.1186	0.0985	0.0801	0.0668	0.0554	0.0422	0.03	0.0234	0.0209	0.0178	0.015	0.0182	0.0428	0.1501	0.3388	0.5057	0.6022	0.6482	0.6717	0.6845	0.6902	0.6924	0.6924	0.6913	0.693	0.6945	0.6952	0.6967
2	0	85	20	0	0.178	0.178	0.1778	0.1795	0.1817	0.1847	0.1846	0.1787	0.1644	0.1451	0.1273	0.1161	0.1084	0.097	0.0838	0.076	0.073	0.068	0.0609	0.0586	0.0854	0.1997	0.3835	0.5375	0.6238	0.6645	0.6858	0.6977	0.7028	0.7043	0.7041	0.7034	0.7053	0.707	0.7076	0.7095
3	0	70	20	0	0.2223	0.2223	0.2235	0.2275	0.232	0.2372	0.2356	0.2295	0.2164	0.1982	0.1822	0.1747	0.1726	0.165	0.1522	0.1435	0.1398	0.1337	0.1246	0.1222	0.1525	0.2651	0.4323	0.5668	0.6404	0.6756	0.695	0.7064	0.7114	0.7129	0.7122	0.711	0.7127	0.7145	0.7158	0.7179
4	0	55	20	0	0.2733	0.2733	0.2753	0.2817	0.2887	0.2961	0.2927	0.2869	0.2761	0.2606	0.2467	0.2442	0.2499	0.2481	0.2369	0.2279	0.2241	0.217	0.2067	0.2063	0.2431	0.3524	0.4939	0.5989	0.6538	0.6803	0.696	0.7055	0.7097	0.7106	0.7099	0.7085	0.7105	0.7117	0.7129	0.7147
