Algorithm,Agg,Mean,Median,Max,P95,SD,Mean,Median,Max,P95,SD
Random Forest,best,1.40302264784,1.13997725306,6.53443121765,3.6176327931,1.15526224281,,,,,
Random Forest,run-mean,,,,,,1.40302264784,1.13997725306,6.53443121765,3.6176327931,1.15526224281
Gradient Boosting,best,1.49014456819,1.1770006974,6.58094819549,3.74315944944,1.16196250291,,,,,
Gradient Boosting,run-mean,,,,,,1.49014456819,1.1770006974,6.58094819549,3.74315944944,1.16196250291
k-NN,best,1.45165922993,1.11370907371,6.67854018887,3.35786436077,1.22968868256,,,,,
k-NN,run-mean,,,,,,1.45165922993,1.11370907371,6.67854018887,3.35786436077,1.22968868256
Bayesian (Gaussian Process),best,1.44162731369,1.10080390612,7.16843273412,3.63741065885,1.2647552329,,,,,
Bayesian (Gaussian Process),run-mean,,,,,,1.44162731369,1.10080390612,7.16843273412,3.63741065885,1.2647552329
Ridge Regression,best,1.88953172319,1.65790838342,6.41645533421,4.19838689504,1.24548816625,,,,,
Ridge Regression,run-mean,,,,,,1.88953172319,1.65790838342,6.41645533421,4.19838689504,1.24548816625
Lasso Regression,best,3.69792227228,3.1906026406,10.0389489651,7.17873822999,1.96986581944,,,,,
Lasso Regression,run-mean,,,,,,3.69792227228,3.1906026406,10.0389489651,7.17873822999,1.96986581944
Elastic Net,best,3.69792227228,3.1906026406,10.0389489651,7.17873822999,1.96986581944,,,,,
Elastic Net,run-mean,,,,,,3.69792227228,3.1906026406,10.0389489651,7.17873822999,1.96986581944
Decision Tree,best,1.84346273978,1.35522481858,15.2979514727,4.21052232172,1.89951569096,,,,,
Decision Tree,run-mean,,,,,,1.84346273978,1.35522481858,15.2979514727,4.21052232172,1.89951569096
MLP (Shallow Network),best,1.63877299751,1.26219261089,5.58205450044,3.96696562201,1.19297512642,,,,,
MLP (Shallow Network),run-mean,,,,,,1.63877299751,1.26219261089,5.58205450044,3.96696562201,1.19297512642
Deep Learning (Neural Network),best,2.06112119396,1.8730796823,7.57530486788,4.23361074419,1.36376640216,,,,,
Deep Learning (Neural Network),run-mean,,,,,,2.06112119396,1.8730796823,7.57530486788,4.23361074419,1.36376640216
SVM (RBF Kernel),best,1.65464991197,1.04733762154,8.45405036912,5.06030666628,1.51012038673,,,,,
SVM (RBF Kernel),run-mean,,,,,,1.65464991197,1.04733762154,8.45405036912,5.06030666628,1.51012038673
PCR,best,1.88953172319,1.65790838342,6.41645533421,4.19838689504,1.24548816625,,,,,
PCR,run-mean,,,,,,1.88953172319,1.65790838342,6.41645533421,4.19838689504,1.24548816625
PLSR,best,1.89022449752,1.66760988737,6.45119517286,4.19110667044,1.24808684391,,,,,
PLSR,run-mean,,,,,,1.89022449752,1.66760988737,6.45119517286,4.19110667044,1.24808684391
Polynomial Regression (3rd),best,1.45556233564,1.11651216015,6.76173092368,4.14663586255,1.24847348546,,,,,
Polynomial Regression (3rd),run-mean,,,,,,1.45556233564,1.11651216015,6.76173092368,4.14663586255,1.24847348546
