Algorithm,PC10,PC11,FOGRA
Bayesian (Gaussian Process),1.2720821823,1.29445194463,1.28564569171
Decision Tree,1.54032116002,1.57389808546,1.50457328696
Deep Learning (Neural Network),1.71155335712,1.74265857262,1.74451269072
Elastic Net,3.89202326895,3.98967901351,3.91143990806
Gradient Boosting,1.26570778934,1.32545412412,1.29650865799
k-NN,1.26590337817,1.28822179365,1.3004328052
Lasso Regression,3.89202326895,3.98967901351,3.91143990806
PCR,1.89079588067,1.91625724261,1.78173864508
PLSR,1.88839008322,1.9135757438,1.77984443604
Random Forest,1.32791343641,1.35905429585,1.31567878672
Ridge Regression,1.88957882725,1.91490001249,1.78077107239
MLP (Shallow Network),1.49708233367,1.52590473395,1.50748088026
SVM (RBF Kernel),1.44203252618,1.46172586739,1.40406919359
Polynomial Regression (3rd),1.33563275777,1.35521576378,1.28431445709
