Algorithm,PC10,PC11,FOGRA
Bayesian (Gaussian Process),1.2720821823,1.29445194463,1.28564569171
Decision Tree,1.5475712562966664,1.58641347088,1.5283398334700002
Deep Learning (Neural Network),1.9558727400733333,1.9766372699466668,1.8777353992733332
Elastic Net,3.89202326895,3.9896790135100004,3.91143990806
Gradient Boosting,1.3013603681433332,1.32794405795,1.3159156476333334
k-NN,1.2924136934400001,1.31632812635,1.3204819317966667
Lasso Regression,3.89202326895,3.9896790135100004,3.91143990806
PCR,1.89079588067,1.91625724261,1.78173864508
PLSR,2.2818621908166667,2.34024145819,2.1740610155233333
Random Forest,1.4365362852683334,1.4678162012916667,1.4544963286399997
Ridge Regression,1.8899845117233334,1.91535242253,1.78109359662
MLP (Shallow Network),2.9482966278073337,3.0098735592720005,2.870358528064
SVM (RBF Kernel),1.7531017233300001,1.79067352352,1.6471518725733334
Polynomial Regression (3rd),1.33563275777,1.35521576378,1.28431445709
