Display,Mean,Median,Max,P95,SD
Bayesian (Gaussian Process),1.272082,0.979735,4.761126,3.220476,1.004498
Decision Tree,1.540321,1.374929,4.725119,3.610691,1.079375
Deep Learning (Neural Network),1.711553,1.512649,4.667899,3.599622,1.015371
Elastic Net,3.892023,3.734587,8.69063,7.284314,1.953491
Gradient Boosting,1.265708,1.008295,4.710291,3.3454,0.956761
Lasso Regression,3.892023,3.734587,8.69063,7.284314,1.953491
PCR,1.890796,1.681127,4.977194,3.885533,1.104494
PLSR,1.88839,1.67654,4.957941,3.872617,1.106025
Random Forest,1.327913,0.994693,4.555181,3.573333,1.063118
Ridge Regression,1.889579,1.674712,4.967597,3.878782,1.105238
SVM (RBF Kernel),1.442033,0.954244,6.102495,4.015673,1.150782
MLP (Shallow Network),1.497082,1.321434,5.215392,3.24385,0.947648
k-NN,1.265903,1.047899,5.496024,3.400685,1.056307
Polynomial Regression (3rd),1.335633,1.158856,4.957469,3.151998,0.952631
