SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,62.0250862962,5.54535433622,9.43526887606,30.8209857917,30.4318815831,20.188057282
2,0.0,10.0,0.0,0.0,47.3514014691,-1.5610940012,2.49883377288,15.4395664778,16.2890108611,12.5386483879
3,0.0,20.0,0.0,0.0,35.2073263326,1.61477654107,4.80093599576,8.47870712046,8.60245351829,6.00183832272
4,0.0,30.0,0.0,0.0,77.5946807698,5.98008771492,8.82026255598,52.9372065946,52.5266295293,36.6146262661
5,0.0,40.0,0.0,0.0,35.3927003297,1.59622547201,4.89368736126,8.56831033337,8.69621652596,6.05089739364
6,0.0,55.0,0.0,0.0,71.3685335785,-1.75613772651,2.39370783716,40.6266927842,42.7258952715,33.5992929119
7,0.0,70.0,0.0,0.0,41.055651944,6.62809748017,0.80425265996,12.4274405962,11.8993173973,9.57933516947
8,0.0,85.0,0.0,0.0,67.0673609125,-1.57387868199,2.53089342817,34.9452193878,36.72123435,28.7208057935
9,0.0,100.0,0.0,0.0,34.7898184087,1.63416614631,4.68302047393,8.27666998737,8.39374966253,5.8729564696
10,10.0,0.0,0.0,0.0,73.3553559535,5.54461431227,8.01207119829,46.0066352204,45.7075349404,32.130226031
11,10.0,10.0,0.0,0.0,34.4226695443,1.55683229881,4.57100637371,8.09120561641,8.21303242008,5.76290274329
12,10.0,20.0,0.0,0.0,48.0331710019,-0.0480853194285,4.05039264608,16.2115400118,16.8205835987,12.4065613983
13,10.0,30.0,0.0,0.0,33.8074077973,1.58375511679,4.4353332421,7.8035858807,7.91603765399,5.57088820398
14,10.0,40.0,0.0,0.0,71.3627713352,7.87389552812,2.83583013369,43.8306246659,42.7174420874,33.2928501461
15,10.0,55.0,0.0,0.0,52.57919984,-3.37639919448,-13.4047053385,19.250679653,20.6634709082,23.5303945974
16,10.0,70.0,0.0,0.0,73.8813134169,6.30401295028,3.00509537407,47.0840822567,46.5194169064,36.1934439353
17,10.0,85.0,0.0,0.0,34.191197633,1.61709774792,4.48935942166,7.98769437646,8.10044184346,5.69652659707
18,10.0,100.0,0.0,0.0,67.7641692825,-2.85032614795,0.855155302248,35.4555878219,37.6531131811,30.5191368492
19,20.0,0.0,0.0,0.0,34.0608209623,1.64437228484,4.61757152921,7.92905243866,8.03748054453,5.62331634711
20,20.0,10.0,0.0,0.0,63.6527269409,-2.40133635026,1.37302190635,30.5698638797,32.3763568517,25.9206242102
21,20.0,20.0,0.0,0.0,79.1881535638,-0.054314713609,4.67429747803,53.2613870575,55.255401635,41.8058539967
22,20.0,30.0,0.0,0.0,54.1452548623,-1.36091767183,2.65792984686,21.0355300007,22.1116384644,17.067771312
23,20.0,40.0,0.0,0.0,46.9002594665,-1.53555996776,2.0489464859,15.1144869564,15.9434881427,12.4234201396
24,20.0,55.0,0.0,0.0,44.6883802804,-0.406885923054,3.30807344192,13.7443671745,14.3199886068,10.7298935154
25,20.0,70.0,0.0,0.0,75.9783490561,1.72732149224,1.55475619785,48.7031731964,49.8520316921,39.9351512891
26,20.0,85.0,0.0,0.0,36.6211424062,0.373888818482,3.54988400166,9.04613389057,9.33483937674,6.8330276492
27,20.0,100.0,0.0,0.0,62.5329572232,-7.98294906963,-6.29953807319,27.8546738701,31.0300079426,29.345363997
28,30.0,0.0,0.0,0.0,71.7408157845,-3.74785001929,-0.280415235872,40.5009707196,43.2743981328,35.9048321991
29,30.0,10.0,0.0,0.0,76.6651189469,-0.833107873585,10.3194005181,48.8500171369,50.9770729315,34.4262521604
30,30.0,20.0,0.0,0.0,59.1326315432,-2.96319172245,1.18538284695,25.4885921712,27.1713885889,21.8093921233
31,30.0,30.0,0.0,0.0,45.6663675553,-1.15959333888,2.63309536526,14.2983182813,15.0235004307,11.4976048966
32,30.0,40.0,0.0,0.0,54.1001247246,-2.26792730275,2.00329098169,20.8054218544,22.0689872802,17.3186949415
33,30.0,55.0,0.0,0.0,80.7741665282,-0.3236078897,5.55984835407,55.8603183504,58.0636524339,43.277166664
34,30.0,70.0,0.0,0.0,42.3836248601,8.65519789318,-7.33371793754,13.6071296644,12.749677479,12.990673254
35,30.0,85.0,0.0,0.0,47.5171720272,19.6431843156,13.4906424436,19.4889096474,16.4172152981,9.13119270332
36,30.0,100.0,0.0,0.0,44.3471609958,4.55156213978,-7.69526365157,14.3023578867,14.0798025193,14.3902860614
37,40.0,0.0,0.0,0.0,68.5133703927,6.07482793086,18.2811113864,39.1886642647,38.6725043923,21.3427507138
38,40.0,10.0,0.0,0.0,52.6687830828,-22.6051352952,-3.07202975142,15.7617771759,20.7445532115,18.4836781216
39,40.0,20.0,0.0,0.0,52.056526609,-23.7654731793,0.95324994134,15.1137092621,20.1946054787,16.2598542925
40,40.0,30.0,0.0,0.0,66.6600009991,16.6689430196,20.2640403537,40.0215716244,36.1836397541,18.8451569596
41,40.0,40.0,0.0,0.0,46.936623477,-7.22306075968,0.977074269196,14.2031869754,15.9711559656,12.8250956074
42,40.0,55.0,0.0,0.0,46.9350506887,20.563692246,7.15448123863,19.1740739942,15.9699586363,10.7385246388
43,40.0,70.0,0.0,0.0,35.0845049431,1.61339533469,4.62952087901,8.41812820554,8.54070260032,5.99314124598
44,40.0,85.0,0.0,0.0,42.1862721298,14.7056371869,-9.85569735308,14.4389516563,12.620821767,13.7939977445
45,40.0,100.0,0.0,0.0,47.104992895,19.9522984064,11.1837650376,19.1979564045,16.0996783259,9.59418370804
46,55.0,0.0,0.0,0.0,40.392465857,-1.17474900291,2.08030852619,10.9191159192,11.4891867351,8.88421626577
47,55.0,10.0,0.0,0.0,53.8826726621,7.86366233324,15.9543628864,22.7783195305,21.8642483109,11.7809228778
48,55.0,20.0,0.0,0.0,52.6900475836,-24.0735669294,4.87076901508,15.5248407257,20.7638309312,15.104249858
49,55.0,30.0,0.0,0.0,48.9294217847,25.4874241891,8.84194270297,21.9643302778,17.5368116851,11.3047887512
50,55.0,40.0,0.0,0.0,69.4540155662,-12.8022729661,20.9746672145,34.6691845855,39.9782204688,20.8087622968
51,55.0,55.0,0.0,0.0,49.4735377207,26.4084431042,2.29615740996,22.6767448968,17.9813980688,13.9494726531
52,55.0,70.0,0.0,0.0,56.7794294155,-25.1790970479,1.02433711858,18.5290046945,24.6974418531,19.8829852258
53,55.0,85.0,0.0,0.0,42.8648393631,13.1799475592,-7.49449777601,14.6684265994,13.0675425209,13.3513869427
54,55.0,100.0,0.0,0.0,59.4511525561,-1.39438022489,25.9598518002,26.1960478301,27.5184309142,11.6446351542
55,70.0,0.0,0.0,0.0,46.1360613467,16.6028732123,-2.24376966626,17.7512821139,15.3694099626,13.4949769689
