SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,63.4154846393,4.36618150995,6.86224850928,32.1414279331,32.0879227917,22.6913480833
2,0.0,10.0,0.0,0.0,47.2703163007,-1.98290772541,-2.03226878684,15.3083532611,16.2265446478,14.1509058784
3,0.0,20.0,0.0,0.0,36.1019577573,-0.847671935962,-0.890062596585,8.63915597183,9.06125097811,7.70092434866
4,0.0,30.0,0.0,0.0,82.4693249237,3.1316506189,4.44491006572,60.2999561259,61.1686525718,46.6092752415
5,0.0,40.0,0.0,0.0,36.8632722312,-0.761706333395,-1.21311113209,9.03515677696,9.4642926216,8.12501209912
6,0.0,55.0,0.0,0.0,73.6583843618,-0.924775718896,0.252593803983,44.2066400657,46.1741339245,37.9120333041
7,0.0,70.0,0.0,0.0,42.5481820482,5.97610333615,-4.41961745375,13.3005595525,12.8577884485,12.0643841119
8,0.0,85.0,0.0,0.0,67.84613717,-0.855675881145,0.982642720895,36.1573858198,37.7637583645,30.5279617803
9,0.0,100.0,0.0,0.0,37.601279841,0.00592494728333,0.0733818913583,9.51470093051,9.8662362553,8.12130029712
10,10.0,0.0,0.0,0.0,78.5405147391,2.86706597401,4.48240174237,53.3119721188,54.1352217357,41.0826801003
11,10.0,10.0,0.0,0.0,38.3669731613,-0.0531753468714,-0.218253264772,9.92078501604,10.2951219724,8.55402638716
12,10.0,20.0,0.0,0.0,49.627248446,0.202426926894,3.0143610597,17.4993071281,18.1083391692,13.7786832646
13,10.0,30.0,0.0,0.0,40.5782622457,-0.350608426624,-0.91476645471,11.1406516327,11.6031216445,9.84565825101
14,10.0,40.0,0.0,0.0,73.9002664565,6.05947003268,0.546535794953,47.0256827828,46.5488513989,38.0028229463
15,10.0,55.0,0.0,0.0,52.3189519233,-8.21278889423,-16.3521661936,18.0970181539,20.4291180524,24.8958844799
16,10.0,70.0,0.0,0.0,78.2862673982,3.54435882553,0.431629842297,53.1489944167,53.6996384944,43.9558218378
17,10.0,85.0,0.0,0.0,38.5262538558,-0.147092430118,1.25308092391,9.99626051791,10.3858731945,8.2313100233
18,10.0,100.0,0.0,0.0,68.6064238099,-1.56506308011,0.151458950978,36.9354007501,38.8003861359,31.9147598472
19,20.0,0.0,0.0,0.0,40.1381291052,-0.39570768113,1.19642456207,10.8762122081,11.3344339814,9.00955775279
20,20.0,10.0,0.0,0.0,63.564891555,-1.33307955559,0.433141252443,30.7557560368,32.2693678585,26.3741926335
21,20.0,20.0,0.0,0.0,82.0679061792,0.134566998685,1.23322856982,58.3218998137,60.4236200783,48.7728524708
22,20.0,30.0,0.0,0.0,54.4554510447,-0.70586450576,2.36385521158,21.4559730925,22.4062837192,17.4291133979
23,20.0,40.0,0.0,0.0,48.8080284574,-1.44912294662,-0.258427431692,16.5556518028,17.4386339623,14.4887626899
24,20.0,55.0,0.0,0.0,46.6458918811,-0.238413525382,2.94204477603,15.1482749303,15.750843709,11.96277207
25,20.0,70.0,0.0,0.0,82.2173956254,0.491136580851,0.676872565699,58.7370478982,60.7003610571,49.4859685754
26,20.0,85.0,0.0,0.0,40.2331261634,0.130004028773,3.23795695533,11.0030112393,11.3920718643,8.48899359625
27,20.0,100.0,0.0,0.0,62.1627696778,-9.39236146757,-7.84991457308,27.1018090804,30.5932666917,29.9157026103
28,30.0,0.0,0.0,0.0,74.3892759644,-2.84932318258,-1.39685560983,44.6296619989,47.3125935094,40.0969862229
29,30.0,10.0,0.0,0.0,81.0384757395,-0.409588638117,7.01607894206,56.2848718139,58.5407026188,42.4767834315
30,30.0,20.0,0.0,0.0,59.311299356,-2.44449264545,0.141041657132,25.7969490425,27.3656932262,22.5060606483
31,30.0,30.0,0.0,0.0,48.4861630939,-1.61582357891,1.6800855316,16.2794541743,17.1800982948,13.5424278734
32,30.0,40.0,0.0,0.0,55.5169427649,-2.72626863027,1.12787426671,22.0033671326,23.434346909,18.8100314129
33,30.0,55.0,0.0,0.0,85.043991482,0.162304925729,2.09161975844,63.8047734033,66.0933116486,52.5931732413
34,30.0,70.0,0.0,0.0,38.5354363675,3.39724693406,-12.8852455656,10.4608625214,10.3911211874,12.6036599805
35,30.0,85.0,0.0,0.0,47.0357490253,19.4547003883,16.0805162036,19.0413459647,16.046738875,8.18987823817
36,30.0,100.0,0.0,0.0,42.4808135406,-4.91001665891,-14.4132874015,11.6479020541,12.8134550294,15.7853605616
37,40.0,0.0,0.0,0.0,72.8069946317,3.84973969714,18.6105935517,44.5877472715,44.8711863109,25.0976743717
38,40.0,10.0,0.0,0.0,56.3031333043,-27.5190689008,-0.849323150086,17.6954796027,24.2157200224,20.3916773398
