SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,57.8705203003,6.20354129774,9.95632994498,26.3869825056,25.8249509994,16.6915611338
2,0.0,10.0,0.0,0.0,43.300558942,2.91290586212,4.17852617237,13.3283508355,13.3598749434,9.72624939018
3,0.0,20.0,0.0,0.0,31.9265220455,2.31845408731,1.83783130308,7.0324210371,7.05267342856,5.43948793444
4,0.0,30.0,0.0,0.0,77.8622968777,5.10663365043,9.36209325219,53.0459198394,52.9784886597,36.556747588
5,0.0,40.0,0.0,0.0,32.9038304527,2.46981429298,1.48583094197,7.48241482579,7.49298155695,5.86137616733
6,0.0,55.0,0.0,0.0,68.4554362762,0.290451069751,4.40506692291,37.3042403909,38.5930286167,29.0398695375
7,0.0,70.0,0.0,0.0,39.7130407784,9.79254450406,-1.04483700995,12.0442909729,11.0788994317,9.44280271881
8,0.0,85.0,0.0,0.0,63.5656128749,0.292058495265,4.12754949482,31.1976257659,32.27024551,24.294509353
9,0.0,100.0,0.0,0.0,32.2332436496,1.42820366209,1.1012069094,7.07612259477,7.18894960133,5.6991034831
10,10.0,0.0,0.0,0.0,72.5227896606,4.69422538737,9.10974434188,44.4562249044,44.4417658743,30.4872157025
11,10.0,10.0,0.0,0.0,32.962233146,1.28330497089,1.09819180972,7.38445441238,7.5198587842,5.96565632105
12,10.0,20.0,0.0,0.0,44.3765171093,0.842962080382,3.62740771167,13.7294710735,14.100360042,10.4599278972
13,10.0,30.0,0.0,0.0,35.6714890421,1.59132871833,0.980265432704,8.70693039331,8.83850808069,7.05460294753
14,10.0,40.0,0.0,0.0,68.9507987933,7.70580450561,4.53841416159,40.3155562938,39.2761068655,29.4868024708
15,10.0,55.0,0.0,0.0,48.1699799971,-6.42313637977,-13.5663924607,15.213155866,16.9286273147,19.7619047619
16,10.0,70.0,0.0,0.0,72.7722732572,5.34947934183,4.65261741528,45.0564595353,44.8185762588,33.7091105424
17,10.0,85.0,0.0,0.0,33.3873789687,1.25138011716,1.03761020809,7.57391926065,7.7174525417,6.13774809814
18,10.0,100.0,0.0,0.0,62.5409159098,-0.648153293783,2.45561746152,29.7596139061,31.0394428275,24.2426247555
19,20.0,0.0,0.0,0.0,35.0963706271,1.85751358549,0.572944167182,8.45179119551,8.54665537326,6.9151907691
20,20.0,10.0,0.0,0.0,58.0796063457,-0.472730844744,1.7135876184,25.0035643951,26.0448601574,20.6363426203
21,20.0,20.0,0.0,0.0,75.7452149465,0.744962938114,5.49103149797,47.9776097251,49.4739174192,36.7158845583
22,20.0,30.0,0.0,0.0,50.6435630024,0.000247700597034,2.26086607361,18.2857172139,18.9627210386,14.7406997675
23,20.0,40.0,0.0,0.0,43.832722466,0.423525172469,0.758873715736,13.2981245648,13.7227870832,11.0746885593
24,20.0,55.0,0.0,0.0,42.2653557959,0.357869835374,2.75018613726,12.272207664,12.6723523771,9.62056056138
25,20.0,70.0,0.0,0.0,76.054595637,0.935228974522,3.62336913934,48.5333159729,49.9761108522,38.4753517998
26,20.0,85.0,0.0,0.0,38.464334292,0.870690589676,2.88256056429,10.0924385878,10.3505310236,7.77768720546
27,20.0,100.0,0.0,0.0,58.5241522145,-9.2983593324,-5.25853951324,23.4129830322,26.5165589427,24.6766024919
28,30.0,0.0,0.0,0.0,69.8493152673,-2.17920280046,1.87664777645,38.4017722821,40.5355937775,32.1900090405
29,30.0,10.0,0.0,0.0,75.6913966439,-0.258448651984,10.6717144262,47.5302105055,49.386903377,33.0415832881
30,30.0,20.0,0.0,0.0,54.9700060326,-1.41469279622,1.88585008822,21.778174464,22.900794981,18.0352896523
31,30.0,30.0,0.0,0.0,44.2787481498,-1.20971890468,2.28581046363,13.342849894,14.0319718785,10.8305943158
32,30.0,40.0,0.0,0.0,51.5676623293,-1.76129997789,2.39037555814,18.7132709011,19.7625377897,15.3228599
33,30.0,55.0,0.0,0.0,80.8526123784,-0.162208390898,6.62371513412,56.0613991591,58.2049673924,42.533976649
34,30.0,70.0,0.0,0.0,32.6267108321,6.79018336239,-9.29898441335,7.8162812147,7.36632227861,8.33300646892
35,30.0,85.0,0.0,0.0,42.0181597027,19.9329903814,16.5412777706,15.1860860661,12.5117448636,6.00237198089
36,30.0,100.0,0.0,0.0,39.227481282,-2.04082863551,-11.4362525603,10.1410756351,10.7917467135,12.5134044976
37,40.0,0.0,0.0,0.0,67.7342610517,6.83941248271,21.3432724135,38.3710898993,37.6127951323,19.2048646436
38,40.0,10.0,0.0,0.0,53.72184164,-24.4180924895,5.40811904375,16.2380123997,21.7136374698,15.6051105168
39,40.0,20.0,0.0,0.0,52.5676771951,-24.8350154537,7.73334419578,15.3051888988,20.6530570581,13.910735019
40,40.0,30.0,0.0,0.0,66.9670664806,17.5662717057,22.7005166547,40.7407898922,36.5883846834,17.9769339685
41,40.0,40.0,0.0,0.0,43.701820239,-5.26408289334,-0.612626240437,12.3557941478,13.6329157151,11.4506214403
42,40.0,55.0,0.0,0.0,42.5390593016,22.4237861926,5.34711376986,15.9992855618,12.8517790354,9.00640426188
43,40.0,70.0,0.0,0.0,33.0384402318,2.53638026279,-2.25190803556,7.55069939592,7.55502623246,6.74516148449
44,40.0,85.0,0.0,0.0,40.2245418076,10.1997597264,-12.5680071039,12.4258598061,11.3868554371,13.5438815652
45,40.0,100.0,0.0,0.0,41.8563266552,22.0777649118,8.92551411241,15.4315823612,12.407337667,7.72788550275
46,55.0,0.0,0.0,0.0,37.1442172461,-5.77437956497,-4.08064152086,8.58895346792,9.61599162992,9.04215493806
