SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,52.2485089595,1.38523128001,4.97018490195,19.9175753985,20.3659904312,14.7634146814
2,0.0,10.0,0.0,0.0,43.8583607845,-3.83733303939,-4.16763559904,12.6674046888,13.740435284,12.7669918844
3,0.0,20.0,0.0,0.0,32.1188785241,-1.23403488686,-0.855325597529,6.76095021023,7.13793392137,6.07358393632
4,0.0,30.0,0.0,0.0,74.7468406273,7.93376298997,8.95092298099,49.0335067429,47.8762993793,33.1036497342
5,0.0,40.0,0.0,0.0,32.5257337381,-0.986948252675,-1.37338959583,6.95969631745,7.32052730784,6.34256600479
6,0.0,55.0,0.0,0.0,60.1878727434,-3.18995202189,-1.00322335414,26.5323709508,28.3324137582,23.9169221616
7,0.0,70.0,0.0,0.0,42.0594200913,-1.68361223899,-6.19258233872,11.848394164,12.5384575347,12.3867652953
8,0.0,85.0,0.0,0.0,55.4816582807,-4.14640675764,-0.0198555646336,21.6654378661,23.3996784406,19.3165154747
9,0.0,100.0,0.0,0.0,31.4432054187,-1.29838041247,-0.901637093804,6.47231643242,6.84144915141,5.83364181153
10,10.0,0.0,0.0,0.0,67.4013686692,6.45092296101,7.90109890882,37.8031827711,37.1659780056,25.8835214661
11,10.0,10.0,0.0,0.0,33.2739083208,-2.77807485409,-1.84141823331,7.10448906646,7.66438064887,6.74411006571
12,10.0,20.0,0.0,0.0,38.026316439,-1.74529002577,1.2431267981,9.52469155709,10.1028081577,8.00656600783
13,10.0,30.0,0.0,0.0,35.3796462649,-3.56540090432,-2.53968853531,7.98111330058,8.68959153015,7.80433187534
14,10.0,40.0,0.0,0.0,61.3592342814,6.07111461578,-0.493157222402,30.1912635051,29.6594108066,24.7445738856
15,10.0,55.0,0.0,0.0,46.6860515852,-7.65041169419,-14.1676210939,13.9613295613,15.7811547856,18.8422980939
16,10.0,70.0,0.0,0.0,67.8017602713,7.70359182013,1.56004842268,38.7337915206,37.7038288892,30.1127499571
17,10.0,85.0,0.0,0.0,32.1442712045,-1.09850816911,-0.924130807247,6.78507902733,7.14924010379,6.09809096778
18,10.0,100.0,0.0,0.0,55.0892357521,-2.99499160238,-2.29003566895,21.5501622428,23.0164091081,20.0754293529
19,20.0,0.0,0.0,0.0,33.5955409748,-1.36389144384,-1.88273893352,7.39307368435,7.81544889678,6.88396123976
20,20.0,10.0,0.0,0.0,50.7304291717,-2.01388505275,-2.19592393619,17.9743676826,19.0369682811,16.6241582507
21,20.0,20.0,0.0,0.0,68.7469699574,-0.141881260094,2.4093506611,37.5580158242,38.994070316,30.6086916777
22,20.0,30.0,0.0,0.0,41.4953321161,-0.702995980025,-1.43649477672,11.6421426255,12.1765370137,10.4900472844
23,20.0,40.0,0.0,0.0,40.2041836265,-3.70396883728,-5.20249559137,10.4729299498,11.3744908149,10.9793375015
24,20.0,55.0,0.0,0.0,37.3380505036,-0.914838349926,0.0603755253829,9.26302630021,9.72159326763,8.00554308655
25,20.0,70.0,0.0,0.0,70.4756733566,0.336904281945,-1.00226549067,40.0585476663,41.4293280571,34.8775479262
26,20.0,85.0,0.0,0.0,34.0768883958,-0.369700327963,1.33326577097,7.7181781379,8.04522211584,6.33535249722
27,20.0,100.0,0.0,0.0,53.5093777802,-13.1308469708,-7.65173123872,18.1374609598,21.5157373973,21.3748683874
28,30.0,0.0,0.0,0.0,63.0566878209,-6.36709429831,-1.66868929729,28.845465317,31.6549679066,27.0897127218
29,30.0,10.0,0.0,0.0,72.5280626737,-0.583993821432,10.3119661008,42.6661666415,44.4497080994,29.7331454873
30,30.0,20.0,0.0,0.0,47.7279232167,-4.10553606624,-3.26386020944,15.2828913009,16.5811760229,14.9369808159
31,30.0,30.0,0.0,0.0,38.1832562448,-1.3110150161,-2.10660569666,9.6626726788,10.1911064033,8.99050275344
32,30.0,40.0,0.0,0.0,43.4306924451,-1.99781596629,-3.84331533286,12.6668244454,13.4480217698,12.3920084592
33,30.0,55.0,0.0,0.0,81.0153695971,-0.0486593216044,5.28607445477,56.3905413343,58.4988946324,43.8346676587
34,30.0,70.0,0.0,0.0,33.9921250932,2.0341166133,-9.38826551675,7.93930165482,8.00443767558,9.00620238001
35,30.0,85.0,0.0,0.0,40.960095126,15.9082875935,9.81627932993,13.7830787132,11.8396305346,7.12262270533
36,30.0,100.0,0.0,0.0,37.2333138836,-2.99626785991,-9.8227359699,8.95903674317,9.66443658136,10.818210713
37,40.0,0.0,0.0,0.0,61.353677405,3.39060545326,10.5619609031,29.4755175269,29.6530197722,19.1021626076
38,40.0,10.0,0.0,0.0,53.0831557283,-23.9419473013,-1.32835698582,15.839614126,21.1223646688,18.0177880057
39,40.0,20.0,0.0,0.0,53.0526075276,-24.7839545586,3.05625021449,15.6712476175,21.0943564687,16.0987682888
40,40.0,30.0,0.0,0.0,63.9938967225,24.7348344876,17.1561429407,38.9287866066,32.7941660438,18.1650027675
41,40.0,40.0,0.0,0.0,45.1427001579,-7.6826588906,-4.85612146158,12.9218597971,14.6440051905,13.8307312265
42,40.0,55.0,0.0,0.0,40.3483547639,16.6437951618,3.69103513209,13.4845348981,11.4622467395,8.42004639742
43,40.0,70.0,0.0,0.0,34.8002308251,-0.996668024279,-4.14351612682,7.98894529989,8.39891312665,7.96076716187
44,40.0,85.0,0.0,0.0,41.4733510455,2.3590586124,-15.0245196459,12.0665767833,12.1625766974,15.3272556163
45,40.0,100.0,0.0,0.0,41.0079745412,16.7131756498,6.31759568825,13.9436480479,11.8695120449,8.02391160118
46,55.0,0.0,0.0,0.0,36.591586834,-5.40707853232,-3.77435035961,8.35855838077,9.31911898903,8.68996471881
47,55.0,10.0,0.0,0.0,45.5317847161,6.19538173232,10.6281086663,15.4247802261,14.9253515067,8.97220843244
48,55.0,20.0,0.0,0.0,52.1702985999,-25.1952502705,3.67256440671,14.9562640733,20.2960545383,15.225108747
49,55.0,30.0,0.0,0.0,41.9694258372,18.3546813315,0.852416608524,14.8863336632,12.4802426409,10.0362744857
50,55.0,40.0,0.0,0.0,63.7450447439,-22.5789160435,16.0628615579,25.5518806529,32.489060324,18.4663869467
51,55.0,55.0,0.0,0.0,46.5468221931,15.3929764963,-6.12528031588,17.8564545721,15.6762355556,15.2661408476
52,55.0,70.0,0.0,0.0,56.8895856014,-31.1036895855,3.04837594309,17.4987620637,24.8097550104,19.0168363691
53,55.0,85.0,0.0,0.0,42.7484959633,0.0817324573946,-12.7661238951,12.538539901,12.990213534,15.3031444173
54,55.0,100.0,0.0,0.0,49.2457889278,-1.35702378716,21.8449023509,16.9118731236,17.794405898,7.68230175752
55,70.0,0.0,0.0,0.0,37.146793103,10.1305736403,-5.07794604928,10.559583691,9.61738993554,9.32905943907
56,70.0,10.0,0.0,0.0,41.546936424,-12.3847001701,6.80775385693,10.0965107995,12.2093532036,8.13938274207
57,70.0,20.0,0.0,0.0,34.3571420829,2.03194633134,-9.3783334011,8.11258960838,8.18105394247,9.18243105267
58,70.0,30.0,0.0,0.0,40.4385740565,-15.1957030055,4.15471245173,9.15224457992,11.5173915118,8.33704205217
59,70.0,40.0,0.0,0.0,49.9230257645,25.3154916476,5.13991571106,22.8634091199,18.35428327,13.181173094
60,70.0,55.0,0.0,0.0,51.1867005451,-7.2024012723,12.2624431079,17.3729381169,19.4301419841,11.460542595
61,70.0,70.0,0.0,0.0,44.2587974923,4.41070379815,-5.56322714688,14.2179427323,14.0180438643,13.5256468431
62,70.0,85.0,0.0,0.0,44.6511513366,-15.3626106804,2.0707586277,11.4933994294,14.2936512217,11.1069050384
63,70.0,100.0,0.0,0.0,43.539486999,17.5842598105,-5.77018269175,15.9073372745,13.5220113914,13.1462217557
64,85.0,0.0,0.0,0.0,55.3619678996,6.60475245713,25.2729804096,23.9285528117,23.2823324163,9.6375765566
65,85.0,10.0,0.0,0.0,30.2895427579,3.35908515334,-1.24814636367,6.44224191213,6.35440227487,5.49290259733
66,85.0,20.0,0.0,0.0,43.6266927969,-13.7812543219,-0.0619894896776,11.1007804798,13.5815143783,11.2264536508
67,85.0,30.0,0.0,0.0,42.4292653542,-14.9401469157,4.99765634929,10.2577267505,12.7796014479,9.05175350381
68,85.0,40.0,0.0,0.0,43.0913712448,-0.151871101828,-4.95060102465,12.7242256189,13.2189888624,12.5755347099
69,85.0,55.0,0.0,0.0,38.4285645856,-6.7044394084,0.121098855605,9.131485383,10.330151135,8.490500533
70,85.0,70.0,0.0,0.0,47.236424127,11.9133893102,-3.85060232999,17.7612931233,16.2004822684,14.8339754815
71,85.0,85.0,0.0,0.0,42.9459750924,-1.2625524913,-5.35786697882,12.465460897,13.1216515604,12.6309112789
72,85.0,100.0,0.0,0.0,44.4856673871,7.80373935766,-15.3716317384,14.9354928628,14.1769713961,17.6699874224
73,100.0,0.0,0.0,0.0,48.4936338937,19.4251613962,-1.90619506413,20.2949809292,17.1860699919,14.9221433608
74,100.0,10.0,0.0,0.0,45.2445129535,-2.42644883248,-10.0097561795,13.8040595568,14.7172812067,15.9343635572
75,100.0,20.0,0.0,0.0,42.7018256913,-4.40116729105,6.6593873735,11.8557506923,12.9592795347,8.71791588601
76,100.0,30.0,0.0,0.0,41.9038078498,-12.390922579,-4.11659435537,10.2947026919,12.437909889,11.5851550771
77,100.0,40.0,0.0,0.0,52.2281598836,-21.4287184834,-5.41792655295,15.6370847253,20.3477788012,19.2172971541
78,100.0,55.0,0.0,0.0,43.0069998422,-3.36991669091,3.62544330244,12.1946335065,13.1624469552,9.74022493977
79,100.0,70.0,0.0,0.0,38.3607641495,-5.59811507359,-4.20328974914,9.22969040042,10.291595094,9.68611434598
80,100.0,85.0,0.0,0.0,37.7602514956,8.34859360926,-0.152820127561,10.6741816999,9.95428125618,8.25401473849
81,100.0,100.0,0.0,0.0,44.3060373463,6.59084121384,-13.124149121,14.6063504955,14.0510380319,16.5611522142
82,0.0,0.0,10.0,0.0,42.155751769,-3.40375965714,-6.71096631799,11.6627714173,12.6009722384,12.6275983834
83,0.0,10.0,10.0,0.0,50.1237853026,-17.6041970067,-2.52148983141,14.7517472419,18.5224808152,16.3196214935
84,0.0,20.0,10.0,0.0,44.7423248923,3.2075954023,-4.95504287287,14.3606895617,14.3582087606,13.6094079428
85,0.0,30.0,10.0,0.0,57.3560007022,-6.75740919509,8.11404315933,22.855826367,25.2890765072,17.1022766542
86,0.0,40.0,10.0,0.0,50.5189463926,23.6887870968,6.12170224149,23.0728123232,18.8565448098,13.1978190666
87,0.0,55.0,10.0,0.0,49.4085488361,-13.4859719415,-8.11207668934,14.9237494629,17.9279063153,18.2196896234
88,0.0,70.0,10.0,0.0,51.5381173133,15.4375549344,-5.2117218334,22.2231039941,19.7366246886,18.5706742327
89,0.0,85.0,10.0,0.0,50.4097543539,-10.8219820121,3.66643867887,16.1183116458,18.7638370925,14.0419657299
90,0.0,100.0,10.0,0.0,45.6279659793,-1.19102791808,-13.8195195686,14.2664178651,14.9954510943,17.8555334627
91,10.0,0.0,10.0,0.0,57.9187309411,8.45953434817,17.6212464329,26.9923860401,25.8755469678,13.6622043497
92,10.0,10.0,10.0,0.0,31.721906489,-0.34679586546,-3.61481612364,6.68022608405,6.96272733926,6.53592378237
93,10.0,20.0,10.0,0.0,46.0695279927,-17.3604809279,4.7047985199,12.0798358635,15.3200915562,11.0457197948
94,10.0,30.0,10.0,0.0,33.0311317576,6.40917909901,2.30664119612,7.96482574554,7.55164883186,5.73464596736
95,10.0,40.0,10.0,0.0,50.5309685414,2.23916823998,15.218074623,18.6226487047,18.8667706405,10.1569603254
96,10.0,55.0,10.0,0.0,43.9050009615,-5.74939502568,-7.17411099381,12.4133017365,13.7725789542,13.9000887122
97,10.0,70.0,10.0,0.0,54.4665143258,-20.1913559301,3.62825471031,17.585707439,22.41684043,16.8881366563
98,10.0,85.0,10.0,0.0,48.3983176738,8.50532708909,1.15633635341,18.062680571,17.1099838112,13.6810239156
99,10.0,100.0,10.0,0.0,65.1941385078,-2.312705905,20.5117011575,32.4169378221,34.2925726107,17.5907743542
100,20.0,0.0,10.0,0.0,36.4429240877,6.95546543965,-6.83017956964,9.75848142688,9.24031398924,9.4858148948
101,20.0,10.0,10.0,0.0,37.5221329047,2.35517192639,0.415575233859,9.76494959571,9.82259569849,7.99566465566
102,20.0,20.0,10.0,0.0,38.9475302617,0.559871983517,-7.9076700124,10.3218377998,10.6284653966,11.1539776237
103,20.0,30.0,10.0,0.0,54.0472743494,-14.4854491617,-3.36534445328,18.3211596135,22.0191096885,19.7295684814
104,20.0,40.0,10.0,0.0,60.4106342871,-27.6896290838,1.48738785409,21.1778413177,28.5816598701,22.7930835843
105,20.0,55.0,10.0,0.0,58.8788192636,-16.1940646993,2.24350730655,22.2251347013,26.8969474819,21.0557943254
106,20.0,70.0,10.0,0.0,52.8145037017,-4.68054794889,-2.65621208886,19.1934420725,20.876898437,18.4086491371
107,20.0,85.0,10.0,0.0,48.797538806,4.28956444972,-5.32467157245,17.594208389,17.4301676231,16.5376116878
108,20.0,100.0,10.0,0.0,37.0515284389,2.87888306592,-5.7084434993,9.57702062476,9.56576559008,9.46463932458
109,30.0,0.0,10.0,0.0,36.2852256968,3.21345216739,-2.38394210353,9.21339044629,9.15720619656,8.17107396493
110,30.0,10.0,10.0,0.0,46.985283628,15.037157623,-9.65103141952,18.1463721139,16.0082294456,17.0522712602
111,30.0,20.0,10.0,0.0,37.0670643776,2.67756291022,-3.2848516683,9.56035929079,9.57417194579,8.78145039577
112,30.0,30.0,10.0,0.0,39.8766343766,-1.41326699106,-1.70109414591,10.5891054815,11.1767812297,9.71919981851
113,30.0,40.0,10.0,0.0,41.5909041028,-5.88746011304,-0.421133393926,10.98057174,12.2373595861,10.226120343
114,30.0,55.0,10.0,0.0,56.4800043643,-19.4511950245,-1.59475447312,19.3971009247,24.3938677384,20.9079424386
115,30.0,70.0,10.0,0.0,56.333147789,14.8036717921,9.52448994548,26.8711861962,24.2458898401,15.7629993003
116,30.0,85.0,10.0,0.0,51.8205955041,1.95552331449,2.12817958207,19.6610894762,19.9853072208,15.6058971131
117,30.0,100.0,10.0,0.0,49.6637408267,-5.18617672451,-2.93543063976,16.5469604232,18.1385636844,16.1608033293
118,40.0,0.0,10.0,0.0,47.6669793054,-10.4020022812,-6.08238489104,14.1982084412,16.5336510636,16.0376714636
119,40.0,10.0,10.0,0.0,46.3224411917,-1.66251457845,-17.8331023286,14.678485029,15.5081288858,20.2825409047
120,40.0,20.0,10.0,0.0,43.0319576577,14.155792075,11.7782143999,14.9498583667,13.1791557298,7.51902206839
121,40.0,30.0,10.0,0.0,39.8248498141,6.35732795098,-5.79507734506,11.6223628762,11.1457352388,10.9595291
122,40.0,40.0,10.0,0.0,38.3687775675,-1.66351561108,1.52204224184,9.71859501789,10.2961470726,8.08826241597
123,40.0,55.0,10.0,0.0,37.637215713,-1.24716665985,-9.80041529296,9.37967042745,9.88609340566,11.034952308
124,40.0,70.0,10.0,0.0,37.286824271,-4.75349923459,-0.688087943798,8.77907297794,9.69361010383,8.17929980294
125,40.0,85.0,10.0,0.0,59.1092366865,10.0658342005,12.4070657167,28.6951278734,27.1460145477,16.5575641698
126,40.0,100.0,10.0,0.0,54.4892371642,-2.28091550648,4.97402509386,21.1537253044,22.4385332235,16.3327025645
127,55.0,0.0,10.0,0.0,51.7157132477,-10.2328092099,-1.45401179821,17.2348524643,19.8927307306,17.0344935797
128,55.0,10.0,10.0,0.0,50.2386770285,-8.87636311653,-23.4722159239,16.3313623107,18.619198487,26.9154478355
129,55.0,20.0,10.0,0.0,52.2779562316,6.19278145622,-5.14632798112,20.9319165741,20.3923638277,19.1304053651
130,55.0,30.0,10.0,0.0,36.9003242634,-0.131953619239,9.68554645688,9.12971166343,9.48420722983,5.58781537579
131,55.0,40.0,10.0,0.0,31.7653324018,-2.41249731197,-0.654415683522,6.4985689248,6.98175243945,5.89909965643
132,55.0,55.0,10.0,0.0,33.1572783569,-6.44175825823,2.19692222881,6.68920716166,7.61008524323,5.8033775555
133,55.0,70.0,10.0,0.0,46.3898942271,-9.72738943412,12.3550213808,13.4331509749,15.5585378369,8.90262733927
134,55.0,85.0,10.0,0.0,40.587791014,-6.8761425155,-9.58961073134,10.2741820577,11.6089851375,12.6897632449
135,55.0,100.0,10.0,0.0,41.0993365002,0.352324092563,5.76782997011,11.5502986841,11.9266704016,8.21045612318
136,70.0,0.0,10.0,0.0,44.7201755903,-2.94475572524,-11.7046634326,13.3688186559,14.3425075992,16.2636402096
137,70.0,10.0,10.0,0.0,46.5161936793,12.6798721825,0.984669646293,17.3269824277,15.6532173734,12.5648007954
138,70.0,20.0,10.0,0.0,51.3806194907,27.8756799726,-5.42948330939,24.8798945715,19.5988699396,18.5460538996
139,70.0,30.0,10.0,0.0,44.2053030549,0.973757301105,-11.0296827463,13.6339037768,13.980743658,15.617337948
140,70.0,40.0,10.0,0.0,51.8152905313,13.2214504097,-1.03026333312,22.0017082565,19.9806177949,16.9257515915
141,70.0,55.0,10.0,0.0,40.5518560748,-10.9786997942,0.337296758979,9.73045801505,11.5868830209,9.46151540687
142,70.0,70.0,10.0,0.0,46.8424981614,-8.53418292144,1.17114298915,13.9279456782,15.8996057515,12.6980159564
143,70.0,85.0,10.0,0.0,59.8751028267,-13.2408986888,4.25825912822,23.8389934663,27.9849097233,20.9082420018
144,70.0,100.0,10.0,0.0,39.8086088361,-9.98221085407,-2.9878826761,9.45628785675,11.1360102695,10.0711811593
145,85.0,0.0,10.0,0.0,41.1058306884,2.24936631806,0.782910970444,11.8230558926,11.930740301,9.61113893735
146,85.0,10.0,10.0,0.0,36.4822778121,-1.24261059266,-6.20597322662,8.7841106889,9.26113169107,9.32394137028
147,85.0,20.0,10.0,0.0,51.6695511563,26.5503773326,-3.30198887916,24.86116193,19.852075579,17.8105121387
148,85.0,30.0,10.0,0.0,39.7248842963,-11.0654427743,-1.28241950237,9.27971922299,11.0859664148,9.51827230323
149,85.0,40.0,10.0,0.0,36.7186619522,0.522301936704,-8.62309994629,9.11424366258,9.38683467874,10.1651867525
150,85.0,55.0,10.0,0.0,40.8007358579,-5.80606398061,1.42017739514,10.5348539544,11.7405358368,9.27181307862
151,85.0,70.0,10.0,0.0,38.1354430897,9.36897644528,-3.84785948594,11.0298790887,10.1641512629,9.46704551378
152,85.0,85.0,10.0,0.0,46.4980062969,9.63270011933,11.5999900999,16.7575021418,15.6395597168,9.16932268705
153,85.0,100.0,10.0,0.0,46.3319867204,-4.77073516601,-6.39149588286,14.1783724962,15.5152558193,15.2243086074
154,100.0,0.0,10.0,0.0,58.6963950249,-17.3992306518,6.86747998196,21.7948043636,26.7008421865,18.6912160814
155,100.0,10.0,10.0,0.0,52.0266398661,12.2882759616,3.06298297115,21.9969156495,20.1680120275,15.370742534
156,100.0,20.0,10.0,0.0,71.5356246488,9.95099708975,27.5234502414,44.8030109524,42.9715023832,19.3804978771
157,100.0,30.0,10.0,0.0,47.734537867,11.3496201369,1.69538476291,18.0594935444,16.5863396966,13.0617525875
158,100.0,40.0,10.0,0.0,47.4127759787,-12.7265607658,-11.6448022618,13.6535407047,16.3363988687,18.2612009408
159,100.0,55.0,10.0,0.0,33.8262506935,-0.435253885609,1.95691968484,7.59569904098,7.92502532386,6.1022145509
160,100.0,70.0,10.0,0.0,53.2875295051,-3.31292631263,-3.83806337668,19.8732081046,21.3103833342,19.3330813828
161,100.0,85.0,10.0,0.0,44.477851569,15.5680766744,6.08732606247,16.262969858,14.1714763598,9.76230167879
162,100.0,100.0,10.0,0.0,53.7046402359,-24.3959457819,-1.70572532928,16.2288401607,21.6975702131,18.6759192954
