SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,53.3126138589,2.79344703434,7.82333230392,21.1542957014,21.3335368836,14.366763368
2,0.0,10.0,0.0,0.0,44.5708043612,-6.29086992031,-4.5048251747,12.7599296675,14.236920349,13.3336239971
3,0.0,20.0,0.0,0.0,31.5136951018,-1.28170812271,-0.836592725558,6.50299136984,6.87198893772,5.8456042295
4,0.0,30.0,0.0,0.0,75.4131302225,6.56538060063,9.72790348655,49.5898010475,48.9386262337,33.3545929737
5,0.0,40.0,0.0,0.0,32.4718983554,-1.15732133976,-1.05556237012,6.91941315166,7.29618972687,6.25112509335
6,0.0,55.0,0.0,0.0,61.2905021996,-2.69685373617,1.11080309106,27.8371531684,29.5804257032,23.8016763289
7,0.0,70.0,0.0,0.0,42.3439283379,-3.37955205924,-6.1770110269,11.781367851,12.7236886605,12.5535524092
8,0.0,85.0,0.0,0.0,56.8669250671,-2.54250502956,2.21483491245,23.325864999,24.7866230004,19.388864094
9,0.0,100.0,0.0,0.0,32.964531826,-2.33601436422,-1.17134346905,7.01422888575,7.52091796139,6.46744893043
10,10.0,0.0,0.0,0.0,68.4922946231,6.37366025248,8.19841209542,39.2547252123,38.6435793991,26.7989785175
11,10.0,10.0,0.0,0.0,33.1755083222,-1.58183430674,-1.35472992289,7.18328739502,7.61855497849,6.59226978909
12,10.0,20.0,0.0,0.0,39.5064708255,-0.0854933109481,2.90222156344,10.5536198715,10.9561224613,8.24220017932
13,10.0,30.0,0.0,0.0,35.1803624087,-2.50452532314,-2.40652802974,8.00331850899,8.58887145102,7.68247846103
14,10.0,40.0,0.0,0.0,62.399015355,4.43522337113,-0.267439253604,30.9568614122,30.8715089082,25.6237160658
15,10.0,55.0,0.0,0.0,47.5153256795,-10.9117742683,-13.4981655504,14.011336784,16.4157836692,19.1960638637
16,10.0,70.0,0.0,0.0,68.6172591508,7.66717109441,2.2963499184,39.8398601579,38.8152952611,30.5380496822
17,10.0,85.0,0.0,0.0,32.2037960081,-1.26777243885,-0.394653938751,6.79369219912,7.17579052016,6.00552469225
18,10.0,100.0,0.0,0.0,56.4165784686,-2.40777449296,-0.765911501333,22.9224572307,24.3298839104,20.4464057953
19,20.0,0.0,0.0,0.0,34.1747888653,-0.627179458428,-0.636910350137,7.73586877721,8.09249972462,6.82572744016
20,20.0,10.0,0.0,0.0,51.6997242142,-0.664995773711,-0.0269030814362,19.0381374201,19.8786428434,16.4133035448
21,20.0,20.0,0.0,0.0,69.3636792186,0.372400572346,3.10139140676,38.5454938367,39.8515674407,30.8465289848
22,20.0,30.0,0.0,0.0,43.2831812529,0.856634440423,0.489793633413,13.0014322489,13.3481332805,10.8560347078
23,20.0,40.0,0.0,0.0,41.4522913463,-3.70940113194,-2.82701574348,11.1968203284,12.1492115626,10.9073748347
24,20.0,55.0,0.0,0.0,38.509258006,0.0499515946286,1.58310334116,10.0120734937,10.376164382,8.1360205465
25,20.0,70.0,0.0,0.0,71.3800397304,0.992569413123,0.0216724174966,41.5433954577,42.7427780794,35.2520450552
26,20.0,85.0,0.0,0.0,34.636942604,-0.28779168866,1.71649955548,7.9895003423,8.31818278199,6.46645698485
27,20.0,100.0,0.0,0.0,53.7800912355,-13.8249335077,-7.70008997324,18.2274071833,21.7681053766,21.6349921425
28,30.0,0.0,0.0,0.0,63.9260198354,-6.39498905046,-2.39217020773,29.8186911893,32.7107567686,28.4199077023
29,30.0,10.0,0.0,0.0,72.9958548853,-0.596212993728,9.80817494295,43.3430045366,45.1580697387,30.5619669271
30,30.0,20.0,0.0,0.0,49.4892711875,-3.79363281022,-2.16132089602,16.6616612892,17.9943641187,15.7162539255
31,30.0,30.0,0.0,0.0,42.0250036514,-0.116057500879,-0.664536150484,12.0524978855,12.5161731241,10.5343163239
32,30.0,40.0,0.0,0.0,48.609852617,-1.66165565847,-1.22267535234,16.3657297081,17.2791463657,14.7317286245
33,30.0,55.0,0.0,0.0,80.5334300991,3.50159896634e-05,5.36294671588,55.5737337337,57.6314102218,43.1017960946
34,30.0,70.0,0.0,0.0,34.7199470259,2.09092099056,-9.1727960055,8.29419800168,8.35915553747,9.3032211354
35,30.0,85.0,0.0,0.0,40.4159658771,16.1035876433,9.25307675016,13.4457932355,11.503556136,7.03236474493
36,30.0,100.0,0.0,0.0,37.2595272779,-3.35564788991,-10.0221849786,8.92982562191,9.67872063241,10.8965438141
37,40.0,0.0,0.0,0.0,62.9854469177,0.329913048663,13.4660565098,30.5308870383,31.5694686149,19.0598695958
38,40.0,10.0,0.0,0.0,53.6418946216,-25.0669705687,-0.167960612928,16.0633614634,21.6390288207,17.9294931916
39,40.0,20.0,0.0,0.0,52.8525462113,-25.5534535681,4.45497579764,15.3917578061,20.9115415154,15.3836579041
40,40.0,30.0,0.0,0.0,65.4377941048,21.1689759377,19.5532449243,39.7748120938,34.6022258721,18.2067195163
41,40.0,40.0,0.0,0.0,45.1329967898,-9.68404518802,-4.22487333431,12.6147606845,14.6370342706,13.5883511597
42,40.0,55.0,0.0,0.0,40.2994428575,17.3918121571,3.16249106896,13.5684432211,11.4324240145,8.54067711083
43,40.0,70.0,0.0,0.0,35.3088186696,-2.14782984088,-4.70481892242,8.10395882064,8.65370485818,8.34110383633
44,40.0,85.0,0.0,0.0,42.8764147482,1.02245754573,-15.4835695707,12.7614207059,13.0752529768,16.5164536047
45,40.0,100.0,0.0,0.0,40.4416362513,17.2911031508,5.74021255869,13.648770646,11.5192663152,7.91991802087
46,55.0,0.0,0.0,0.0,36.3868341536,-5.18792823463,-4.20148164634,8.28360615108,9.21069696402,8.71043641205
47,55.0,10.0,0.0,0.0,46.6255985459,6.4451199516,10.7787587788,16.2867487623,15.735541814,9.47043027051
48,55.0,20.0,0.0,0.0,52.1771567071,-26.0405284156,4.43186704394,14.8204357349,20.3021806602,14.9272258
49,55.0,30.0,0.0,0.0,43.298088864,21.4312503431,2.39397954705,16.4007598048,13.3582055549,10.2656464671
50,55.0,40.0,0.0,0.0,64.0251644955,-23.2483505035,15.8574608121,25.680506607,32.8326365312,18.7822226095
51,55.0,55.0,0.0,0.0,46.5678267148,15.1618119425,-6.06473716821,17.8300340287,15.6920340761,15.2563661741
52,55.0,70.0,0.0,0.0,56.1552722138,-31.651097118,3.5560826054,16.8192605286,24.0674590015,18.2034721633
53,55.0,85.0,0.0,0.0,42.7440562309,-0.635177753031,-13.1937291968,12.4295560165,12.9872686732,15.4728037072
54,55.0,100.0,0.0,0.0,49.6839400638,-1.38312991298,22.5332799907,17.2517540424,18.1553079878,7.69936296831
55,70.0,0.0,0.0,0.0,37.876505856,13.3680571894,-3.84198553527,11.4276112091,10.0189981892,9.33547525524
56,70.0,10.0,0.0,0.0,44.1013878461,-12.0441219668,10.780481015,11.6268673873,13.9084756504,8.25393274311
57,70.0,20.0,0.0,0.0,34.9978145321,3.27228950923,-9.1108286474,8.56531181363,8.49729562536,9.42422855641
58,70.0,30.0,0.0,0.0,41.1451250599,-15.5485347699,4.4926443182,9.48024140766,11.9553857845,8.57562739665
59,70.0,40.0,0.0,0.0,49.977559899,25.62855602,5.82103427825,22.9851110562,18.3998711288,12.9683984952
60,70.0,55.0,0.0,0.0,53.7196998105,-4.99464028944,16.986028003,19.9097865403,21.7116364263,11.342662688
61,70.0,70.0,0.0,0.0,44.6057858471,3.73464725315,-5.81126329859,14.3506981355,14.261601364,13.8418066515
