SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,66.1118014181,4.42531344536,8.44501276664,35.5011482752,35.4684959469,24.3342537617
2,0.0,10.0,0.0,0.0,50.6380152951,0.561047402167,4.71139082758,18.3884377156,18.9579858085,13.795831784
3,0.0,20.0,0.0,0.0,35.6533626091,-0.288118258245,2.89765048755,8.48095825863,8.82920965911,6.59681259522
4,0.0,30.0,0.0,0.0,80.4152451324,2.60265567691,6.9635924162,56.4166710224,57.4199964914,41.6694338113
5,0.0,40.0,0.0,0.0,37.882765259,0.228876012349,3.10976650333,9.69324487213,10.0224906336,7.46664443266
6,0.0,55.0,0.0,0.0,74.8469826273,-0.249727640114,4.1218832962,46.2313533627,48.0349733702,36.5865288596
7,0.0,70.0,0.0,0.0,45.874769933,9.64424811246,0.0342616462623,16.2801728977,15.1763321747,12.5100006125
8,0.0,85.0,0.0,0.0,70.656759573,-0.130878881509,4.08060127503,40.1593787815,41.6901413442,31.6565345613
9,0.0,100.0,0.0,0.0,37.7402761879,1.45469796922,3.48946707959,9.76995315403,9.94318945773,7.31171960996
10,10.0,0.0,0.0,0.0,77.7066711244,2.35892575302,6.56333874701,51.7290876714,52.7154068382,38.4072462653
11,10.0,10.0,0.0,0.0,40.8586052098,1.15483028495,3.55388627713,11.5172737954,11.7764566549,8.69788656223
12,10.0,20.0,0.0,0.0,53.2281721926,0.515832351642,4.4746731859,20.603223178,21.2556616362,15.6386924588
13,10.0,30.0,0.0,0.0,44.047130128,1.35256200512,4.0239851571,13.5863844905,13.8708411907,10.16157274
14,10.0,40.0,0.0,0.0,74.2931420639,5.22534637463,4.11288820385,47.334385402,47.1617954724,35.9099916138
15,10.0,55.0,0.0,0.0,56.9832829809,-5.4200057537,-10.4606152193,22.7962394965,24.9055546437,26.112467567
16,10.0,70.0,0.0,0.0,77.5371695642,2.89671193764,3.75875849442,51.6554670539,52.4298607627,40.3052676431
17,10.0,85.0,0.0,0.0,37.6194646077,0.728375006247,3.64388879754,9.61398151278,9.87628131839,7.22285244561
18,10.0,100.0,0.0,0.0,70.8024270393,-0.616099849752,3.68622365649,40.2054258583,41.9007346565,32.08025512
19,20.0,0.0,0.0,0.0,42.1366216984,0.674855822208,3.74985639896,12.237414734,12.5885412305,9.26419856624
20,20.0,10.0,0.0,0.0,66.6743228553,-0.550772489988,3.80134100734,34.7482495559,36.2024507874,27.5441693714
21,20.0,20.0,0.0,0.0,79.7480358362,0.17511659478,4.64739367764,54.2973438229,56.236159408,42.5911968161
22,20.0,30.0,0.0,0.0,57.4503730256,-0.10131282967,3.89905446267,24.4568923272,25.3868051405,19.0709479714
23,20.0,40.0,0.0,0.0,52.5320925757,0.105933339881,3.85117585078,19.9060631889,20.6209187448,15.4043860031
24,20.0,55.0,0.0,0.0,49.5799558782,0.343264520618,4.05012685135,17.4876243578,18.0692194639,13.3635784526
25,20.0,70.0,0.0,0.0,80.096774551,0.230220367791,3.37584645649,54.9144494111,56.8528794296,44.1002233572
26,20.0,85.0,0.0,0.0,43.079179808,0.655211805329,4.17930209475,12.8377112394,13.2108087228,9.61289101697
27,20.0,100.0,0.0,0.0,66.086663699,-7.23601221493,-3.2295217278,32.1168212868,35.4359309265,31.28592613
28,30.0,0.0,0.0,0.0,75.7961236374,-1.80666028512,2.5153250919,47.1353386288,49.5563211786,38.9704503333
29,30.0,10.0,0.0,0.0,79.5187701174,-0.613316132898,7.71717869943,53.5994252704,55.8331586752,39.8907270853
30,30.0,20.0,0.0,0.0,63.6187849818,-2.08819005272,1.76236435091,30.6147668831,32.334985433,25.6653119017
31,30.0,30.0,0.0,0.0,53.2778841665,-0.755755958745,2.74115130529,20.3853630579,21.3014848823,16.3934516434
32,30.0,40.0,0.0,0.0,60.3299140928,-1.28931615769,2.11086310061,27.1521865026,28.4911745295,22.3950602867
33,30.0,55.0,0.0,0.0,82.7789518579,-0.298476777819,4.35665604638,59.4176973176,61.7474849556,47.1373936618
34,30.0,70.0,0.0,0.0,39.095131961,5.43281010617,-11.4889271405,11.0572260648,10.7143471872,12.4517296756
35,30.0,85.0,0.0,0.0,49.0806271128,18.5115432669,21.9800248065,20.6277078115,17.6596145305,7.57604134752
36,30.0,100.0,0.0,0.0,44.5602961188,-4.95308372063,-12.6848945775,12.9551009601,14.2295118759,16.5607799734
37,40.0,0.0,0.0,0.0,72.935525409,4.14741403151,19.5131862312,44.8830501315,45.066295252,24.7183984106
38,40.0,10.0,0.0,0.0,58.4350400691,-25.0983821842,2.69823923804,19.9544875415,26.4215512295,20.4541975803
39,40.0,20.0,0.0,0.0,57.9114543331,-25.7897877436,8.96711932059,19.363641066,25.8679061029,17.1476592587
40,40.0,30.0,0.0,0.0,72.6215182623,10.7353955149,20.1979615873,46.726672051,44.5906281764,24.0451549915
41,40.0,40.0,0.0,0.0,50.640078549,-8.78410466963,2.19530331354,16.656260151,18.959746801,14.7640928841
42,40.0,55.0,0.0,0.0,50.897894968,18.6779639229,4.82457427346,22.3278402318,19.1806530341,13.9220071231
43,40.0,70.0,0.0,0.0,39.5671347019,3.5847844087,-1.07794549085,11.0827095295,10.9920840803,9.37921446452
44,40.0,85.0,0.0,0.0,48.016885447,12.5441261163,-11.7985747153,18.5200738968,16.8077529266,18.8078679425
45,40.0,100.0,0.0,0.0,50.3079194962,17.9017120112,9.73492871276,21.6114953081,18.6776501719,11.7998892659
46,55.0,0.0,0.0,0.0,45.4293950066,-6.84595670748,-1.81432721169,13.2384053845,14.850967469,12.8941777783
47,55.0,10.0,0.0,0.0,58.1838471152,4.90270300926,15.819696623,26.3991064368,26.1549616483,14.5225853022
48,55.0,20.0,0.0,0.0,57.5634774159,-25.9736835978,16.3989107901,19.0314900057,25.5042633427,13.891058724
49,55.0,30.0,0.0,0.0,49.0425766517,29.8938040887,6.42095112971,23.0374537585,17.6286576831,12.1873144179
50,55.0,40.0,0.0,0.0,73.7209575918,-10.7060864605,25.9055885332,41.0147994117,46.2708771892,22.0303871833
51,55.0,55.0,0.0,0.0,52.5099368952,29.3100898277,0.337612687771,26.387125307,20.6009256531,16.8525842161
52,55.0,70.0,0.0,0.0,62.844751375,-25.1722332944,8.84250554045,24.037559818,31.40106634,21.1749337886
53,55.0,85.0,0.0,0.0,46.5966095363,11.6679553348,-9.7149911729,17.2047008869,15.7137002669,16.7913673921
