SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,55.939059892,5.53079025528,9.05710774027,24.2529532378,23.8517531835,15.6760927084
2,0.0,10.0,0.0,0.0,43.8743103771,5.21060632011,2.34112719561,14.0799455742,13.7514218568,10.5917836726
3,0.0,20.0,0.0,0.0,31.8862654359,2.90116495177,1.325387686,7.07382746079,7.03491635197,5.52946204966
4,0.0,30.0,0.0,0.0,77.5291518294,5.91245171112,9.09656173481,52.8015206431,52.4163795118,36.3350389271
5,0.0,40.0,0.0,0.0,32.9575909561,4.02887626897,0.861435612269,7.67249426492,7.51772007643,6.01492723145
6,0.0,55.0,0.0,0.0,66.9230915416,0.0650365464413,2.53657082916,35.245181797,36.5302368158,28.5652735677
7,0.0,70.0,0.0,0.0,40.4128768961,8.42284091621,-2.25919044041,12.2839440798,11.5016666538,10.1668497426
8,0.0,85.0,0.0,0.0,60.9545988437,0.0687047843352,3.45748079451,28.171490436,29.1964311325,22.2554863551
9,0.0,100.0,0.0,0.0,32.4097453197,1.61317752919,1.11915266903,7.17246668782,7.26815910727,5.75897730721
10,10.0,0.0,0.0,0.0,72.2389815048,4.52774416062,8.39163351472,43.9780765211,44.0156877575,30.633252342
11,10.0,10.0,0.0,0.0,33.6360773388,2.12866266557,1.14549959664,7.78264947235,7.83462817503,6.20826508394
12,10.0,20.0,0.0,0.0,41.5237949437,0.891099514319,3.51397648751,11.8864696646,12.1946298011,9.02979689732
13,10.0,30.0,0.0,0.0,35.5015495955,2.33144773959,1.26648555524,8.70781791964,8.75158915872,6.91638617251
14,10.0,40.0,0.0,0.0,67.865018646,7.2189122977,4.34927541037,38.6670499388,37.7892763945,28.4502843527
15,10.0,55.0,0.0,0.0,49.6621902867,-3.57900799093,-9.05510549912,16.8345574904,18.1372787788,18.8509731176
16,10.0,70.0,0.0,0.0,73.2569848318,5.61022342562,1.29655173322,45.8801393227,45.5567430841,36.64698394
17,10.0,85.0,0.0,0.0,32.1802991219,0.668522783828,1.82494676837,6.97641176614,7.16530214126,5.53097233652
18,10.0,100.0,0.0,0.0,61.0302587012,-1.19147365631,3.27309771212,27.9342191003,29.2826314531,22.4185489289
19,20.0,0.0,0.0,0.0,34.2639788879,1.26589358496,2.10407109431,7.98357310524,8.13573183497,6.23566156116
20,20.0,10.0,0.0,0.0,56.3122143089,-0.710665791815,3.18502796487,23.2004933569,24.2248453814,18.4949655395
21,20.0,20.0,0.0,0.0,77.1929927054,0.179619562212,5.14620306126,50.0689504995,51.8532292095,38.8036894248
22,20.0,30.0,0.0,0.0,46.9189210627,-0.212254187378,3.7736456522,15.3518232582,15.9576829595,11.8399349775
