SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,59.7317244898,4.37122478088,10.0469325804,27.9254982264,27.8265632182,18.0572042335
2,0.0,10.0,0.0,0.0,46.1120763203,-0.638128766072,-1.4347898722,14.6978979559,15.3516186792,13.182668267
3,0.0,20.0,0.0,0.0,34.8958140051,0.88031235961,0.578600782664,8.24328162017,8.44641131269,6.83222326715
4,0.0,30.0,0.0,0.0,78.8889643367,2.94154064417,8.77810990743,53.9287209036,54.7360119949,38.2763140903
5,0.0,40.0,0.0,0.0,35.6816493612,0.6936390813,0.109476305941,8.60787419829,8.84372293262,7.27013417801
6,0.0,55.0,0.0,0.0,70.3299332596,-0.659146079005,4.25727865848,39.5376213359,41.2202145381,31.1753022282
7,0.0,70.0,0.0,0.0,44.5686370015,2.77581735084,-4.48034553917,14.1696557138,14.2353921165,13.3232658247
8,0.0,85.0,0.0,0.0,64.7378599376,-0.625730798219,4.30666046944,32.3387488493,33.7176837835,25.3175406008
9,0.0,100.0,0.0,0.0,34.7600282531,-0.332546521093,1.01780128627,8.04303654964,8.37898856588,6.67512872702
10,10.0,0.0,0.0,0.0,74.875843158,2.76804788598,8.0641709164,47.353953646,48.0807675805,33.8560308627
11,10.0,10.0,0.0,0.0,35.4539406647,-0.276919619282,1.13513167734,8.38425310161,8.72734122273,6.92807227807
12,10.0,20.0,0.0,0.0,44.3861359194,0.317439937189,3.82827358449,13.6532481055,14.1071002599,10.4024767353
13,10.0,30.0,0.0,0.0,37.6143895411,-0.809707712159,0.876903017199,9.42122412382,9.87347722242,7.91699845227
14,10.0,40.0,0.0,0.0,70.9725092358,5.78156448167,4.34029304557,42.5522416178,42.1475206834,31.8429495851
15,10.0,55.0,0.0,0.0,50.2752398212,-7.21024749925,-11.4875368032,16.6564892085,18.650048095,20.5114703275
16,10.0,70.0,0.0,0.0,74.9985689212,3.89383224393,2.5479780369,47.9523903729,48.2758267219,37.9232943285
17,10.0,85.0,0.0,0.0,34.5934177143,0.296590213054,2.41261208631,8.03320911204,8.29675157818,6.29323823294
18,10.0,100.0,0.0,0.0,64.309712571,-1.06766973388,4.16380729616,31.7041249636,33.1841155543,24.9838199635
19,20.0,0.0,0.0,0.0,36.92376946,-0.0957656613708,2.22818394348,9.1462167162,9.49682289917,7.27574250013
20,20.0,10.0,0.0,0.0,59.440467844,-0.827493430395,4.36036012027,26.3226500009,27.5067418332,20.4890776299
21,20.0,20.0,0.0,0.0,79.8143766415,0.0831572389858,4.04760021597,54.3739144928,56.3531332213,43.1625133256
22,20.0,30.0,0.0,0.0,49.6904374552,-0.327026763447,3.87261850043,17.4516726598,18.160696237,13.4993624062
23,20.0,40.0,0.0,0.0,44.8815516169,-1.88815065016,0.484742474416,13.6422209555,14.4571660464,11.764176602
24,20.0,55.0,0.0,0.0,42.5247671472,0.178148461541,3.90821430313,12.41009518,12.8423681512,9.41213123879
25,20.0,70.0,0.0,0.0,80.2580815945,0.164905926349,2.65249608882,55.165250103,57.1396582267,44.9215852557
