SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,64.5212616953,3.66057476928,8.79322056207,33.2841481629,33.4470443569,22.678548164
2,0.0,10.0,0.0,0.0,44.5428080348,-5.97288247828,2.53962683272,12.7895971157,14.2171882054,10.895121631
3,0.0,20.0,0.0,0.0,32.4166076938,-2.59284460504,1.08256475734,6.7535260308,7.27125046194,5.76914215702
4,0.0,30.0,0.0,0.0,79.3304049379,2.67465502477,6.60896531301,54.5737438422,55.5034968684,40.4910021727
5,0.0,40.0,0.0,0.0,33.8708036357,-3.55314310149,1.09529043148,7.28886046528,7.94630320446,6.30915258817
6,0.0,55.0,0.0,0.0,72.9432320929,-0.493836888486,3.52383181011,43.3007693142,45.0780118902,34.6884999711
7,0.0,70.0,0.0,0.0,40.3268836313,-0.909790609813,-0.375041601074,10.9167159807,11.4491489132,9.55661347567
8,0.0,85.0,0.0,0.0,68.907964379,-0.404645423568,3.42644180528,37.6912222093,39.216724697,30.1385803729
9,0.0,100.0,0.0,0.0,33.458169674,-1.94363588626,2.02038097684,7.27138514894,7.75068617637,5.9512492688
10,10.0,0.0,0.0,0.0,76.1311944359,2.48715514413,6.31324180841,49.2255867708,50.1009703326,36.6029399443
11,10.0,10.0,0.0,0.0,35.5520541173,-2.57241670088,2.245641593,8.17340746189,8.77736091174,6.70706325322
12,10.0,20.0,0.0,0.0,48.3273239111,0.534023979929,3.86668428075,16.539776186,17.0534591895,12.6499174387
13,10.0,30.0,0.0,0.0,38.5475984126,-3.41003672435,2.56844199099,9.59684490889,10.3980747654,7.89560226796
14,10.0,40.0,0.0,0.0,73.1297964926,4.60271147097,4.24718504359,45.3337417861,45.3622697748,34.4102439333
15,10.0,55.0,0.0,0.0,50.215130465,-11.2345289326,-14.5743045493,15.899600633,18.5993492541,22.0060735989
16,10.0,70.0,0.0,0.0,76.586395439,2.98755032036,2.09072586226,50.1412295856,50.8472607961,40.3273548686
17,10.0,85.0,0.0,0.0,34.2350881196,-0.510112611338,3.06292976594,7.77651015188,8.12171111036,6.01516204043
18,10.0,100.0,0.0,0.0,67.716275012,-1.64927569623,2.55260602354,35.7517542167,37.5885627601,29.3979623208
19,20.0,0.0,0.0,0.0,38.3459786051,-0.985404047216,3.50638865447,9.79143118374,10.2831997676,7.56738481164
20,20.0,10.0,0.0,0.0,64.4840063337,-1.21914989521,2.76461760861,31.8697208214,33.4006402671,25.9444501438
21,20.0,20.0,0.0,0.0,77.931980858,-0.101961509292,2.89200016671,51.1621216138,53.0965710061,41.504905147
22,20.0,30.0,0.0,0.0,55.0828729163,-0.583166713492,3.12829150698,22.0622082007,23.0102294163,17.5687843199
23,20.0,40.0,0.0,0.0,47.5631703414,-2.52905890543,4.25795949105,15.4301567432,16.4529085389,12.0537230518
24,20.0,55.0,0.0,0.0,46.5760315663,-0.184844995824,3.89061980315,15.1066135189,15.6982082251,11.6013261859
25,20.0,70.0,0.0,0.0,76.7485336506,0.0812455457492,2.01933314515,49.3198971202,51.114861553,40.5974576497
26,20.0,85.0,0.0,0.0,37.7608748092,0.570490810113,3.61730981752,9.67027576941,9.95462749963,7.28903017521
27,20.0,100.0,0.0,0.0,60.7917586147,-10.0043140497,-5.39966301561,25.5148823755,29.0114792172,26.9873072963
28,30.0,0.0,0.0,0.0,73.2232194604,-2.68586145401,2.14663686349,42.9673809366,45.5050611284,35.9964618682
29,30.0,10.0,0.0,0.0,78.4011002671,-0.402409479231,7.77214530017,51.817717845,53.8960826968,38.3986870886
30,30.0,20.0,0.0,0.0,59.337066212,-2.90724170597,4.48591870999,25.71256119,27.3937913666,20.3408712832
31,30.0,30.0,0.0,0.0,48.0424581992,-1.88602184843,4.06029871054,15.8967373027,16.8279034956,12.4086985473
