SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,61.0903543372,5.33680332691,9.23953572015,29.6889993413,29.351220017,19.5102750706
2,0.0,10.0,0.0,0.0,44.8283362053,0.336471097768,2.94680753481,13.9580577072,14.4192889679,10.9224589097
3,0.0,20.0,0.0,0.0,34.3019112843,2.14589079966,3.5405608403,8.09880944659,8.15416496134,5.9372236912
4,0.0,30.0,0.0,0.0,78.3501208683,3.72679553337,7.1559955028,53.327199143,53.8088133841,38.7926550676
5,0.0,40.0,0.0,0.0,36.0022873644,1.60573013413,3.26278423003,8.87572425442,9.00934821516,6.65127547656
6,0.0,55.0,0.0,0.0,70.5244673606,-0.230955211491,3.18048660051,39.943486942,41.4994972818,32.0977273792
7,0.0,70.0,0.0,0.0,39.8677987319,9.12734723129,0.981666521252,12.0445602886,11.1714799912,8.93868218844
8,0.0,85.0,0.0,0.0,65.5967107063,-0.177674691049,3.78539318878,33.5116536502,34.8051883514,26.4615911779
9,0.0,100.0,0.0,0.0,35.4660401179,1.59184002746,4.29244619609,8.6042750021,8.73349940352,6.21006558699
10,10.0,0.0,0.0,0.0,74.4081964165,3.613922262,7.66629196658,46.9339062214,47.3423104103,33.5776843637
11,10.0,10.0,0.0,0.0,37.5275420985,1.69821810455,4.22905637307,9.68551772571,9.82557415007,7.04291172053
12,10.0,20.0,0.0,0.0,48.654914203,0.566503077299,4.11178288801,16.7991244777,17.3153251625,12.7636038306
13,10.0,30.0,0.0,0.0,39.3301357666,0.814280941121,4.20072974748,10.5721253964,10.8520363529,7.82252920525
14,10.0,40.0,0.0,0.0,70.5222096816,6.8229050908,3.89445984617,42.2512680075,41.496248833,31.6265874495
15,10.0,55.0,0.0,0.0,51.1178177519,-5.6168505266,-11.5231871866,17.611856442,19.3704412969,21.2484122241
16,10.0,70.0,0.0,0.0,75.3991132574,4.54665985658,3.58401680918,48.8216552472,48.9161174594,37.6692331602
17,10.0,85.0,0.0,0.0,37.0383424676,1.54928839151,3.60351458644,9.40601772779,9.55863464215,6.99075749026
18,10.0,100.0,0.0,0.0,65.3734286481,-0.328261384067,2.40685339051,33.1943500951,34.5202456955,27.0419347717
19,20.0,0.0,0.0,0.0,39.8470990978,1.48761474967,3.7703199147,10.9613729669,11.1590671228,8.16760375255
20,20.0,10.0,0.0,0.0,61.6032941939,-0.908584224254,3.07920295693,28.637356374,29.9410139472,23.0377974414
21,20.0,20.0,0.0,0.0,79.306308629,0.329010487432,5.1114759949,53.6098083957,55.4614192737,41.6224815351
22,20.0,30.0,0.0,0.0,53.3215174871,-0.412263361021,3.48378399323,20.4946999377,21.3417592087,16.1138048146
23,20.0,40.0,0.0,0.0,47.0906826747,-0.0389022456343,3.91381832377,15.5076338063,16.088728113,11.8929228115
24,20.0,55.0,0.0,0.0,46.9087346962,0.273550616416,4.03385901482,15.4270475408,15.949933725,11.7459548599
25,20.0,70.0,0.0,0.0,78.4752271526,0.6564746464,3.27019369584,52.346633201,54.0231454116,41.9435968079
26,20.0,85.0,0.0,0.0,41.0613720685,0.875232168794,4.14229559845,11.600881373,11.9028966606,8.63209653722
27,20.0,100.0,0.0,0.0,59.7224641328,-7.90730522402,-3.81119992263,24.920539761,27.8163567002,25.0206483034
28,30.0,0.0,0.0,0.0,71.0554993012,-2.0153262731,1.02020031631,40.1059242051,42.2682886449,34.1694306888
29,30.0,10.0,0.0,0.0,76.6841650451,0.285351954888,8.98547720789,49.2927624936,51.0085123961,35.3794415697
30,30.0,20.0,0.0,0.0,56.1107638123,-0.688484971128,1.80025354351,23.011630607,24.0229490107,18.9728233814
31,30.0,30.0,0.0,0.0,47.3441603762,0.684066428385,2.89479891155,15.8203535638,16.2834259763,12.3952414057
32,30.0,40.0,0.0,0.0,52.1725041828,0.725678272894,2.48518304309,19.7186691483,20.2980245786,15.7079624648
33,30.0,55.0,0.0,0.0,80.4452651233,1.4632306089,3.93960286132,56.0088741206,57.4736483139,44.1304625792
34,30.0,70.0,0.0,0.0,37.6635115311,6.69702043619,-9.75059793905,10.4006353728,9.90064060275,11.033502397
35,30.0,85.0,0.0,0.0,45.4165061126,18.8102757136,17.8209832307,17.584400478,14.8416215009,7.04524781413
36,30.0,100.0,0.0,0.0,42.4079416267,-1.56140919297,-11.2881988073,12.0822075413,12.7656148285,14.4868761614
37,40.0,0.0,0.0,0.0,69.2876531469,5.29433649296,21.773366015,40.0059540997,39.7451851735,20.2770652987
38,40.0,10.0,0.0,0.0,52.6277656798,-24.9220424081,5.16859408962,15.3343758437,20.7074018522,14.9431404951
39,40.0,20.0,0.0,0.0,51.8030455865,-25.6334869419,11.2715719683,14.621211612,19.9697964572,12.1558045458
40,40.0,30.0,0.0,0.0,68.6166265345,16.0741680736,25.059459672,42.5985159739,38.8144246938,18.195211367
41,40.0,40.0,0.0,0.0,44.6533735919,-7.93742467489,3.4959573614,12.5670020033,14.2952224354,10.6512253458
42,40.0,55.0,0.0,0.0,46.3699663503,20.2849397029,6.0148576204,18.644001344,15.5436339999,10.7911640403
43,40.0,70.0,0.0,0.0,36.8122310251,3.89291394113,1.19303350847,9.57485884792,9.43690483676,7.48436660382
44,40.0,85.0,0.0,0.0,42.0911359528,11.7150950989,-10.9859377077,13.8912283649,12.5590167439,14.1600951985
45,40.0,100.0,0.0,0.0,46.313071239,19.5616835835,10.7136676713,18.4572679804,15.5011351649,9.332623492
46,55.0,0.0,0.0,0.0,40.7927580856,-5.43630977844,-1.07207701208,10.5792594639,11.7355895892,10.0046345019
47,55.0,10.0,0.0,0.0,54.0736130334,6.0045014014,17.0409966055,22.5500059636,22.043957442,11.5266870013
48,55.0,20.0,0.0,0.0,51.5498952522,-25.9619565144,14.9991373719,14.3888992077,19.74695207,10.7741545544
49,55.0,30.0,0.0,0.0,45.7097123546,29.47447196,7.30205462501,19.8983296636,15.0552024003,10.036010708
50,55.0,40.0,0.0,0.0,68.7871657853,-13.9842092424,27.5865721693,33.4960487019,39.0495817689,17.2049445152
51,55.0,55.0,0.0,0.0,47.2578520149,28.5239557262,0.089342400216,21.0770271308,16.2169566232,13.3478295265
52,55.0,70.0,0.0,0.0,57.9450398936,-26.2018832957,11.1929415494,19.3106506349,25.9031854641,16.2233835523
53,55.0,85.0,0.0,0.0,41.5725431189,10.8359887497,-9.27829357407,13.4019135311,12.2256588667,13.1887630736
54,55.0,100.0,0.0,0.0,56.5371118137,-1.07445953556,33.8747952728,23.3362971063,24.4515734247,7.82076264549
55,70.0,0.0,0.0,0.0,41.537655254,20.9980503863,-1.06584939583,15.0169647037,12.2034467828,10.3971717511
56,70.0,10.0,0.0,0.0,50.484909231,-9.45314222421,23.0058927624,16.4173329672,18.8276134329,7.93297815641
57,70.0,20.0,0.0,0.0,39.0136678755,11.5291311721,-6.14379762299,11.8604816964,10.6668904781,10.6247320704
58,70.0,30.0,0.0,0.0,44.1590328312,-16.3564590864,12.6735006146,11.0624010373,13.948534115,7.78474033654
59,70.0,40.0,0.0,0.0,50.6425208542,34.8932657316,14.5069168813,25.7903037755,18.9618314557,10.4361918088
60,70.0,55.0,0.0,0.0,58.7186725431,-3.48836467261,28.30175654,24.9422017169,26.7247391597,10.4766481179
61,70.0,70.0,0.0,0.0,45.9262389554,13.9978439141,2.8101515013,17.1022857287,15.2142358749,11.587990621
62,70.0,85.0,0.0,0.0,49.793634815,-14.5067130294,14.4662874706,15.0305935906,18.2464202047,9.99868948346
63,70.0,100.0,0.0,0.0,49.4635306407,23.5628058327,-2.34792766549,22.0459083459,17.9731544121,15.7745998938
64,85.0,0.0,0.0,0.0,61.9933715374,4.3151837823,40.2145806762,30.45276418,30.3947878386,8.63687033977
65,85.0,10.0,0.0,0.0,34.7882858626,6.00586330717,3.73940605929,8.77787876349,8.39298985943,6.07525680122
66,85.0,20.0,0.0,0.0,47.0219313697,-17.8482806061,8.77216875184,12.6114396489,16.0361886849,10.2786774945
67,85.0,30.0,0.0,0.0,46.7798292888,-13.7781384694,17.0852431888,13.0680243694,15.8520861397,7.81218538406
68,85.0,40.0,0.0,0.0,52.3374560756,3.2767857122,-1.85807409791,20.3810459346,20.4457221965,17.6806259319
69,85.0,55.0,0.0,0.0,42.1454623229,-3.06366635098,10.6073338161,11.7046689578,12.5942849848,7.42976201436
70,85.0,70.0,0.0,0.0,51.5060529731,19.907857059,5.78580096663,23.1786359348,19.7085276018,13.9550334473
71,85.0,85.0,0.0,0.0,40.8820580995,7.32326391139,3.459295119,12.4196061952,11.7910352333,8.73523265261
72,85.0,100.0,0.0,0.0,44.614280316,21.0843625106,-9.98859630882,17.3650708322,14.2675988958,15.4806679382
73,100.0,0.0,0.0,0.0,49.3209327335,30.01485893,7.89780289941,23.3329490618,17.8559583743,11.8457850012
74,100.0,10.0,0.0,0.0,48.9324372545,1.53676374931,-0.97092305974,17.1931571421,17.5392551466,14.8515189116
75,100.0,20.0,0.0,0.0,49.8139693952,0.221415633395,19.7428199875,17.652532625,18.2633434822,8.49275301122
76,100.0,30.0,0.0,0.0,48.6016957234,-10.7347117428,-0.622550850018,14.802903411,17.2726027956,14.4920142091
77,100.0,40.0,0.0,0.0,55.6258944193,-21.2568326885,1.93341861695,18.3274730012,23.5416125051,18.5261752434
78,100.0,55.0,0.0,0.0,50.1973007409,0.794890190835,12.1957670626,18.0709782115,18.5843285794,10.9249909683
79,100.0,70.0,0.0,0.0,43.1419334746,-1.84250075294,2.12228462492,12.5046563198,13.2529508576,10.2664057337
80,100.0,85.0,0.0,0.0,43.8677780244,14.1879849029,6.5123151811,15.5650329113,13.7469214624,9.32837759272
81,100.0,100.0,0.0,0.0,44.0054664086,19.6095305124,-7.59290667799,16.6197097775,13.8419883574,14.1247847208
82,0.0,0.0,10.0,0.0,39.8745929673,-0.58217654514,3.62906452404,10.6985793586,11.1755562694,8.21767087564
83,0.0,10.0,10.0,0.0,52.85826649,-17.7199431785,6.29601608802,16.7687243733,20.9167539494,14.6557906628
