SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,63.9321022207,6.98339204639,6.56651650978,33.5076585653,32.7182252213,23.3180201709
2,0.0,10.0,0.0,0.0,45.443984876,3.1799501837,-3.23373400384,14.8533605566,14.8615515781,13.4198763271
3,0.0,20.0,0.0,0.0,35.3906436727,2.26829722663,-0.866830130333,8.64494478874,8.69517254004,7.38705869255
4,0.0,30.0,0.0,0.0,79.7590196805,4.64167144205,7.00369705514,56.0977267772,56.2555152123,40.7566662845
5,0.0,40.0,0.0,0.0,36.3766643198,2.53358562902,-1.21166085251,9.17888237212,9.20533379928,7.9052158893
6,0.0,55.0,0.0,0.0,73.2000042618,0.0618882944102,3.01199736519,43.867267107,45.4695501641,35.3557342326
7,0.0,70.0,0.0,0.0,41.1615135205,10.5628676931,-4.58944925221,13.0869815495,11.9656746708,11.3174397044
8,0.0,85.0,0.0,0.0,69.2900213342,0.304959384493,3.21426555516,38.4247679146,39.7484960861,30.6927186942
9,0.0,100.0,0.0,0.0,36.9792858613,2.18759480517,0.421432774511,9.45314436932,9.52674042134,7.75225959003
10,10.0,0.0,0.0,0.0,75.9009396292,3.84365669349,6.64502641091,49.3602371028,49.7262704541,36.0807977352
11,10.0,10.0,0.0,0.0,39.0311677816,2.73529594746,-0.262913644366,10.6561566715,10.677073164,8.88313968393
12,10.0,20.0,0.0,0.0,54.1215579115,0.984249808789,4.23587405799,21.5093247573,22.0892363183,16.37655338
13,10.0,30.0,0.0,0.0,40.8448807859,2.88761681387,-0.509117684168,11.7537181508,11.7679309758,9.86187752148
14,10.0,40.0,0.0,0.0,70.7757403427,7.8111718949,2.62083549198,42.9496813394,41.8621004217,32.7570391341
15,10.0,55.0,0.0,0.0,51.94852021,-3.55736063153,-13.9698421747,18.6833372532,20.0986108524,23.2514649232
16,10.0,70.0,0.0,0.0,76.0682036184,4.06288006199,3.72466284589,49.7091430597,49.9982773019,38.4174550243
17,10.0,85.0,0.0,0.0,39.9791753924,2.32807923015,1.69862900556,11.1538895427,11.2384268355,8.79185005751
18,10.0,100.0,0.0,0.0,68.1019828895,-0.354668624767,1.969374582,36.6420385948,38.110508054,30.1812537895
19,20.0,0.0,0.0,0.0,42.6392550976,1.91821958174,1.23022285028,12.7424265713,12.9178835916,10.2742350088
20,20.0,10.0,0.0,0.0,64.4416769547,-0.137813786883,2.39369223655,32.1189725799,33.3479682528,26.1153372027
21,20.0,20.0,0.0,0.0,79.0123742025,-0.40591792843,4.96430794761,52.8305035686,54.9498541335,41.3410734443
22,20.0,30.0,0.0,0.0,57.4294478099,-0.00399268360474,3.12248886493,24.4585441575,25.3651140438,19.4181996827
23,20.0,40.0,0.0,0.0,48.7952590923,2.41209207354,-0.48400133426,17.2452703322,17.4283279979,14.567908007
24,20.0,55.0,0.0,0.0,49.9907420059,0.524285198121,3.78677652747,17.8519043669,18.4109020398,13.7240708292
25,20.0,70.0,0.0,0.0,78.5753387445,-0.00918983377035,4.07545939235,52.2565334775,54.1950659123,41.4468303705
26,20.0,85.0,0.0,0.0,44.4563356934,0.944134019561,3.92636086597,13.7998274045,14.1563566135,10.4096190747
27,20.0,100.0,0.0,0.0,59.7724308335,-6.88474631798,-6.22797568804,25.2122669822,27.8714582713,26.4450721076
28,30.0,0.0,0.0,0.0,71.6958338385,-1.60211801729,1.68607768316,41.137627398,43.2078759954,34.4715991277
29,30.0,10.0,0.0,0.0,78.9835595079,-0.974517263996,9.06531115628,52.5625761691,54.8998748607,38.1843412965
30,30.0,20.0,0.0,0.0,59.1742329647,0.883549173835,-0.631857266986,26.4600771881,27.216548503,22.7865319787
31,30.0,30.0,0.0,0.0,51.1690586053,1.21693788471,1.23516339441,18.958716325,19.4148400542,15.512158247
32,30.0,40.0,0.0,0.0,56.6102288842,0.496461712509,-0.155874993806,23.7626434172,24.5255891981,20.3118592902
33,30.0,55.0,0.0,0.0,83.375193105,-0.322697128111,5.06083533492,60.4906557724,62.8723928009,47.4138708548
34,30.0,70.0,0.0,0.0,38.3696056232,7.42514694784,-12.7906181232,10.9029644477,10.2966175216,12.4695538938
35,30.0,85.0,0.0,0.0,47.2267246528,25.1109011648,17.0986394067,20.341060819,16.1930287133,8.00846361558
36,30.0,100.0,0.0,0.0,44.1416072373,-3.51179696757,-15.0755702087,12.9000254742,13.9364166781,17.2789486376
37,40.0,0.0,0.0,0.0,71.3594903409,6.82710271601,15.9239136837,43.468746143,42.7126293822,25.2047344063
38,40.0,10.0,0.0,0.0,56.1992270569,-25.70928331,-1.45030168301,17.9511571122,24.1114693384,20.5979740646
39,40.0,20.0,0.0,0.0,55.6024651506,-26.8606685262,2.2578301983,17.2578803282,23.5185182442,18.3598810349
40,40.0,30.0,0.0,0.0,70.0384006089,18.1902865174,16.8339125833,45.425662163,40.804026227,23.4572502632
41,40.0,40.0,0.0,0.0,46.1993705417,-5.67912875363,-3.76182431749,13.9411620453,15.4164366014,14.1062905023
42,40.0,55.0,0.0,0.0,48.5441593561,25.7045074835,4.23636197139,21.6542996418,17.2264932644,12.651398199
43,40.0,70.0,0.0,0.0,38.1624843489,5.57506275028,-4.05148783804,10.5360906825,10.179390194,9.54036699995
44,40.0,85.0,0.0,0.0,42.2364616074,13.9650255485,-12.39681289,14.3535862414,12.6535088062,14.804657299
45,40.0,100.0,0.0,0.0,48.6301738709,25.1994470129,7.87085748075,21.625603192,17.2954555364,11.4551596493
46,55.0,0.0,0.0,0.0,43.9072072928,-5.95225055184,-5.75187703524,12.3848037458,13.7741007633,13.3714507265
47,55.0,10.0,0.0,0.0,59.2127366252,7.35891287322,14.5556702295,28.1160400504,27.2583902434,15.7357667834
48,55.0,20.0,0.0,0.0,55.5206791017,-26.5113079707,8.87874146852,17.2572986902,23.4380200184,15.4550460353
49,55.0,30.0,0.0,0.0,47.5092944361,33.8937765261,5.23808539116,22.4611365783,16.4111077181,11.6890955433
50,55.0,40.0,0.0,0.0,73.5419056184,-13.8179998056,21.6155809535,39.7570342159,45.9944077004,24.1373504198
51,55.0,55.0,0.0,0.0,48.0242266702,32.2377875797,-1.40272630836,22.5847980033,16.8135359453,14.4085412
52,55.0,70.0,0.0,0.0,61.877409991,-27.5380002839,4.42192287921,22.5707773938,30.2594152294,22.5808145149
53,55.0,85.0,0.0,0.0,42.7728585027,13.4110558823,-11.7815265152,14.6411803065,13.0063810549,14.9268640774
54,55.0,100.0,0.0,0.0,61.6370744709,-1.38342626842,37.6200580876,28.5526485086,29.9801304338,9.19273631203
55,70.0,0.0,0.0,0.0,43.4232744004,25.6761353824,-2.68552580644,17.2652848067,13.4429867162,11.987154152
56,70.0,10.0,0.0,0.0,55.2722999841,-11.3688141715,25.1326371966,19.9741421958,23.1946783271,9.63336095027
57,70.0,20.0,0.0,0.0,39.9525625504,13.865058967,-8.95409288374,12.7974836182,11.222406004,12.0847548063
58,70.0,30.0,0.0,0.0,47.2436115608,-20.291842476,11.1727374864,12.3909111701,16.2060069228,9.66809237253
59,70.0,40.0,0.0,0.0,51.9089040499,36.0785445971,8.49809956739,27.419111871,20.0634769461,13.2051439922
60,70.0,55.0,0.0,0.0,62.8768520668,-3.31110361807,23.9581788323,29.4397475184,31.4394356564,14.5042870345
61,70.0,70.0,0.0,0.0,45.7976305366,17.9994822786,-2.83780038341,17.7396493809,15.1196418207,13.4988747535
62,70.0,85.0,0.0,0.0,55.1668302622,-16.5431641873,9.42489348554,18.8555492273,23.0918592261,14.9912872257
