SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,64.5424778062,5.5516342252,6.7870077258,33.8517543574,33.4734896651,23.7642234357
2,0.0,10.0,0.0,0.0,47.6098509055,0.819783358318,0.192705055213,16.0434999787,16.4891840374,13.5337099153
3,0.0,20.0,0.0,0.0,34.8887053249,0.942650745573,0.209126826755,8.24684101284,8.44287264536,6.91655938346
4,0.0,30.0,0.0,0.0,79.1943313917,3.54493026117,5.24261309445,54.6861472962,55.2661607631,41.3687294213
5,0.0,40.0,0.0,0.0,36.3355743862,0.463511716805,-0.266316089214,8.91048913569,9.18368580585,7.64479240313
6,0.0,55.0,0.0,0.0,73.800954626,0.498068474403,1.78186966553,44.9111863325,46.3947557474,36.9740114461
7,0.0,70.0,0.0,0.0,42.5656298294,6.45522695158,-2.95081740328,13.3863622343,12.8692870159,11.5768971767
8,0.0,85.0,0.0,0.0,69.6502331698,0.262140675718,2.01182660734,38.8997397017,40.2542445932,31.8748968185
9,0.0,100.0,0.0,0.0,36.1670621804,-0.295796271099,1.20695779721,8.73595414605,9.09526111891,7.20646495496
10,10.0,0.0,0.0,0.0,77.3774903259,3.41820402223,5.67122119922,51.5918462637,52.1618065831,38.6490221983
11,10.0,10.0,0.0,0.0,38.5821909308,-0.456364423943,1.00658376732,9.98756007227,10.4178697935,8.32294547819
12,10.0,20.0,0.0,0.0,51.5157358182,0.541659349012,2.48346728649,19.1193899236,19.7170095965,15.2494072105
13,10.0,30.0,0.0,0.0,41.7440248268,-0.594977868584,0.156244057661,11.8097086908,12.335228153,10.1300103291
14,10.0,40.0,0.0,0.0,72.8012041615,6.57150871196,1.70700797271,45.5272709544,44.8624096939,35.7918281252
15,10.0,55.0,0.0,0.0,52.1068300431,-6.89007180586,-15.2395977822,18.1745826652,20.2394186262,24.0818443509
16,10.0,70.0,0.0,0.0,76.9361507432,4.23522829906,1.39724214785,51.1791181448,51.4256837406,41.3312134184
17,10.0,85.0,0.0,0.0,37.6780671369,0.35874927401,1.75619525818,9.59943039445,9.90869909032,7.71906307025
18,10.0,100.0,0.0,0.0,69.6216154011,-0.184752918066,0.790518097511,38.719889518,40.2139083878,32.6504863745
19,20.0,0.0,0.0,0.0,41.1909447183,-0.128715133653,2.0336331888,11.5381875252,11.9841667716,9.28891946182
20,20.0,10.0,0.0,0.0,65.9292665517,-0.0398299071117,1.12302058585,33.9630352978,35.2324815568,28.3826341028
21,20.0,20.0,0.0,0.0,79.3027068796,1.09120515571,2.52434086049,53.9024265683,55.4551316339,43.6796803178
22,20.0,30.0,0.0,0.0,58.7521891775,-0.13468424011,1.37179266143,25.77289916,26.7607191285,21.3828191416
23,20.0,40.0,0.0,0.0,50.0702052038,-0.885334559612,0.947007592585,17.6521063036,18.4774909953,14.8687827572
24,20.0,55.0,0.0,0.0,48.3111072034,0.278472799878,1.77903605086,16.4817152294,17.040565077,13.3942791848
25,20.0,70.0,0.0,0.0,79.7354792124,0.998528834127,1.03370297001,54.6014127844,56.2140374807,45.5164902314
26,20.0,85.0,0.0,0.0,41.7326440587,0.601627557131,1.88426797583,11.9742057483,12.3279361412,9.60504610597
27,20.0,100.0,0.0,0.0,61.4858834675,-7.76313035277,-7.67557193454,26.7832265921,29.8053207298,29.0794769601
28,30.0,0.0,0.0,0.0,73.6744065405,-1.35844331796,-0.509565953923,44.0813375093,46.1988926498,38.4970586554
29,30.0,10.0,0.0,0.0,79.3463859392,-0.30688752436,6.18858024942,53.4288338829,55.5314150387,40.8369024718
30,30.0,20.0,0.0,0.0,60.9817253735,-1.14468712293,0.145489494082,27.8931001385,29.2273172818,24.0363776151
31,30.0,30.0,0.0,0.0,52.0977383221,-0.831920592795,1.27043895786,19.3435591002,20.2313143031,16.1569124054
32,30.0,40.0,0.0,0.0,57.775509255,-0.811482443045,1.30153487407,24.6174967518,25.72543223,20.5812417032
33,30.0,55.0,0.0,0.0,82.9740138064,0.169743381373,3.0141583498,59.9677974815,62.1140119835,48.5824759404
34,30.0,70.0,0.0,0.0,38.1399940063,5.95803047003,-12.8569259863,10.5739582114,10.1667148381,12.3541809794
35,30.0,85.0,0.0,0.0,47.8122947364,21.2435400679,17.8426832559,20.0668832068,16.6471203651,8.07807979028
36,30.0,100.0,0.0,0.0,43.6224478465,-3.56504775832,-15.4056786662,12.5564057696,13.5786138946,17.0335256164
37,40.0,0.0,0.0,0.0,71.2871001816,5.81130959416,17.7201112439,43.0186484476,42.6065362976,24.1416452791
38,40.0,10.0,0.0,0.0,55.0943426808,-26.2759719665,-0.14025949689,16.9645596214,23.0213698425,19.0603187181
39,40.0,20.0,0.0,0.0,53.924819227,-27.56159159,5.90361207751,15.8410398575,21.9038314637,15.5458390465
40,40.0,30.0,0.0,0.0,70.1026064264,14.153512593,19.8215406757,44.1212682566,40.8954439446,21.9512006844
41,40.0,40.0,0.0,0.0,45.3958238856,-10.0653959409,-1.95061338508,12.7271441667,14.826632643,12.9223518393
42,40.0,55.0,0.0,0.0,48.906187867,23.9114542022,4.27098631842,21.6046212236,17.5179926484,12.8615854334
43,40.0,70.0,0.0,0.0,37.2787923277,1.24110466482,-3.36827749728,9.49558278919,9.6892273999,8.90669597441
44,40.0,85.0,0.0,0.0,43.6898180226,9.29743569776,-14.8345585438,14.6146507056,13.6246952465,16.8375950165
45,40.0,100.0,0.0,0.0,48.6513384494,22.207024029,8.68166902028,21.0119029198,17.3124524384,11.200125656
46,55.0,0.0,0.0,0.0,42.6481705105,-8.57674681091,-6.23569803909,11.2364305327,12.9237765268,12.7604036159
47,55.0,10.0,0.0,0.0,58.5437378751,5.92952091515,15.0115396213,27.0330050499,26.5374708542,15.0850248449
48,55.0,20.0,0.0,0.0,52.9415736005,-29.0609248014,8.87407827153,14.8660522799,20.9927632694,13.7241977022
49,55.0,30.0,0.0,0.0,48.2434348026,32.6846665719,5.78821446174,22.8921365693,16.9868280332,11.9314481567
