SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,64.5599522738,5.5190038424,6.4961726693,33.8640474244,33.4952815819,23.9378917284
2,0.0,10.0,0.0,0.0,48.0401800084,0.386374280211,-0.60266759425,16.2935715149,16.8261076958,14.1118774918
3,0.0,20.0,0.0,0.0,34.7330704093,0.640560871786,-0.298891547742,8.13805447093,8.36564581176,6.97353368415
4,0.0,30.0,0.0,0.0,79.5358947643,3.64230129667,5.07806978882,55.310718641,55.8631934386,41.9600443157
5,0.0,40.0,0.0,0.0,36.4905286196,0.638365983781,-0.128438360362,9.01052244696,9.2655002416,7.67760235571
6,0.0,55.0,0.0,0.0,73.7915186132,0.492364286044,1.77431381749,44.895066081,46.3801322223,36.9676969033
7,0.0,70.0,0.0,0.0,42.4665020596,5.82253516928,-3.35971442424,13.2226142626,12.8040501682,11.6566115349
8,0.0,85.0,0.0,0.0,69.5994799549,0.238979938933,1.63681487155,38.8233711211,40.182727382,32.0640139715
9,0.0,100.0,0.0,0.0,36.1581768834,-0.031437151446,1.09957657336,8.76236342519,9.09061448964,7.2289178398
10,10.0,0.0,0.0,0.0,77.2815498272,3.31018124243,5.34586572288,51.3932271669,52.0011911172,38.7685382918
11,10.0,10.0,0.0,0.0,37.9712243379,-0.141398591826,1.08331478939,9.69462267562,10.07193334,8.02352024069
12,10.0,20.0,0.0,0.0,51.8669400231,0.54880615872,2.39393087277,19.4201716909,20.0263054973,15.5302302692
13,10.0,30.0,0.0,0.0,41.606135595,-0.374860845643,0.0740288204257,11.7563913756,12.2470716691,10.0825365051
14,10.0,40.0,0.0,0.0,73.2211298622,6.76545357421,1.95217642031,46.2339034832,45.5018640323,36.1325092312
15,10.0,55.0,0.0,0.0,52.2190410557,-7.19366467644,-15.2640676332,18.2088534865,20.3396213295,24.200721542
16,10.0,70.0,0.0,0.0,77.1660422946,4.15310583204,1.34823229063,51.5245701298,51.8082560297,41.6798628723
17,10.0,85.0,0.0,0.0,37.4219583167,0.21567989573,1.67391419767,9.44529312419,9.76754553964,7.62778683423
18,10.0,100.0,0.0,0.0,69.7816244905,-0.154444455818,0.831949735258,38.9470637199,40.4397844091,32.8071339332
19,20.0,0.0,0.0,0.0,41.0077973305,0.107849508026,1.98183923646,11.4606896811,11.8694013552,9.2129538916
20,20.0,10.0,0.0,0.0,65.9466103888,-0.0930963179487,0.860807632553,33.9692371151,35.2548616833,28.5604988626
21,20.0,20.0,0.0,0.0,79.5303548553,0.945662765606,2.15425688324,54.2311956026,55.8534758639,44.3002324952
22,20.0,30.0,0.0,0.0,58.5295379795,0.0222890036488,1.05348019378,25.5806710508,26.5223083113,21.3498496552
23,20.0,40.0,0.0,0.0,50.1627750528,-0.888968482949,0.713741644526,17.7259588007,18.5552653639,15.0244516852
24,20.0,55.0,0.0,0.0,47.9462703813,0.286778181604,1.82470361616,16.2045428613,16.7521939046,13.1473188631
25,20.0,70.0,0.0,0.0,79.9184188317,0.937397675497,1.10273240804,54.8899676201,56.536909576,45.7219078052
26,20.0,85.0,0.0,0.0,41.5940844775,0.433792002973,1.99186533153,11.8643665896,12.2393870697,9.50316818386
27,20.0,100.0,0.0,0.0,61.9464903742,-8.04534672819,-7.83834892805,27.2049071967,30.3400106198,29.6744114689
28,30.0,0.0,0.0,0.0,73.8274125917,-1.37026152487,-0.706176707704,44.3040898161,46.4357755526,38.8408670557
29,30.0,10.0,0.0,0.0,79.5046512565,-0.316187676675,6.30166186655,53.6918926646,55.8084038311,40.96076785
30,30.0,20.0,0.0,0.0,61.0296552009,-1.3421822918,-0.196584763526,27.8954027502,29.2819432065,24.2681127246
31,30.0,30.0,0.0,0.0,52.3963203921,-1.1054798191,1.13558617885,19.5451835712,20.4986021477,16.4295626977
32,30.0,40.0,0.0,0.0,58.1615690275,-1.18681724922,0.800111323197,24.9187773113,26.1314050014,21.1589147192
33,30.0,55.0,0.0,0.0,82.5621810507,0.201305698125,2.54304975878,59.2358169883,61.3418610903,48.37501739
34,30.0,70.0,0.0,0.0,37.9443971785,5.83531123812,-13.0031039433,10.4464561712,10.056921614,12.2876249884
35,30.0,85.0,0.0,0.0,47.6473348756,21.2287093414,17.6752101004,19.9197651897,16.5183514242,8.04737450203
36,30.0,100.0,0.0,0.0,43.632048831,-4.03307088206,-15.858970166,12.493097367,13.5851746311,17.2374536652
37,40.0,0.0,0.0,0.0,71.0595687964,5.78213852118,17.5731060421,42.6784022894,42.2742165406,24.0080934134
38,40.0,10.0,0.0,0.0,55.1502549379,-26.2828113084,-0.266030345534,17.0071320705,23.0757281473,19.1640289651
39,40.0,20.0,0.0,0.0,53.6173933875,-27.8900243382,5.21344941848,15.5558059462,21.6161978908,15.6110595043
40,40.0,30.0,0.0,0.0,70.4721525511,14.3467075947,19.9677686788,44.737715492,41.4242679519,22.2034910704
41,40.0,40.0,0.0,0.0,45.8409933708,-9.6567170024,-2.47193451436,13.0794328632,15.1514921039,13.3913895319
42,40.0,55.0,0.0,0.0,49.233929557,23.7942605037,4.26275318071,21.8822960567,17.7847044857,13.0681967699
43,40.0,70.0,0.0,0.0,37.8838289347,0.985768051246,-3.45531216525,9.78880554598,10.0230841939,9.22759762354
44,40.0,85.0,0.0,0.0,43.720008126,9.43051718304,-14.5586131632,14.6579831762,13.6453791279,16.7417293663
45,40.0,100.0,0.0,0.0,48.844950148,21.7971221679,8.69523197976,21.1009917087,17.4684557643,11.3051406994
46,55.0,0.0,0.0,0.0,42.493098097,-8.98037723545,-6.4408338452,11.0891046121,12.8215315592,12.7382256596
47,55.0,10.0,0.0,0.0,59.0564928556,5.84175444005,15.8551127234,27.5624107022,27.0888665992,15.1011720619
48,55.0,20.0,0.0,0.0,53.4975078929,-29.2341214779,9.06866077857,15.2389314125,21.5047167649,14.0121468126
49,55.0,30.0,0.0,0.0,47.4373287244,32.8058081919,5.55974444797,22.156282221,16.3553820515,11.5398150579
50,55.0,40.0,0.0,0.0,72.680272576,-11.6350571071,25.654012242,39.2683640003,44.6793751013,21.2481350985
51,55.0,55.0,0.0,0.0,49.517385128,31.5548542838,-1.19817463768,23.8732903571,18.0175485126,15.3444591084
52,55.0,70.0,0.0,0.0,60.0058071834,-26.6816416005,6.55728396768,21.0230108243,28.1297815205,19.8972582138
53,55.0,85.0,0.0,0.0,43.9500526212,9.79276231707,-12.2903090912,14.8822157422,13.8036754042,15.9545201329
54,55.0,100.0,0.0,0.0,62.1710039144,-2.4045206077,39.3281773823,28.8829978632,30.6029364642,8.96889301248
55,70.0,0.0,0.0,0.0,43.5783952824,24.5270850697,-3.39854979792,17.1771346864,13.5485380965,12.3256484404
56,70.0,10.0,0.0,0.0,54.9242982889,-11.4980133003,26.7921133893,19.6459595219,22.8565761741,8.9806655553
57,70.0,20.0,0.0,0.0,38.4036936669,10.6894515654,-10.7299625072,11.3709967877,10.3159966389,11.7797160908
58,70.0,30.0,0.0,0.0,45.8018652233,-23.3733104559,9.7671612009,11.0711899212,15.122750257,9.35148524612
59,70.0,40.0,0.0,0.0,52.7390367793,35.9854450491,10.9803522727,28.3002870693,20.8082884203,12.8254114941
60,70.0,55.0,0.0,0.0,63.952460241,-4.12913086406,27.6163873702,30.4527730917,32.7432307422,13.8149763262
61,70.0,70.0,0.0,0.0,46.8163577222,14.7197876309,-1.84461365758,17.9484538883,15.8797728441,13.7834170923
62,70.0,85.0,0.0,0.0,54.4200273024,-17.4732744289,10.9704115254,18.0583326508,22.3725042708,13.8943637521
63,70.0,100.0,0.0,0.0,53.7033914616,25.0148429702,-3.69191983262,26.5946973096,21.6964040834,19.6028555168
64,85.0,0.0,0.0,0.0,67.844210466,1.17384241931,43.7076033742,36.7688868817,37.7611550993,10.5794858216
65,85.0,10.0,0.0,0.0,33.9164725877,7.76618004988,-1.43579314397,8.54608326316,7.9681535701,6.9091318522
66,85.0,20.0,0.0,0.0,50.5551712624,-22.8575781494,4.32867205277,14.1971642529,18.8873682657,13.886135666
67,85.0,30.0,0.0,0.0,50.5225867004,-17.1525076497,17.4020509518,15.1139036206,18.8596408022,9.49841791193
68,85.0,40.0,0.0,0.0,55.9868482097,4.10958339554,-3.17886504618,23.9738828866,23.8993181299,21.2737503215
69,85.0,55.0,0.0,0.0,45.1330513215,-4.71450368967,10.2605154463,13.370351309,14.6370734401,8.88231616618
70,85.0,70.0,0.0,0.0,52.8453678219,23.9410805353,3.12394207834,25.4419139121,20.9050016467,15.9224673789
71,85.0,85.0,0.0,0.0,42.3259919725,7.59678904513,0.0246883788457,13.4032214052,12.7119575387,10.4809715215
72,85.0,100.0,0.0,0.0,45.3328132467,22.455254653,-11.1539878592,18.2025514235,14.7810296822,16.476500706
73,100.0,0.0,0.0,0.0,52.033721285,30.724561995,4.44707662468,26.2318010189,20.1743110161,14.8235395269
74,100.0,10.0,0.0,0.0,49.8272858814,1.5152225747,-5.73139245291,17.9057806777,18.2744316802,17.4799318354
75,100.0,20.0,0.0,0.0,55.055847692,0.481113231477,20.673855404,22.2679767296,22.9839943955,10.8924586971
