SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,61.3493136328,4.39001694167,8.48525430534,29.7337151555,29.6480015858,20.0840878653
2,0.0,10.0,0.0,0.0,44.3477360616,-6.21982955337,2.24010183206,12.6266134389,14.0802050348,10.8833136087
3,0.0,20.0,0.0,0.0,32.8629961802,-2.09936810985,3.14108404369,6.99398308359,7.47422750212,5.50261738108
4,0.0,30.0,0.0,0.0,80.3455915949,2.68097934863,7.96355274307,56.3269074069,57.2956401038,40.7964891763
5,0.0,40.0,0.0,0.0,34.797817601,-2.31555298946,3.06577249057,7.84367335655,8.39771623268,6.22653136281
6,0.0,55.0,0.0,0.0,70.9435774441,-1.43963789938,3.43540642821,40.1359984616,42.1054729936,32.4071745532
7,0.0,70.0,0.0,0.0,41.9949440518,-0.328609614027,0.676576706339,12.0030832195,12.4967313529,10.1032176381
8,0.0,85.0,0.0,0.0,67.3888705889,-1.222167494,3.50864988033,35.4587034346,37.149272029,28.4622632829
9,0.0,100.0,0.0,0.0,34.4931131312,-2.04597812604,3.94330737988,7.73084278205,8.24750287484,5.92158806041
10,10.0,0.0,0.0,0.0,76.6598784339,2.09364174242,7.49108864304,49.9256044954,50.9684246642,36.4115490531
11,10.0,10.0,0.0,0.0,36.5256354346,-3.0593159493,4.02264098141,8.59458159779,9.2841035868,6.68423361451
12,10.0,20.0,0.0,0.0,47.4060086295,0.0741084935004,4.31052009512,15.7608900804,16.3311692136,11.9429959897
13,10.0,30.0,0.0,0.0,39.1881464726,-4.31246283764,3.44816757708,9.82963350059,10.7687044332,7.9539187195
14,10.0,40.0,0.0,0.0,72.1327593965,4.65442284679,3.68453605148,43.8646460952,43.8569207464,33.617520741
15,10.0,55.0,0.0,0.0,50.2502898989,-11.2976520052,-13.5857422762,15.9149892602,18.628993078,21.5336376691
16,10.0,70.0,0.0,0.0,77.0745263885,2.86529340809,3.01614786525,50.8863165404,51.6557340293,40.2630227245
17,10.0,85.0,0.0,0.0,34.0693648091,-1.17292818554,3.7599064933,7.62872945308,8.0415965012,5.805397781
18,10.0,100.0,0.0,0.0,65.0757960941,-2.39565704939,2.61321671498,32.2513285643,34.1428443024,26.6208244053
19,20.0,0.0,0.0,0.0,37.0195718483,-1.31336881544,4.12152101454,9.0497311716,9.54848964182,6.86017821055
20,20.0,10.0,0.0,0.0,61.7810705933,-1.89921824692,2.70792128502,28.5796146574,30.1472555261,23.3980178929
21,20.0,20.0,0.0,0.0,79.2286056629,-0.0717045856918,4.52964868081,53.322549721,55.3258772222,41.9747223937
22,20.0,30.0,0.0,0.0,53.1625918398,-1.35911367863,3.16933796753,20.1602802383,21.1953119119,16.1306567178
23,20.0,40.0,0.0,0.0,45.8400915377,-4.56237931106,2.83136577137,13.8724463888,15.1508292466,11.5313207472
24,20.0,55.0,0.0,0.0,43.1676790859,-0.658513832569,3.59052992147,12.697591881,13.2702661798,9.83342880208
25,20.0,70.0,0.0,0.0,78.8865784083,-0.350327696585,1.87402522016,52.6422126399,54.7318831822,43.6253183526
26,20.0,85.0,0.0,0.0,35.6938424452,0.256432227203,3.74043641941,8.56349933108,8.84998382214,6.42084859147
27,20.0,100.0,0.0,0.0,58.3733880047,-12.8877356757,-7.34065167052,22.4713181732,26.3559533196,25.6989793176
28,30.0,0.0,0.0,0.0,71.880757711,-4.37240830033,0.551986146007,40.4940399527,43.4817896381,35.4863485634
29,30.0,10.0,0.0,0.0,75.7739489972,-0.852791781903,8.47593823375,47.444153525,49.5204167815,34.6388200321
30,30.0,20.0,0.0,0.0,55.49650764,-3.79893750873,2.44957600419,21.753542275,23.4142643817,18.1902376014
31,30.0,30.0,0.0,0.0,45.9396380275,-2.22749802011,3.15115587257,14.3161527303,15.2241137922,11.4820087463
32,30.0,40.0,0.0,0.0,53.0655129214,-3.26370730054,2.39979930577,19.690525618,21.1061857914,16.3830005825
33,30.0,55.0,0.0,0.0,82.9949435211,-0.232745521043,3.97199589904,59.8362591708,62.1534254648,47.7854524472
34,30.0,70.0,0.0,0.0,36.4760818331,1.99421301307,-11.8073304137,9.16551842232,9.25785201234,11.0365578596
35,30.0,85.0,0.0,0.0,44.9800429699,21.0278922694,21.5306434622,17.6470466281,14.5274440162,6.02771318735
36,30.0,100.0,0.0,0.0,41.1138133798,-5.65435539023,-13.2342777975,10.7345937826,11.9357443118,14.3764890681
37,40.0,0.0,0.0,0.0,70.0276547716,4.36995607313,22.4921765821,40.7394462067,40.7887393785,20.5487665246
38,40.0,10.0,0.0,0.0,52.6240310835,-28.2965230535,4.32693198771,14.7657517506,20.7040214604,15.2764848067
39,40.0,20.0,0.0,0.0,52.0632827334,-28.6696435548,10.4590554772,14.3085094126,20.2006203674,12.5964366934
40,40.0,30.0,0.0,0.0,70.0934489862,13.8217995461,25.0883161337,43.9938715115,40.882397031,19.3563016622
41,40.0,40.0,0.0,0.0,45.7538666387,-13.5871741743,3.69108261565,12.4327045131,15.0875422418,11.1984733932
42,40.0,55.0,0.0,0.0,46.8252255699,21.2836751107,7.31426523664,19.2227209147,15.8864990835,10.6279326143
43,40.0,70.0,0.0,0.0,37.0185521492,-2.61118272244,1.73533769521,8.89502730313,9.5479387283,7.43784482624
44,40.0,85.0,0.0,0.0,44.1622388218,2.42342259891,-13.4870511119,13.8333546845,13.9507642665,16.6099813143
45,40.0,100.0,0.0,0.0,45.7248582238,20.5478991626,12.7494584673,18.1611718896,15.0662904489,8.47731438164
46,55.0,0.0,0.0,0.0,40.2224579149,-9.78146738182,-2.14844386412,9.70257144491,11.3855893651,10.0328861011
47,55.0,10.0,0.0,0.0,54.0621685593,5.77388058512,19.0047106689,22.4885818567,22.0331584998,10.878315499
48,55.0,20.0,0.0,0.0,50.758874671,-29.1395600845,13.1825038958,13.343119008,19.0613235989,10.9190420208
49,55.0,30.0,0.0,0.0,45.4733147538,28.2685177129,9.9480096077,19.4521905411,14.8828439273,9.13654027294
50,55.0,40.0,0.0,0.0,69.6465131687,-14.3252810857,30.5457308855,34.4667692333,40.2489997974,16.5698920725
51,55.0,55.0,0.0,0.0,48.0447507986,26.702642913,2.25092992692,21.4084577486,16.829710782,13.0542585331
52,55.0,70.0,0.0,0.0,54.916245179,-30.612143469,7.81116496678,16.0542051642,22.8487912982,15.4653596112
53,55.0,85.0,0.0,0.0,42.2876715511,3.10900276122,-10.0060245601,12.6937557541,12.6869185683,13.9164850035
