SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,58.1024108287,6.07015679746,6.80316731889,26.5987679075,26.0689203187,18.2532480684
2,0.0,10.0,0.0,0.0,42.1605772694,-1.76060499815,-1.5580371039,11.8998085897,12.6041092132,10.8920311733
3,0.0,20.0,0.0,0.0,33.6903063244,0.0174431447402,-0.668976695633,7.58153906863,7.86033497789,6.63871626867
4,0.0,30.0,0.0,0.0,75.7135721164,7.41330569327,11.3988258181,50.3899043361,49.4227445633,32.5805354446
5,0.0,40.0,0.0,0.0,34.04666872,-0.750631097456,0.463715327619,7.66337806523,8.03066586096,6.51988419412
6,0.0,55.0,0.0,0.0,66.2628324916,-0.224191478965,4.221221001,34.3259995967,35.6645714438,26.8770024468
7,0.0,70.0,0.0,0.0,39.5953633188,2.07514707683,-0.0112347755196,10.893962121,11.0088448323,9.08664284705
8,0.0,85.0,0.0,0.0,60.9367367641,-0.10980866419,4.08265830714,28.1064535516,29.1761053322,21.918277265
9,0.0,100.0,0.0,0.0,33.3409275073,-0.65195052486,1.00175591599,7.3528907111,7.69569699083,6.12806979912
10,10.0,0.0,0.0,0.0,68.487275759,6.23101642094,10.3126048574,39.2025417188,38.6366934925,25.5766116934
11,10.0,10.0,0.0,0.0,33.9762852249,-0.486663879392,1.63091897867,7.65916406993,7.99683153342,6.23060301933
12,10.0,20.0,0.0,0.0,42.789252845,0.698090914799,3.84575539516,12.6565232512,13.0172682512,9.56386939987
13,10.0,30.0,0.0,0.0,35.5426673478,-1.31088847327,1.49337529909,8.31048791113,8.77256715148,6.87947232805
14,10.0,40.0,0.0,0.0,66.4588395008,7.49067754532,4.54867969445,36.8740721862,35.9201124417,26.8831460886
15,10.0,55.0,0.0,0.0,45.9309995357,-7.62889319538,-13.9640550151,13.4518952636,15.2177449282,18.1547485682
16,10.0,70.0,0.0,0.0,68.2757323202,7.27198857704,3.10378053099,39.2435621141,38.3471981383,29.6558611079
17,10.0,85.0,0.0,0.0,32.3944021092,-0.2277718087,1.32160165887,6.97908053141,7.26125048464,5.71108477327
18,10.0,100.0,0.0,0.0,60.0150059708,-0.290658885255,2.86614808908,27.0631256384,28.1399961821,21.7282236855
19,20.0,0.0,0.0,0.0,34.118796841,-0.615195249309,0.920753243104,7.71121116034,8.06543772853,6.44435842865
20,20.0,10.0,0.0,0.0,55.1916786327,-0.0350711274506,2.5907201122,22.2830706198,23.1160556997,17.8907637083
21,20.0,20.0,0.0,0.0,73.0236984497,1.13706279557,5.85174996398,43.9752379139,45.2004679508,33.190061562
22,20.0,30.0,0.0,0.0,46.7784989626,0.579948951975,2.63150668988,15.3836153588,15.8510784276,12.1478844202
23,20.0,40.0,0.0,0.0,41.3226108117,-1.60685631593,0.138666307202,11.4107271945,12.0671280118,9.91479264731
24,20.0,55.0,0.0,0.0,41.265805967,0.77299441182,2.62695375562,11.7110583181,12.0312891551,9.15559812488
25,20.0,70.0,0.0,0.0,73.7117884076,1.46493930213,1.87130522985,45.1140003548,46.2566924487,36.7980520297
26,20.0,85.0,0.0,0.0,35.9828596645,0.790095922088,2.72635285668,8.77006691461,8.99925449389,6.76810933673
27,20.0,100.0,0.0,0.0,54.3492050309,-11.17158544,-7.69404305067,19.2179206833,22.3050712418,22.1332140288
28,30.0,0.0,0.0,0.0,67.20419129,-0.944087000482,2.3422293165,35.3051131442,36.9029974918,28.981617278
29,30.0,10.0,0.0,0.0,72.6364938185,-0.276401656293,12.9788699358,42.9270484468,44.6132372104,28.2057826592
30,30.0,20.0,0.0,0.0,51.0046171675,-2.91096253297,1.93742298619,18.0281839407,19.2725962319,15.1151982025
31,30.0,30.0,0.0,0.0,42.5608220392,-1.56354550987,1.98789198176,12.1776142207,12.8661178661,10.0011229939
32,30.0,40.0,0.0,0.0,48.6680870167,-2.10892680727,1.93922526729,16.3309464267,17.3259108093,13.5626665234
33,30.0,55.0,0.0,0.0,81.0210429381,0.375634963873,5.20131323037,56.5722996876,58.5091580657,43.9114665365
34,30.0,70.0,0.0,0.0,35.4008264662,4.81917645679,-13.6072882503,8.94916479578,8.7003422763,11.019109392
35,30.0,85.0,0.0,0.0,44.4691521918,23.8860558909,16.2398529983,17.7696799206,14.1653617931,7.03271854751
36,30.0,100.0,0.0,0.0,39.0141493001,-2.63645343314,-14.2426314814,9.94701185694,10.6671705184,13.3914912269
37,40.0,0.0,0.0,0.0,65.6771239674,5.83709983207,20.9049396733,35.3640709452,34.9081909524,17.7856098556
38,40.0,10.0,0.0,0.0,50.398992014,-25.0712679298,5.15192932363,13.736526187,18.7547159895,13.4780244244
39,40.0,20.0,0.0,0.0,50.1693823155,-25.6739131276,9.27898228689,13.4867651389,18.5608249141,11.8735188359
40,40.0,30.0,0.0,0.0,65.7685839316,19.3610801916,25.7287877563,39.6524447107,35.0255902258,15.7891632101
41,40.0,40.0,0.0,0.0,42.1757072388,-7.50580462939,1.59663419261,11.1036835894,12.6139483211,9.91867736723
42,40.0,55.0,0.0,0.0,42.4476031042,20.7568374666,5.87034032228,15.6418998446,12.791637678,8.81529259178
43,40.0,70.0,0.0,0.0,34.4583652146,0.112626861465,-0.427261180221,7.94895963717,8.23048750282,6.89156153751
44,40.0,85.0,0.0,0.0,40.1123908501,5.71457892716,-12.6676658174,11.7067975394,11.3188512664,13.5091428187
45,40.0,100.0,0.0,0.0,41.2970546734,19.4637768901,10.1502712005,14.5904390124,12.050995544,7.18249368467
46,55.0,0.0,0.0,0.0,36.8252289137,-5.94711104288,-2.17309363444,8.41159603977,9.44387424669,8.36335548997
