SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,59.5788899057,5.01675603908,8.58959372,27.9221456653,27.6584321887,18.5991204344
2,0.0,10.0,0.0,0.0,45.061384552,-3.23101008556,0.540309868704,13.5532331963,14.5856562859,11.8503478425
3,0.0,20.0,0.0,0.0,32.6226775061,1.50222933563,2.98210134048,7.2553496988,7.36448943936,5.45080602284
4,0.0,30.0,0.0,0.0,78.8243814301,3.59814096112,7.54713260418,54.0774004219,54.6243254989,39.112734752
5,0.0,40.0,0.0,0.0,33.7777997145,0.917974921872,2.48726852597,7.71801694399,7.90192894548,5.96932424396
6,0.0,55.0,0.0,0.0,69.9227216018,0.000333607611092,3.06681292375,39.1887580274,40.6396638342,31.492275314
7,0.0,70.0,0.0,0.0,42.2733372266,1.81226730385,-1.94723161292,12.4914416437,12.6775608251,11.0803706898
8,0.0,85.0,0.0,0.0,64.0997460702,0.0140188786834,3.20297311905,31.7528397149,32.9245198506,25.319506252
9,0.0,100.0,0.0,0.0,32.9549659371,1.20216063647,2.95458048668,7.37272612821,7.51651088091,5.57315109747
10,10.0,0.0,0.0,0.0,74.1968496066,3.46596343541,7.64274211998,46.5558301418,47.0110702767,33.346558945
11,10.0,10.0,0.0,0.0,33.9322796689,0.811173815354,2.77292823795,7.77824661018,7.9757258083,5.96517466282
12,10.0,20.0,0.0,0.0,40.3563159289,1.00541986012,3.61578128268,11.1955519743,11.467105749,8.44411826057
13,10.0,30.0,0.0,0.0,37.4944722174,-0.13404190774,2.21870900663,9.44072512507,9.80737436812,7.52205930136
14,10.0,40.0,0.0,0.0,70.6032433746,6.90689413813,3.78442131765,42.3960464983,41.6129498941,31.7899744401
15,10.0,55.0,0.0,0.0,49.5603218267,-7.93373636107,-13.5163674669,15.9829638327,18.0529950349,20.9035446844
16,10.0,70.0,0.0,0.0,74.6566077298,4.01659065707,2.77076360204,47.4633596285,47.7336258803,37.3276325726
17,10.0,85.0,0.0,0.0,33.1340169664,1.0777121838,2.95185981584,7.44039962907,7.59928700034,5.63732333065
18,10.0,100.0,0.0,0.0,64.7703182621,-0.347425213739,2.18635154151,32.4556869919,33.7583657967,26.5627506394
19,20.0,0.0,0.0,0.0,35.0988931883,0.722888934827,2.42249119923,8.3241497939,8.54792124743,6.48698556372
20,20.0,10.0,0.0,0.0,60.3207630034,-0.456735133471,2.40997174544,27.3498030031,28.4809284536,22.2320832305
21,20.0,20.0,0.0,0.0,78.2734773747,0.639806690595,4.12733389907,52.0061411621,53.6777882349,41.0008316276
22,20.0,30.0,0.0,0.0,48.5636193817,0.245340047604,3.36733202921,16.6704746572,17.242079295,12.974121127
23,20.0,40.0,0.0,0.0,44.0168447874,-1.68813281625,0.99041218767,13.0956106362,13.8498641026,11.1025867405
24,20.0,55.0,0.0,0.0,38.9826234304,0.8067954306,3.19774352681,10.373862321,10.6488425524,7.92690732139
25,20.0,70.0,0.0,0.0,78.1005568317,1.00584702046,2.0071500637,51.8608708285,53.3829552387,42.4319231657
26,20.0,85.0,0.0,0.0,34.5496031173,1.21452674969,3.51715999492,8.11393981021,8.27521493637,6.03419685431
27,20.0,100.0,0.0,0.0,58.0500439319,-10.3645998553,-6.46786960369,22.719680476,26.0136919958,24.8941565861
28,30.0,0.0,0.0,0.0,71.6765131991,-1.8485890837,1.60864686623,41.0296039558,43.1793243579,34.5021243847
29,30.0,10.0,0.0,0.0,77.103927822,-0.733406595425,8.48737591,49.585765574,51.7047022861,36.2463092397
30,30.0,20.0,0.0,0.0,54.6868791622,-1.57583496327,0.696466267432,21.4830853852,22.6278064895,18.3520504071
31,30.0,30.0,0.0,0.0,42.9535759892,-0.0198580224693,2.01223903565,12.6550799064,13.1267282012,10.200317835
32,30.0,40.0,0.0,0.0,51.021316117,-0.930113443956,1.02791130855,18.4193156047,19.2870092233,15.4928827156
33,30.0,55.0,0.0,0.0,81.7914638434,-0.138575396137,3.36671598034,57.7179227568,59.9140770725,46.5327497074
34,30.0,70.0,0.0,0.0,37.3483993811,4.12760974828,-6.82156856787,9.89418015649,9.72725304137,9.94742164709
35,30.0,85.0,0.0,0.0,42.1454041198,15.3727169995,13.677619484,14.5191925924,12.5942471646,6.6921795971
36,30.0,100.0,0.0,0.0,39.1968757368,-0.985659886474,-8.27423264667,10.2605552111,10.7738151902,11.4156442384
37,40.0,0.0,0.0,0.0,69.5684670355,5.31256186915,22.8972423933,40.4026785432,40.1390682764,19.9680137617
38,40.0,10.0,0.0,0.0,53.3277056848,-27.9222075134,4.04155941421,15.3372320636,21.3474751315,15.886949685
39,40.0,20.0,0.0,0.0,52.9478955779,-28.2711194462,9.03155655843,15.0023826848,20.9985389402,13.6694024274
40,40.0,30.0,0.0,0.0,68.4416742832,15.5327066978,25.0400831703,42.1652059381,38.5741655166,18.0679954103
41,40.0,40.0,0.0,0.0,45.162314063,-8.71205065883,0.60496688133,12.7792347816,14.6581026188,11.8875063077
