SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,62.4787148377,5.86257244127,6.58257801048,31.4397273075,30.9657554515,21.9995248665
2,0.0,10.0,0.0,0.0,42.5152158061,-0.0770456772651,-1.26184580665,12.3664382561,12.8360814886,10.9935013731
3,0.0,20.0,0.0,0.0,32.2843082222,-0.899968750916,-1.48517431846,6.86448721278,7.21180662265,6.27468408478
4,0.0,30.0,0.0,0.0,79.0623551425,4.44164999019,5.77847607347,54.8162143937,55.0366183174,40.775288437
5,0.0,40.0,0.0,0.0,33.9870198773,-1.34154578261,-2.88888094966,7.5730420787,8.00198567683,7.28891831226
6,0.0,55.0,0.0,0.0,72.4990517563,-0.113431787878,1.48279129355,42.7823483432,44.4060235015,35.5817881785
7,0.0,70.0,0.0,0.0,38.7237476653,4.53036129373,-5.00336025631,10.7188974979,10.4991351771,10.1154127232
8,0.0,85.0,0.0,0.0,68.7743210144,-0.0380045959524,1.43916969888,37.6264891292,39.0318370923,31.2633683903
9,0.0,100.0,0.0,0.0,33.4938032982,-0.508688776429,-0.772357740153,7.43666739018,7.76745089336,6.58456142252
10,10.0,0.0,0.0,0.0,76.2239882622,4.0782382426,5.01957281287,49.9650687782,50.2525067856,37.6594319411
11,10.0,10.0,0.0,0.0,34.9856474968,-1.43029505437,-1.70366293942,8.02921034598,8.49121523354,7.42143268792
12,10.0,20.0,0.0,0.0,49.9132386132,0.674328342921,2.54858514329,17.8173420278,18.3461096701,14.14170385
13,10.0,30.0,0.0,0.0,36.8342312468,-1.6336384266,-1.64444179265,8.91666740229,9.4487032683,8.22605126903
14,10.0,40.0,0.0,0.0,71.3046093324,7.58077681194,1.1676278456,43.6448821209,42.6321811152,34.3637585328
15,10.0,55.0,0.0,0.0,47.850824019,-10.1325563842,-16.7998978268,14.3702095777,16.6772927147,21.0705468096
16,10.0,70.0,0.0,0.0,76.5850952645,4.55165099297,1.94698913145,50.7265667918,50.8451187088,40.4361122322
17,10.0,85.0,0.0,0.0,34.6551534184,-0.898415242917,-0.0100900499422,7.93113024602,8.32716053772,6.87316011967
18,10.0,100.0,0.0,0.0,66.806486565,-0.838779565962,-0.0200083965601,34.8308378522,36.3763489051,30.026913683
19,20.0,0.0,0.0,0.0,38.0807289167,-1.22255098596,-0.120979893696,9.61862020225,10.1333639697,8.39367236626
20,20.0,10.0,0.0,0.0,62.9605570059,-0.680062930321,0.358417872156,30.231584355,31.5396334844,25.8184983505
21,20.0,20.0,0.0,0.0,81.3640700484,0.786504408611,2.44557431677,57.3418694799,59.1319488735,46.6885872592
22,20.0,30.0,0.0,0.0,56.7853809699,-0.231097984919,1.02388545928,23.7688765223,24.7035012654,19.8881200887
23,20.0,40.0,0.0,0.0,46.472487241,-2.75583087392,-2.37893776734,14.6049488225,15.6204098008,13.76144661
24,20.0,55.0,0.0,0.0,48.6852654732,0.0242349923446,1.8324608921,16.7249793287,17.3397218631,13.6133799759
25,20.0,70.0,0.0,0.0,80.9393445873,0.779307272436,2.18620076351,56.593193722,58.3614763607,46.2893117409
26,20.0,85.0,0.0,0.0,42.2114136069,0.2823168031,2.54462745035,12.2271664759,12.6371886804,9.65384637398
27,20.0,100.0,0.0,0.0,59.2335650916,-9.79075318262,-8.06598798427,23.9954231479,27.2810422993,26.9754316669
