SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,67.2057242473,4.58050357721,5.2039606346,36.9683879212,36.9050372363,27.255482728
2,0.0,10.0,0.0,0.0,51.0243942419,3.25239427598,2.37561541638,19.2362652234,19.2896667607,14.9544522733
3,0.0,20.0,0.0,0.0,35.9840001096,1.05213279607,1.6324868343,8.80134015596,8.99984680725,7.02739691552
4,0.0,30.0,0.0,0.0,80.18225194,1.3559753732,4.85188764333,55.5105464879,57.0047250959,43.0260425567
5,0.0,40.0,0.0,0.0,37.8840248769,-0.150223107457,1.10289975159,9.64657995811,10.0231935376,7.9791285138
6,0.0,55.0,0.0,0.0,75.9213815675,-0.614511342818,2.95742125676,47.7599198159,49.759460348,38.8009566695
7,0.0,70.0,0.0,0.0,43.5773588774,11.1119618301,-2.12009850766,14.8344505744,13.5478310518,11.8849160189
8,0.0,85.0,0.0,0.0,71.4416687213,-0.515831227167,3.30193522802,41.1345937656,42.8332811033,33.0702780507
9,0.0,100.0,0.0,0.0,37.8827435437,1.48538269994,2.03994561784,9.85125255081,10.0224785161,7.73671114601
10,10.0,0.0,0.0,0.0,78.9734770958,1.2377658707,5.15135906681,53.404360636,54.8823940121,41.1429887309
11,10.0,10.0,0.0,0.0,41.3250265993,1.75233778245,2.13577092114,11.8871114123,12.0686537368,9.32620455801
12,10.0,20.0,0.0,0.0,56.02060885,0.00387352894982,3.32556967077,23.0793128573,23.9329590559,18.2027196549
13,10.0,30.0,0.0,0.0,44.3265857127,1.9586904369,1.77923309886,13.872023491,14.0654059599,11.0199885556
14,10.0,40.0,0.0,0.0,73.8835258117,5.10126527187,2.144960997,46.6573016648,46.522852165,36.8142686178
15,10.0,55.0,0.0,0.0,55.4527164418,-4.81913550106,-11.1311280874,21.4953610442,23.3712674226,24.9973573037
16,10.0,70.0,0.0,0.0,79.0787087226,2.03919942262,1.84089544375,53.8955503029,55.0650270578,43.9208677113
17,10.0,85.0,0.0,0.0,39.6808480905,0.57759013638,1.70002810272,10.7420090607,11.0597053527,8.64915968001
18,10.0,100.0,0.0,0.0,69.7833360233,-1.57675376504,0.63405574242,38.5014659368,40.4422050463,32.941728312
19,20.0,0.0,0.0,0.0,43.6065197071,0.12966774695,1.20711164723,13.1031265574,13.5677342199,10.8049404251
20,20.0,10.0,0.0,0.0,65.9276001441,-1.42348107248,1.05350464406,33.5632846453,35.2303317579,28.4231466278
21,20.0,20.0,0.0,0.0,81.7123416879,-0.308818236676,3.91803395949,57.5080775082,59.7687669529,45.9541484643
22,20.0,30.0,0.0,0.0,58.9445540761,-0.900682339349,1.41173426747,25.7880649127,26.9678467733,21.5299148415
23,20.0,40.0,0.0,0.0,52.0363695288,-0.14947251271,-0.436302085134,19.4265377596,20.1766669907,16.8343132754
24,20.0,55.0,0.0,0.0,51.382892215,-0.3554565972,2.05054160357,18.8317073757,19.6008531952,15.3314282307
25,20.0,70.0,0.0,0.0,81.8384532061,-0.182308110285,2.15582422752,57.7832052677,60.0004857584,47.6327412835
26,20.0,85.0,0.0,0.0,44.2673551437,0.039365297582,2.59588544905,13.5294477691,14.0240170288,10.7255363435
27,20.0,100.0,0.0,0.0,63.7822550608,-6.2011952329,-5.42767841674,29.7061558003,32.5345612987,30.1491370184
28,30.0,0.0,0.0,0.0,73.5867853758,-2.23389522545,-0.242257685987,43.6524862639,46.0636016483,38.1864042254
29,30.0,10.0,0.0,0.0,80.3752797601,-0.666177794429,6.49228597299,55.035402494,57.3486220805,41.9860706533
30,30.0,20.0,0.0,0.0,61.2124563049,-0.809876255576,-0.780101851101,28.2308539329,29.4909075742,24.7633651795
31,30.0,30.0,0.0,0.0,52.0747496092,-0.354943342937,0.222591556766,19.418577748,20.2108319098,16.5813523465
32,30.0,40.0,0.0,0.0,57.1114493625,-1.19855646716,-0.609593836181,23.8686426606,25.0369955803,20.9592981339
33,30.0,55.0,0.0,0.0,81.7480966335,-0.107740684156,2.42087518478,57.6538041476,59.8344028096,47.2725373455
34,30.0,70.0,0.0,0.0,39.2079350166,7.75316454724,-10.5645601104,11.4449329234,10.7802924325,12.1974267934
35,30.0,85.0,0.0,0.0,51.1627329553,19.6060862857,23.004045405,22.782420091,19.4093553897,8.24091589022
36,30.0,100.0,0.0,0.0,45.1605407731,-4.21004479594,-12.0501018109,13.4671374699,14.6568277008,16.7311183759
37,40.0,0.0,0.0,0.0,73.1430507446,4.39132172457,15.1136323536,45.2798012983,45.3825098873,27.4493935175
38,40.0,10.0,0.0,0.0,53.9861526403,-19.9209225752,-1.47149982393,17.252897982,21.9615197987,18.7915999063
39,40.0,20.0,0.0,0.0,52.6486012948,-20.6815025076,2.57015869389,16.0815909267,20.7262680844,16.0112981199
40,40.0,30.0,0.0,0.0,72.3710757134,10.6371433806,15.4021850973,46.3075442937,44.2136589579,26.4982262026
41,40.0,40.0,0.0,0.0,47.3406070962,-8.55664118143,-1.99828251758,14.269082075,16.2806858819,14.1842483701
42,40.0,55.0,0.0,0.0,51.7534527807,20.4661311033,3.26156091271,23.5439289354,19.9260093072,15.1020112626
43,40.0,70.0,0.0,0.0,38.4909283506,3.30719824668,-3.2078025921,10.4238082715,10.3657004217,9.45911308691
44,40.0,85.0,0.0,0.0,44.663633643,14.4246701789,-10.4357997283,16.2025336324,14.3024781501,15.6975835912
45,40.0,100.0,0.0,0.0,51.934017081,19.6153527067,7.66750745813,23.5275501374,20.085743882,13.526537534
46,55.0,0.0,0.0,0.0,44.5289497575,-7.81077558336,-5.50711434198,12.5061747937,14.2074274767,13.6780831149
47,55.0,10.0,0.0,0.0,60.716700597,4.87409009341,13.5231702969,29.145404464,28.926492893,17.2697876186
48,55.0,20.0,0.0,0.0,54.278803746,-24.0457250558,6.98086762979,16.7321993953,22.2381734824,15.3566805496
49,55.0,30.0,0.0,0.0,48.8114267017,31.1289507972,3.94664038121,23.0906930626,17.4413773189,12.919373344
50,55.0,40.0,0.0,0.0,72.3071731235,-11.5158220721,19.8100642138,38.7969693536,44.1178134094,23.9614318084
51,55.0,55.0,0.0,0.0,49.6681481182,28.0954983662,-2.56970221025,23.2381026378,18.1422162621,16.0117745789
52,55.0,70.0,0.0,0.0,59.5398280754,-23.0798499387,2.64450036724,21.3586985997,27.6155697955,21.4257557912
53,55.0,85.0,0.0,0.0,43.5662638693,10.9198457462,-11.654058235,14.794629328,13.5402634805,15.423358409
54,55.0,100.0,0.0,0.0,62.1370980004,-1.5454985947,40.1827079359,29.0680334141,30.5631325541,8.71398020096
55,70.0,0.0,0.0,0.0,43.7442204277,23.5910698249,-3.45012510613,17.1366398047,13.6619826087,12.4436162454
56,70.0,10.0,0.0,0.0,55.3057497291,-10.7506919431,28.1301006693,20.1289451173,23.2273510594,8.79008558807
57,70.0,20.0,0.0,0.0,40.5671619515,12.8291090785,-9.37253133509,13.0418638805,11.596293609,12.6002159208
58,70.0,30.0,0.0,0.0,46.2088916154,-21.5943679856,11.9546018668,11.5611628939,15.4235172277,8.9274317976
59,70.0,40.0,0.0,0.0,55.1956373695,29.2486848672,9.5381326593,29.2959916715,23.1199121393,14.9660616777
60,70.0,55.0,0.0,0.0,63.6206605255,-3.76718419578,22.7550876405,30.16705447,32.3372705887,15.4911909618
61,70.0,70.0,0.0,0.0,49.1207384825,14.5182849873,-0.0103314579005,19.8471594286,17.6922872948,14.6020178564
62,70.0,85.0,0.0,0.0,55.888912863,-13.5288358513,9.61347566613,20.0751400814,23.8019084545,15.4146253891
63,70.0,100.0,0.0,0.0,54.3123976782,21.728908844,-3.39346290691,26.433009834,22.2700788997,19.9618321743
64,85.0,0.0,0.0,0.0,66.3516005515,1.9061395125,41.8315896428,35.0614676793,35.7801506978,10.3615085646
65,85.0,10.0,0.0,0.0,32.7312757657,7.5638473597,-0.329455686815,7.94971246494,7.41394527271,6.18952385372
66,85.0,20.0,0.0,0.0,48.0715459973,-21.7051529824,-1.88988357301,12.7111818457,16.8508433872,14.6295777689
67,85.0,30.0,0.0,0.0,54.3184365273,-13.4579707894,24.1962823139,18.7443397657,22.2758174551,9.42548327263
68,85.0,40.0,0.0,0.0,58.6912707314,2.97869974155,-1.83604712818,26.4633552393,26.6953474007,22.9820735686
69,85.0,55.0,0.0,0.0,49.0035764836,-2.71528841033,18.0355611446,16.4801151422,17.5969657443,8.57730664248
