SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,61.0595707799,5.45369613496,6.85164169351,29.6848327331,29.3160726544,20.6362520434
2,0.0,10.0,0.0,0.0,43.1315775775,-0.932937026704,-1.07322034173,12.6333029173,13.2459902044,11.2781269705
3,0.0,20.0,0.0,0.0,32.772943002,0.309927346045,0.42914772342,7.19933677612,7.43297921868,6.03956731683
4,0.0,30.0,0.0,0.0,78.5595565952,3.62417834828,7.2464518048,53.6397041782,54.1679392243,38.995535952
5,0.0,40.0,0.0,0.0,33.9073375282,0.411138470624,0.371503386727,7.72355392125,7.9637796891,6.48620912435
6,0.0,55.0,0.0,0.0,72.0899709596,-1.47664161288,2.78131741804,41.7386959148,43.7930741755,34.1848734828
7,0.0,70.0,0.0,0.0,42.1487286888,2.68267679238,-2.42524200486,12.5408774818,12.5964075849,11.1660046051
8,0.0,85.0,0.0,0.0,66.8012233896,-1.45848159507,2.6498062429,34.6426704464,36.3694131103,28.3684110894
9,0.0,100.0,0.0,0.0,33.9890509977,0.181656671857,0.99840195248,7.7367558037,8.00296114944,6.37645090145
10,10.0,0.0,0.0,0.0,75.596457763,3.47853303425,6.8232302951,48.7417589926,49.2336539649,35.5817289658
11,10.0,10.0,0.0,0.0,35.570279569,-0.332117242336,0.708901933353,8.43502966325,8.78667351427,7.07789552629
12,10.0,20.0,0.0,0.0,44.4146373001,0.22082902776,3.43069266012,13.6573727264,14.1270847297,10.5421098687
13,10.0,30.0,0.0,0.0,38.2882387756,-0.260544561315,0.316846968737,9.85149241002,10.250458453,8.37210032394
14,10.0,40.0,0.0,0.0,69.224773113,7.42482304301,2.31109991267,40.6073859363,39.6573411639,31.2016558578
15,10.0,55.0,0.0,0.0,50.4041696113,-7.3833190683,-14.4433799798,16.7252520318,18.7591036438,22.1062255418
16,10.0,70.0,0.0,0.0,76.7496274816,3.71832430544,3.52470949359,50.6797778942,51.1166700456,39.4487254676
17,10.0,85.0,0.0,0.0,34.7756074224,-0.283741878782,1.35282840429,8.05585078268,8.38670592266,6.60403936684
18,10.0,100.0,0.0,0.0,65.7962799509,-3.46702281929,0.451951762443,32.8217328913,35.0611930694,28.651914921
19,20.0,0.0,0.0,0.0,36.9903564883,-0.957257917055,0.909168416649,9.07726231154,9.53271383314,7.63300188438
20,20.0,10.0,0.0,0.0,61.7478135017,-2.91896370469,0.751867500995,28.2815174076,30.1086015937,24.4270613169
21,20.0,20.0,0.0,0.0,79.8364216133,-0.0301866029057,5.3573846878,54.3666793835,56.3920393582,42.1486546502
22,20.0,30.0,0.0,0.0,53.6413747684,-1.75701086346,1.73937326874,20.5016958091,21.6385442403,17.0893374188
23,20.0,40.0,0.0,0.0,45.9196506564,-3.92436412785,-1.48328319285,14.0288542631,15.2093804885,13.0797077486
24,20.0,55.0,0.0,0.0,42.5382434989,-0.519057997091,2.53641151225,12.3160753159,12.8512417341,9.82410552782
25,20.0,70.0,0.0,0.0,79.3291143233,0.0583100654353,4.56103041465,53.5423960661,55.5012426246,42.0867475517
26,20.0,85.0,0.0,0.0,37.471755705,0.330310318174,2.91501907718,9.48583244481,9.7948855218,7.33917874696
27,20.0,100.0,0.0,0.0,57.37570861,-12.8818643145,-8.81283509035,21.5434754746,25.3094645611,25.5582297244
28,30.0,0.0,0.0,0.0,70.053884741,-5.27834932148,-0.212021787431,37.7115184805,40.8260604107,33.8303896323
29,30.0,10.0,0.0,0.0,78.5400943602,-0.77865557107,8.02094994386,51.902993059,54.1344995943,38.3918795206
30,30.0,20.0,0.0,0.0,56.5249470322,-3.99833808242,-0.643414446617,22.6739288738,24.4392735898,20.4778406519
31,30.0,30.0,0.0,0.0,47.4492343203,-2.16236243099,1.15473176091,15.408951291,16.364592265,13.0794171076
32,30.0,40.0,0.0,0.0,52.8310690901,-3.17986925472,0.0465398383122,19.5051885016,20.8919788562,17.2177953838
33,30.0,55.0,0.0,0.0,80.9377691349,-0.169739686504,5.32660000568,56.2064206045,58.3586309453,43.6932996522
34,30.0,70.0,0.0,0.0,37.4255822863,4.31494920819,-10.4339883794,9.96026918752,9.76953346877,11.1221482679
35,30.0,85.0,0.0,0.0,43.8907937045,21.3304045806,14.4645899439,16.8404685193,13.7627822347,7.22088477333
36,30.0,100.0,0.0,0.0,41.2802662172,-2.97777078487,-11.9891319947,11.1954629823,12.040405558,14.0097114043
37,40.0,0.0,0.0,0.0,68.921641816,4.89472060165,18.1548308612,39.3729670901,39.2356794804,21.7626081525
38,40.0,10.0,0.0,0.0,54.9595801428,-26.4650046461,3.60473321507,16.8250856269,22.8907037,17.2664576973
39,40.0,20.0,0.0,0.0,54.2407066624,-27.6306299634,9.66782526337,16.066414243,22.2020281441,14.2726758999
40,40.0,30.0,0.0,0.0,67.8944783812,16.8154577173,19.9222605313,41.8076217931,37.829113738,20.0107221395
41,40.0,40.0,0.0,0.0,44.8594530968,-7.36066713692,-0.899609171117,12.7861462845,14.4414289627,12.2247989817
42,40.0,55.0,0.0,0.0,44.9298611141,23.2043124126,4.55798906003,18.0151307722,14.4916086359,10.467256877
43,40.0,70.0,0.0,0.0,37.6472402191,0.998229524235,-1.4356416502,9.66252671895,9.89163741421,8.54760103887
44,40.0,85.0,0.0,0.0,43.1271098918,6.71978672091,-14.0094236815,13.8071469113,13.2429880293,16.0791026045
45,40.0,100.0,0.0,0.0,45.1590300178,23.0665339295,8.63747485989,18.176330956,14.655741592,9.35767495919
46,55.0,0.0,0.0,0.0,41.5273884273,-6.33561859143,-3.20271707975,10.8827338394,12.1969153217,11.0704313185
47,55.0,10.0,0.0,0.0,54.4923915014,6.71564222892,15.3521287471,23.1071195451,22.4415456778,12.3488541972
48,55.0,20.0,0.0,0.0,54.0845469468,-27.9384748802,11.7588473889,15.8951775272,22.0542779173,13.3848510009
49,55.0,30.0,0.0,0.0,46.777562485,28.0415321107,6.40286425597,20.5456567414,15.8503690784,10.8918444189
50,55.0,40.0,0.0,0.0,68.6464972013,-17.7842898909,25.4735293134,32.2519753831,38.855545055,18.0319117165
51,55.0,55.0,0.0,0.0,48.0959693968,24.0634628329,-1.96369681378,20.8995163051,16.8701208265,14.6749055763
52,55.0,70.0,0.0,0.0,57.3679144155,-29.9279778839,7.55232858794,18.1060434065,25.3014000692,17.3559131713
53,55.0,85.0,0.0,0.0,43.1310736395,5.85048179908,-11.3077430879,13.6726352681,13.2456515477,14.9838767646
54,55.0,100.0,0.0,0.0,58.6901431858,-2.08028279714,34.4738240864,25.2452666777,26.6941384334,8.64939376509
55,70.0,0.0,0.0,0.0,41.5566926344,19.445472597,-2.64855213217,14.772037235,12.2155639885,10.9078690044
56,70.0,10.0,0.0,0.0,50.6816438772,-13.3021485916,19.4375134123,15.8897235201,18.9952461473,8.99186517175
57,70.0,20.0,0.0,0.0,37.9630379504,6.33639271608,-9.99708540847,10.5230905149,10.0673508845,11.2822621318
58,70.0,30.0,0.0,0.0,44.8042218508,-18.7624715709,9.21191120809,11.1137020944,14.4021469232,9.01790157565
59,70.0,40.0,0.0,0.0,51.3389670005,32.1502069443,12.1109358189,25.8525261606,19.5625462662,11.5985292271
60,70.0,55.0,0.0,0.0,60.6162203031,-7.1262505508,27.5445713621,26.0241116807,28.8129815996,11.7874685259
61,70.0,70.0,0.0,0.0,44.2661919611,8.19840198978,-1.33065196363,14.843679751,14.023205038,12.0208530577
62,70.0,85.0,0.0,0.0,51.4450288035,-20.0456489398,11.1349679462,15.2967719044,19.6551275174,11.9906149601
63,70.0,100.0,0.0,0.0,50.0136666033,26.3013492139,-2.77259848503,23.1698673401,18.4300960574,16.345368516
64,85.0,0.0,0.0,0.0,65.6928102906,1.89185740506,40.1949392621,34.2270149655,34.9283074664,10.5177207175
65,85.0,10.0,0.0,0.0,33.8526747407,7.10655077436,-0.45195912695,8.43904335537,7.93764050056,6.65324219779
66,85.0,20.0,0.0,0.0,48.3155541638,-20.7957662723,7.69858954216,13.007345204,17.0441002653,11.3327578529
67,85.0,30.0,0.0,0.0,46.546915321,-17.6260225165,12.0184320972,12.3413007582,15.6763055782,9.0740708809
68,85.0,40.0,0.0,0.0,51.600879048,2.71275161825,-2.30107329542,19.6230675744,19.7916983112,17.3166492861
69,85.0,55.0,0.0,0.0,41.6589737601,-6.30114559244,6.0035949721,10.9642303527,12.2808027911,8.40576458729
70,85.0,70.0,0.0,0.0,49.7468809794,19.429246739,1.22693490384,21.4219039262,18.2075493903,14.5405776205
71,85.0,85.0,0.0,0.0,41.9067034815,2.32005764832,-0.362937432205,12.3332455716,12.4397759531,10.376460821
72,85.0,100.0,0.0,0.0,46.1275522292,14.0787170861,-12.4638828368,17.2761221793,15.3630966139,17.635935722
73,100.0,0.0,0.0,0.0,50.4309066915,26.9702822981,3.82975835303,23.7260056054,18.7817723544,13.9938071925
74,100.0,10.0,0.0,0.0,47.2583046349,-0.573212878386,-6.93111770725,15.5398568696,16.2173047304,16.0975985972
75,100.0,20.0,0.0,0.0,50.5684815827,-1.0733550283,18.7035214528,18.0201855749,18.8987023452,9.14489310731
76,100.0,30.0,0.0,0.0,47.7988446956,-14.1063739124,-4.35069460031,13.6982707082,16.6365961899,15.4210074921
77,100.0,40.0,0.0,0.0,56.3208339513,-22.7611035188,-2.60543133166,18.6141530957,24.2335092454,21.2749555191
78,100.0,55.0,0.0,0.0,51.020095479,-0.538203214003,9.36568700298,18.4936123971,19.285955438,12.348758068
79,100.0,70.0,0.0,0.0,42.4087628409,-4.1828797396,-1.79469254139,11.7068963373,12.7661532887,11.1066658165
80,100.0,85.0,0.0,0.0,42.8631871949,16.5067299234,4.14207949755,15.2225771168,13.0664422458,9.51427473098
81,100.0,100.0,0.0,0.0,45.1479377802,14.222007751,-9.74577179524,16.5368709311,14.647768829,15.7570131388
82,0.0,0.0,10.0,0.0,42.0249585818,-0.227014752644,-0.675659239172,12.0364286585,12.5161439592,10.5377828427
83,0.0,10.0,10.0,0.0,53.3623836239,-20.2150067202,3.69099142277,16.7107230618,21.3795253828,16.0569015459
84,0.0,20.0,10.0,0.0,45.8160562468,7.10472054704,0.278827686109,15.7915874624,15.1331701651,12.3887052561
85,0.0,30.0,10.0,0.0,62.208026831,-6.10059855437,19.037256629,27.9766596916,30.6464390395,16.0173846615
86,0.0,40.0,10.0,0.0,52.8778479047,30.8428143085,13.3413266998,27.1549593696,20.934603489,12.0811632884
