SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,59.591016312,4.3323243386,9.98626295448,27.7623668666,27.6717474624,17.9755563708
2,0.0,10.0,0.0,0.0,46.4680870356,-1.15461460233,-1.41934950946,14.866609698,15.6171093957,13.4019283315
3,0.0,20.0,0.0,0.0,34.3436237302,0.925242011502,0.522368970413,7.98386382655,8.17446710999,6.62374892103
4,0.0,30.0,0.0,0.0,78.8731055621,3.22507213833,8.96198983938,54.0132720408,54.7085725236,38.1198689123
5,0.0,40.0,0.0,0.0,34.9873303649,0.632410578205,0.409498522125,8.25974838038,8.49205606235,6.90937226
6,0.0,55.0,0.0,0.0,70.5343567554,-0.795594734178,4.33896377996,39.7758930902,41.5137285797,31.3507765853
7,0.0,70.0,0.0,0.0,44.5139892194,2.68457417596,-4.37733327824,14.1170705141,14.1968954141,13.2510121458
8,0.0,85.0,0.0,0.0,64.4216807056,-0.658894413315,4.25306247009,31.9504399257,33.3231054495,25.0417902192
9,0.0,100.0,0.0,0.0,34.4844431605,-0.146902485584,1.37805208787,7.93284752102,8.24325516701,6.48358874476
10,10.0,0.0,0.0,0.0,74.742279024,2.82772271761,8.3194466747,47.1683580156,47.8690798978,33.5252753733
11,10.0,10.0,0.0,0.0,35.5878169482,-0.327040352328,1.13524299593,8.44423014283,8.79564075094,6.98296889638
12,10.0,20.0,0.0,0.0,43.269030489,0.34585790119,3.69512406255,12.914642415,13.3385770524,9.85446978235
13,10.0,30.0,0.0,0.0,37.7122627247,-0.997937491683,0.655915684758,9.4499281247,9.92764815318,8.01852596793
14,10.0,40.0,0.0,0.0,70.6108205025,5.75443156553,4.42013722659,42.0225384951,41.6238733037,31.3836805832
15,10.0,55.0,0.0,0.0,50.8485558454,-7.23074527485,-11.1911071508,17.1001478514,19.1382454756,20.8519686908
16,10.0,70.0,0.0,0.0,75.1823618771,3.81444567726,2.82613234153,48.2117239119,48.5689309875,37.9518497943
17,10.0,85.0,0.0,0.0,34.9837948802,0.158284274806,2.69317087223,8.20485315615,8.49028965575,6.38101187269
18,10.0,100.0,0.0,0.0,64.5307086386,-1.21240751493,4.29511301581,31.9272948112,33.4588179952,25.1234452946
19,20.0,0.0,0.0,0.0,36.7674660076,-0.112007926659,2.52700789152,9.06344270432,9.41292827513,7.13728251952
20,20.0,10.0,0.0,0.0,59.1799289157,-0.864711858198,4.37529543128,26.0411806621,27.2227355647,20.2629671317
21,20.0,20.0,0.0,0.0,79.880560922,0.0271788703354,4.04313467003,54.4645136954,56.4699925675,43.2578623897
22,20.0,30.0,0.0,0.0,49.7069823595,-0.475089197136,4.03605518959,17.437469129,18.174421644,13.4494760986
23,20.0,40.0,0.0,0.0,44.8016370388,-1.72887820288,0.51263948601,13.6131508683,14.4003102781,11.7083014736
24,20.0,55.0,0.0,0.0,42.2552307651,0.157730634979,3.49512136054,12.2365557404,12.6657471315,9.39711084037
25,20.0,70.0,0.0,0.0,80.4988160685,0.0558043953022,2.53696705791,55.5363067047,57.5694376952,45.3608560858
26,20.0,85.0,0.0,0.0,37.3415258289,0.543887081622,3.66267190495,9.44302078661,9.72349366891,7.10202066162
27,20.0,100.0,0.0,0.0,60.2049119455,-9.07894758101,-3.70815744359,25.1342650884,28.3514274024,25.4299720545
28,30.0,0.0,0.0,0.0,71.8290364792,-2.6007259338,2.44538516134,40.9986130426,43.4050626575,34.106551414
29,30.0,10.0,0.0,0.0,77.7561325876,-0.865180091855,9.28497061984,50.5874726051,52.7989256836,36.4806135065
30,30.0,20.0,0.0,0.0,55.9342417776,-1.96918898269,2.00514427463,22.5601668969,23.8469610951,18.7372473661
31,30.0,30.0,0.0,0.0,45.1568313043,-0.950545985591,2.36861161059,13.9786294644,14.6541609938,11.2945505464
32,30.0,40.0,0.0,0.0,52.1527297429,-1.84056268519,2.5855080831,19.1909789362,20.2803664777,15.6529712031
33,30.0,55.0,0.0,0.0,82.3925819928,-0.316885340621,3.6847987509,58.7150541757,61.0257470288,47.1422529635
34,30.0,70.0,0.0,0.0,36.9827086793,3.74035650385,-9.64854483652,9.64727769522,9.52858701506,10.6257083916
35,30.0,85.0,0.0,0.0,42.9553645502,17.3473129426,13.5432327905,15.4327387142,13.1279229718,7.05350737024
36,30.0,100.0,0.0,0.0,39.9150089246,-1.87562842913,-10.4852902475,10.5497555052,11.1998247733,12.5960994482
37,40.0,0.0,0.0,0.0,69.3495578189,4.80602992623,22.1057872191,39.9347169352,39.8317932173,20.167671652
38,40.0,10.0,0.0,0.0,55.1577159401,-24.852080567,4.83505819368,17.2747103995,23.0829882526,16.8816568476
39,40.0,20.0,0.0,0.0,54.2259341101,-26.4286943455,6.60029197165,16.2666482902,22.1880229469,15.47374445
40,40.0,30.0,0.0,0.0,69.4560071293,14.0976082113,24.1011641148,43.1517624122,39.9810156916,19.3036769615
41,40.0,40.0,0.0,0.0,47.3179628852,-8.26379506007,-1.84048633552,14.3007081516,16.2632311311,14.1090621383
42,40.0,55.0,0.0,0.0,44.2414820371,16.9882098931,6.08495587337,16.3339472559,14.0059630191,9.64194615904
43,40.0,70.0,0.0,0.0,37.3491666959,0.445351816868,-1.53287702175,9.43495935641,9.72767277127,8.43435149929
44,40.0,85.0,0.0,0.0,45.217529849,4.12756148087,-13.5946381644,14.8486248336,14.6978373587,17.4427442142
