SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,64.301080493,3.56579011106,8.41207654308,32.9878554035,33.1734163346,22.6793441008
2,0.0,10.0,0.0,0.0,48.4529468498,-5.48497350098,-0.195735155452,15.5805952508,17.1535640235,14.2284055996
3,0.0,20.0,0.0,0.0,35.6691522435,-1.36036044542,0.0975714858493,8.3665734929,8.83730899317,7.26777149021
4,0.0,30.0,0.0,0.0,78.4235104316,2.55312969462,7.29949298499,52.993699723,53.9344754749,38.7799619448
5,0.0,40.0,0.0,0.0,37.6545740894,-2.83525911065,0.330999159717,9.19570531661,9.89569469111,8.07765195482
6,0.0,55.0,0.0,0.0,71.7189669248,-0.934767518246,3.97407749437,41.3896441521,43.2420781405,32.9398983139
7,0.0,70.0,0.0,0.0,44.2005087361,-0.897177484369,-3.66562825072,13.3390275417,13.9774039453,12.7983737495
8,0.0,85.0,0.0,0.0,68.2349712973,-0.613524226455,4.4447798236,36.7375436107,38.2915837247,28.7816234469
9,0.0,100.0,0.0,0.0,37.2198291127,-3.01156101623,0.42078209431,8.95032605709,9.65709401557,7.85899497018
10,10.0,0.0,0.0,0.0,75.5339644341,2.4251314127,7.84281162969,48.2577391924,49.1329510677,34.7912592289
11,10.0,10.0,0.0,0.0,39.5149823007,-4.10043558951,0.603648972542,10.0356900858,10.9611633365,8.87406779517
12,10.0,20.0,0.0,0.0,51.5610769687,0.717787086713,5.3158490687,19.1925808668,19.7567599922,14.1699194682
13,10.0,30.0,0.0,0.0,41.7729206746,-5.18325564828,0.0961767626637,11.1841793837,12.3537555386,10.1636431563
14,10.0,40.0,0.0,0.0,72.757929062,4.12396140544,4.52567942116,44.6094539085,44.79685385,33.7788059076
15,10.0,55.0,0.0,0.0,53.3416271606,-12.3980347827,-14.0411129011,18.1393127346,21.3603378696,24.5921161527
16,10.0,70.0,0.0,0.0,76.048306888,3.00609930615,5.01711795885,49.2853573856,49.9658691337,37.439430203
17,10.0,85.0,0.0,0.0,37.3052240808,-1.05979593399,1.08902807869,9.22830761884,9.70365511094,7.72527137468
18,10.0,100.0,0.0,0.0,67.6435958099,-1.26860994104,3.47808743092,35.771881476,37.4907489588,28.7491796302
19,20.0,0.0,0.0,0.0,40.6351133774,-1.69607590558,0.426651132127,10.9903065013,11.6381340482,9.47735525644
20,20.0,10.0,0.0,0.0,63.4289625636,-0.936853983119,3.61235023138,30.7045554294,32.1042628795,24.4479858244
21,20.0,20.0,0.0,0.0,77.3015901514,0.448709679082,5.54932111167,50.3449903457,52.0347136509,38.6423323928
22,20.0,30.0,0.0,0.0,56.2885264809,-0.20183580819,4.15474395386,23.291643493,24.2010466628,18.0372735128
23,20.0,40.0,0.0,0.0,49.6434893365,-3.56633203823,0.0898614960195,16.8222834183,18.1217864039,14.9167819574
24,20.0,55.0,0.0,0.0,49.3737492297,0.458751013121,4.29547944777,17.3446617568,17.8993067411,13.143825078
25,20.0,70.0,0.0,0.0,77.3460220669,0.618565727505,4.52105456418,50.4806771236,52.1090886917,39.4728868019
26,20.0,85.0,0.0,0.0,42.6434794891,1.04200677195,4.47368010076,12.6140709572,12.9206756187,9.30749305117
27,20.0,100.0,0.0,0.0,62.1306829042,-10.2177477432,-5.68442218277,26.8632772762,30.5556054251,28.53978585
28,30.0,0.0,0.0,0.0,72.5477754155,-2.21998122123,2.19537527732,42.1472173306,44.4794078596,35.1395762094
29,30.0,10.0,0.0,0.0,77.1894161327,0.245764957421,8.25782647283,50.0879137411,51.8472593487,36.5165736491
30,30.0,20.0,0.0,0.0,60.2072790253,-3.24511362344,1.22953551454,26.5393438073,28.3540694436,22.7444224844
31,30.0,30.0,0.0,0.0,50.8125288894,-2.04128488037,1.6259993815,18.0360756172,19.1073193982,15.1073099174
32,30.0,40.0,0.0,0.0,56.8967089045,-3.04612705077,1.12666145862,23.2416796792,24.8170294931,19.9308941367
33,30.0,55.0,0.0,0.0,80.745927359,0.461505483207,5.6514641609,56.1274664376,58.0128375021,43.1643276931
34,30.0,70.0,0.0,0.0,38.6929180814,3.51539188695,-12.9921283751,10.5660939618,10.4814005556,12.7379620971
35,30.0,85.0,0.0,0.0,48.2245299101,17.7791833527,19.670707608,19.7259747867,16.9718363223,7.78788822426
36,30.0,100.0,0.0,0.0,43.7655197284,-7.65346343203,-12.7131412392,12.0474101391,13.6765996424,15.9978785648
37,40.0,0.0,0.0,0.0,71.0789069598,2.62959690917,17.4861942853,41.6553904471,42.3023933622,24.0735054211
38,40.0,10.0,0.0,0.0,55.2032137675,-26.6281917477,-0.912486568346,16.9858317292,23.1272939524,19.5111174575
39,40.0,20.0,0.0,0.0,54.5852288078,-28.0820778409,4.78888233575,16.2481612866,22.5303279264,16.4805477491
40,40.0,30.0,0.0,0.0,71.2895892009,9.69211824852,20.1646621802,44.3466437829,42.6101812182,22.8348670969
41,40.0,40.0,0.0,0.0,47.9250528167,-15.2958430794,-0.927532768694,13.5968487404,16.7355241521,14.1601228754
42,40.0,55.0,0.0,0.0,50.4595682164,19.6417083503,5.54414100818,22.1265156061,18.8060929554,13.3718759935
43,40.0,70.0,0.0,0.0,39.2620453503,-3.33420081123,-2.54454228524,9.99426974027,10.8120214114,9.65504611497
44,40.0,85.0,0.0,0.0,44.6410773547,2.96666730173,-15.8156468111,14.2508645899,14.2865300015,17.9872782551
45,40.0,100.0,0.0,0.0,49.5998807252,18.7971132933,10.2247764572,21.1544022326,18.0856941241,11.2303286201
46,55.0,0.0,0.0,0.0,43.4955608746,-11.3001746886,-5.01457874855,11.3651650754,13.4921052829,12.8461406296
47,55.0,10.0,0.0,0.0,57.6535160021,4.63095526302,15.780300484,25.780096824,25.5980264312,14.1851263424
48,55.0,20.0,0.0,0.0,54.2400663382,-29.2895105267,10.8688184703,15.7770717761,22.2014209592,13.8157516691
49,55.0,30.0,0.0,0.0,48.0892342509,29.7589028545,5.62003124265,22.1048890184,16.8648032946,11.8981727301
50,55.0,40.0,0.0,0.0,70.8966243855,-12.0130318549,21.5106876046,36.7597856318,42.0372938362,21.7877051614
51,55.0,55.0,0.0,0.0,48.8208569483,28.5219490595,-1.73324138458,22.5228417979,17.4489917366,15.0775281839
52,55.0,70.0,0.0,0.0,57.4747534833,-27.7991496217,1.1448474094,18.6017386506,25.4120935375,20.4042864752
