SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
1,0.0,0.0,0.0,0.0,58.516505129,6.95442464957,7.68542509388,27.2585387868,26.5083970147,18.1771618297
2,0.0,10.0,0.0,0.0,42.7253350395,-0.955018898824,-0.468272719321,12.370516292,12.9748558601,10.8548381435
3,0.0,20.0,0.0,0.0,32.9118320523,0.112467603066,1.63746592391,7.24057226866,7.49666014294,5.83216311683
4,0.0,30.0,0.0,0.0,78.2367517274,5.41858801789,6.3045516685,53.7975693367,53.6150797074,39.2856188272
5,0.0,40.0,0.0,0.0,34.1086746492,0.00808975012437,1.08854041341,7.77362879649,8.06055193169,6.40255880996
6,0.0,55.0,0.0,0.0,69.8785293177,1.08385473752,1.61529126794,39.4729282949,40.5769899809,32.3964393487
7,0.0,70.0,0.0,0.0,39.8439821001,3.2348853284,-1.61559201014,11.1984617226,11.1571987619,9.67708903525
8,0.0,85.0,0.0,0.0,64.1447350966,1.18967083636,2.15232099041,32.1321973954,32.9800284238,25.9601035324
9,0.0,100.0,0.0,0.0,34.0651479373,0.331809328635,1.27469941656,7.78833328035,8.03956486813,6.34392504976
10,10.0,0.0,0.0,0.0,74.030523736,5.0553831788,6.21942208874,46.8671934477,46.751479815,34.1214092048
11,10.0,10.0,0.0,0.0,34.3472795298,-0.0328083417473,1.02259741572,7.88074531744,8.17624805351,6.51063844661
12,10.0,20.0,0.0,0.0,46.6806861924,1.39891589617,3.50335407979,15.451340122,15.7771029346,11.7923512775
13,10.0,30.0,0.0,0.0,36.5424805618,0.0433277096814,0.447979850578,8.96638127889,9.29303877045,7.55453737931
14,10.0,40.0,0.0,0.0,68.5578496399,10.0073479123,2.14257478921,40.5124964078,38.7335963591,30.5708195513
15,10.0,55.0,0.0,0.0,46.2055314219,-3.30034098578,-15.4000995972,14.3280385429,15.4210180735,19.0297232034
16,10.0,70.0,0.0,0.0,74.4548449602,5.81736054122,1.84457036973,47.7999862798,47.415630849,37.7510373589
17,10.0,85.0,0.0,0.0,34.6766309512,0.81078566509,1.48998595588,8.12992548423,8.33775705314,6.53353865988
18,10.0,100.0,0.0,0.0,63.9849463849,0.885598286888,1.15813981117,31.8568973064,32.7831594785,26.3737493723
19,20.0,0.0,0.0,0.0,36.1685268466,1.14696660953,1.65298707589,8.90616432253,9.09602722848,7.09895032393
20,20.0,10.0,0.0,0.0,57.8860013989,0.916235783776,1.48884529738,25.1342365895,25.8411908635,20.5828078137
21,20.0,20.0,0.0,0.0,78.2801593666,1.54322578904,3.22808592411,52.3643235607,53.6892028972,41.7120865533
22,20.0,30.0,0.0,0.0,49.1430152674,1.45294696487,2.22896128135,17.3445977861,17.71045027,13.7601189917
23,20.0,40.0,0.0,0.0,42.4187039175,1.34828629606,0.355908257369,12.5155422602,12.7726727339,10.4274665794
24,20.0,55.0,0.0,0.0,42.8444750014,1.20083247769,3.0398148126,12.7675374876,13.0539850162,9.8314706991
25,20.0,70.0,0.0,0.0,78.7345461107,1.97511422445,0.881238367815,53.2903019491,54.4692215232,44.2192876024
26,20.0,85.0,0.0,0.0,38.1975689664,1.56232574105,3.33675934161,10.033674736,10.1991846001,7.5456961846
