SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,61.2139625584,5.17337455228,6.78744189806,29.7865468408,29.4926335256,20.7990003778
1369,80.0,65.0,65.0,0.0,44.2571356787,-5.82606831628,0.107874261898,12.6270971775,14.0168841299,11.5294067498
1393,100.0,85.0,85.0,80.0,32.3881616347,-2.38988507236,1.70431940629,6.76142763255,7.25844182476,5.62938072629
1427,0.0,7.0,7.0,0.0,77.6292865874,6.55968686797,6.35843481161,53.2204027293,52.584914865,38.4604083439
1387,100.0,85.0,85.0,60.0,33.649276206,-2.41560897533,1.57650528697,7.30777145503,7.84087982032,6.11864651135
1377,10.0,6.0,6.0,10.0,69.7655578523,1.07049736564,2.80770911899,39.313559888,40.4170659177,31.4845471064
558,85.0,100.0,70.0,0.0,40.3021802868,1.36746362549,-1.80488042935,11.2132827455,11.4340917206,9.97040589587
1381,10.0,6.0,6.0,20.0,66.3979958435,0.539014028022,2.89185531505,34.7185851554,35.8406582993,27.8029013733
1394,80.0,65.0,65.0,80.0,33.6185842734,-1.73753371621,2.34253561646,7.36446721894,7.82634770391,5.94148031479
1434,0.0,7.0,7.0,7.0,74.3321687147,5.79140642479,6.28335025748,47.5992403856,47.2229749549,34.4357360552
1388,80.0,65.0,65.0,60.0,35.3387571023,-1.34714998953,1.89792431424,8.20760410677,8.66886187606,6.70241099283
1392,10.0,6.0,6.0,60.0,47.8226529194,1.48908329417,3.89512976817,16.3227828605,16.6552282969,12.3340151063
1382,80.0,65.0,65.0,40.0,37.8714875669,-2.87180571906,1.49277520134,9.30463182838,10.0161988124,7.87231063527
93,10.0,20.0,10.0,0.0,71.5353127825,6.69808302844,2.04185705822,43.6829967476,42.9710430966,34.0359356965
230,85.0,40.0,20.0,0.0,49.8927556623,-10.5435730421,-17.8220418941,15.7783749764,18.3290114798,23.4155810168
1430,0.0,7.0,0.0,7.0,74.3791616049,6.15550650407,2.93346864006,47.8043077369,47.2967127637,36.8620118954
1395,60.0,45.0,45.0,80.0,35.1306417815,-0.0745936259705,2.17766355789,8.24971478304,8.56386404627,6.55526666346
1376,20.0,12.0,12.0,10.0,66.0842425522,0.219080701781,1.29662085328,34.2312008875,35.4327954697,28.439544819
1389,60.0,45.0,45.0,60.0,37.5005535507,-0.331904882185,1.75567199981,9.41964470109,9.81071950022,7.64139625823
1380,20.0,12.0,12.0,20.0,62.7374786131,0.147383508842,1.9739436591,30.1957927985,31.2730718397,24.6942482373
1424,3.0,3.0,3.0,3.0,78.974946098,1.98116627696,3.30184943842,53.6974306888,54.8849407316,42.6012570766
1385,20.0,12.0,12.0,40.0,55.0068907899,-0.38360344704,2.95949037728,22.0345282509,22.9365197636,17.5854704452
1378,60.0,45.0,45.0,20.0,47.9670389637,-3.57202166902,0.61671884011,15.549467558,16.7685216276,13.6049751225
1391,20.0,12.0,12.0,60.0,45.395337473,0.77709892462,3.26902270889,14.4232365305,14.8262802508,11.1344996314
1420,3.0,3.0,0.0,3.0,78.6651546154,2.4117292062,2.47474782013,53.3438995046,54.3496157513,42.8350533305
1397,20.0,12.0,12.0,80.0,40.3713756305,1.32132684951,3.86312118634,11.2480708436,11.4763010276,8.38431419093
210,55.0,20.0,20.0,0.0,60.2995564875,-9.42126497998,-8.6171618225,25.1497631848,28.4571938853,28.4031678214
101,20.0,10.0,10.0,0.0,71.6969659331,-1.0734232648,-0.616478201293,41.3128236035,43.2095493714,36.0902634802
1432,0.0,0.0,7.0,7.0,77.2381221401,1.46274968988,8.28666912727,50.6232810598,51.9285966889,36.5562158776
1375,40.0,27.0,27.0,10.0,56.7076459409,-2.7628329391,-1.1957748336,23.1227558363,24.6244355034,20.9047240684
1384,40.0,27.0,27.0,40.0,47.0999089593,-0.874493442899,1.31824140249,15.3718661618,16.0957875179,12.8037683693
1379,40.0,27.0,27.0,20.0,54.4124700911,-1.15729106832,0.767501372652,21.3209935156,22.3653022459,18.1059262237
1,0.0,0.0,0.0,0.0,81.5821815976,2.06113863448,4.52128666595,58.2527963973,59.5302356777,45.264205363
970,100.0,100.0,0.0,40.0,35.0232339189,2.8918791494,-13.7640235378,8.53415339867,8.51000815387,10.8600464531
1049,0.0,70.0,100.0,40.0,44.9984352912,20.0294735165,21.0259617449,17.4761849061,14.5405929417,6.1444735386
968,100.0,40.0,0.0,40.0,39.1885994427,-6.16949343306,-15.4314446739,9.59727716255,10.7689695956,13.9475617091
336,10.0,20.0,40.0,0.0,69.2894067603,6.15057326223,18.028525805,40.2846010167,39.7476368456,22.1519572226
479,100.0,10.0,55.0,0.0,52.0919248028,-27.2542459751,-1.24815563547,14.5595077547,20.2261332898,17.2266398297
560,100.0,10.0,70.0,0.0,51.1132745082,-29.5122224667,6.29155611568,13.5226822101,19.3665079742,13.5120391868
328,0.0,30.0,40.0,0.0,70.0262037769,16.0752418005,20.6722009171,44.6705998481,40.7866755103,21.4520915183
564,100.0,55.0,70.0,0.0,44.0773734161,-15.0999234857,0.705488071242,11.186424936,13.8918102778,11.2295833041
974,0.0,70.0,20.0,40.0,46.3756896828,21.6555058481,4.93822695352,18.9152217995,15.5479134418,11.1413579581
1045,100.0,100.0,70.0,40.0,35.0940337819,-1.80629673549,-1.3389139108,8.03927395134,8.54548280676,7.37732563322
234,85.0,100.0,20.0,0.0,41.4002971587,7.43785134222,-16.4046954452,12.7693583657,12.1162563819,15.8382023903
999,0.0,70.0,40.0,40.0,44.5073644566,21.80321122,9.02164288062,17.4127171935,14.1922333135,8.92723268456
1018,100.0,40.0,40.0,40.0,39.1032636223,-8.63434203897,-4.83412476313,9.24958349774,10.7190919786,10.2643038408
997,0.0,20.0,40.0,40.0,55.3588933767,6.39910514143,15.8890796225,23.8785753053,23.2793232933,12.685758846
641,100.0,10.0,85.0,0.0,50.3691534824,-31.2162919439,11.838009941,12.7700678899,18.729443238,11.1366350426
849,10.0,100.0,40.0,20.0,45.9605067296,31.0743025233,6.22737608943,20.4448898051,15.2395069019,10.5009115655
433,30.0,0.0,55.0,0.0,70.2101846972,-13.4260352492,24.0569102901,35.4459263046,41.0489222324,19.94242685
279,30.0,100.0,30.0,0.0,47.3723295643,30.4100108109,-0.877911943439,21.5805337626,16.3051593877,13.7803654438
469,85.0,0.0,55.0,0.0,56.9699086996,-29.4182764509,3.80541748956,17.8782384461,24.8918652271,18.7305035672
315,85.0,100.0,30.0,0.0,41.4539976982,6.35007534378,-13.3385528635,12.6410748845,12.1502941015,14.6448573999
1046,0.0,0.0,100.0,40.0,58.2706717133,-0.711701384549,39.9247520704,25.1413491568,26.2469042885,7.05931709365
955,20.0,100.0,0.0,40.0,41.2759046214,22.9045540098,-3.36487662794,15.1476804422,12.0376553238,10.9826204134
1056,40.0,0.0,100.0,40.0,50.3815381852,-11.0465547982,25.9801523941,16.0576089257,18.7399301222,7.14197828275
965,70.0,100.0,0.0,40.0,36.573923113,8.61928611898,-10.8317173665,10.0411626538,9.30973221941,10.7774083119
1066,100.0,0.0,100.0,40.0,42.9652353687,-21.8256340883,11.5149275831,9.67483029384,13.1345180481,7.55623897854
422,10.0,85.0,55.0,0.0,53.0228946737,34.312085413,12.6327682104,28.185503524,21.067137922,12.4137708381
887,20.0,10.0,70.0,20.0,62.0746373861,-3.09146016211,29.7182424627,28.5984278613,30.4898971834,11.903126336
458,55.0,85.0,55.0,0.0,46.1963646182,12.0500545214,-0.348684271142,16.9595959506,15.4142016082,12.8427967823
