SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,66.865073599,5.34788745197,9.4279400347,36.7547805772,36.4536142505,24.5078496858
1369,80.0,65.0,65.0,0.0,47.536408728,-0.514104868584,1.72747917083,15.7563686916,16.4321360843,12.9268729094
1393,100.0,85.0,85.0,80.0,35.8645833394,-0.374095806118,0.0337996801524,8.57564628229,8.93796628619,7.36639773146
1427,0.0,7.0,7.0,0.0,81.181867041,3.5001486523,8.98402618721,58.1344273574,58.8005986297,41.1234588533
1387,100.0,85.0,85.0,60.0,37.9211626547,-0.645154158256,0.457902832035,9.60488986006,10.0439322861,8.16544202116
1377,10.0,6.0,6.0,10.0,73.8715594989,-0.206789844829,5.1246752128,44.7720927101,46.5042736918,34.6883062485
558,85.0,100.0,70.0,0.0,43.5499565962,7.18851808945,-2.01407350181,14.1731741923,13.5291458956,11.8328667466
1381,10.0,6.0,6.0,20.0,70.8479867061,-0.34293731477,4.67935733665,40.3572345185,41.9667461394,31.4810366903
1394,80.0,65.0,65.0,80.0,38.0058026349,0.749568522941,1.43155746519,9.82530635461,10.0913044114,7.94821802366
1434,0.0,7.0,7.0,7.0,78.2749630594,3.18983202648,8.74173599869,52.992306906,53.6803260491,37.5231313427
1388,80.0,65.0,65.0,60.0,40.8890188729,0.175212936103,1.85357088617,11.3986183156,11.7953644421,9.19101059264
1392,10.0,6.0,6.0,60.0,56.9496442502,0.307146516178,4.83216051597,24.0534754698,24.8711328506,18.2457694984
1382,80.0,65.0,65.0,40.0,44.0225469532,-0.341699591199,2.14810157062,13.3063089108,13.8538120805,10.7337008562
93,10.0,20.0,10.0,0.0,74.2525284038,5.93256648148,5.39936674431,47.5262382321,47.0981842721,34.9544149298
230,85.0,40.0,20.0,0.0,54.0724802694,-9.81998299671,-12.637230242,19.2492903053,22.0428884149,24.512794944
1430,0.0,7.0,0.0,7.0,78.7286588683,3.9936964592,5.88936336133,54.0706954835,54.4590672469,40.2467136265
1395,60.0,45.0,45.0,80.0,40.2210160946,0.918704704324,2.18342549941,11.1035625987,11.3847134401,8.77299516578
1376,20.0,12.0,12.0,10.0,69.6062164482,-0.79072348183,3.96024272871,38.5085513292,40.192215009,30.5643467085
1389,60.0,45.0,45.0,60.0,44.6188383815,0.300673987606,2.14903570488,13.808849496,14.2708178175,11.0634048471
1380,20.0,12.0,12.0,20.0,66.9320981671,-0.47148639758,4.20741443126,35.0981814069,36.5421412164,27.5670265541
1424,3.0,3.0,3.0,3.0,82.1124282815,0.467768019232,6.92695571624,58.5394515174,60.5059530721,44.0384301246
1385,20.0,12.0,12.0,40.0,60.6876496597,0.0866760382129,4.21066818003,27.883939304,28.8936438439,21.6343965606
1378,60.0,45.0,45.0,20.0,51.9730144728,0.453415013346,2.05984171708,19.492187233,20.1203542904,15.7413233853
1391,20.0,12.0,12.0,60.0,54.5212007064,0.446113792092,4.25399790848,21.7623646704,22.4690715144,16.6607194593
1420,3.0,3.0,0.0,3.0,82.8812847552,0.720761864692,6.31507495153,60.0316085526,61.9395910873,45.6351638107
1397,20.0,12.0,12.0,80.0,44.2302369851,0.932709294541,3.93859928912,13.644336937,13.9981211609,10.2849466198
210,55.0,20.0,20.0,0.0,65.374385542,-7.05946668995,-3.08083403215,31.3190958715,34.5214635107,30.4017350522
101,20.0,10.0,10.0,0.0,75.2627030504,-1.52249866652,3.20741705058,46.4155841875,48.6974270246,37.7730967952
1432,0.0,0.0,7.0,7.0,80.2692227024,0.338429966829,10.095841261,55.2536315001,57.159500907,39.0694078303
1375,40.0,27.0,27.0,10.0,62.5843443472,-0.172602026383,3.46883312004,29.9350703926,31.0909601793,23.7329748869
1384,40.0,27.0,27.0,40.0,54.3787245094,0.479093876768,3.30838668816,21.6379672936,22.3331615549,16.9606724259
1379,40.0,27.0,27.0,20.0,59.5505590451,-0.477138343829,3.55363725757,26.5239941904,27.6273404316,20.9802192926
1,0.0,0.0,0.0,0.0,83.5147107977,0.554879842336,7.09957150181,61.1198707254,63.1375736325,45.892174764
970,100.0,100.0,0.0,40.0,39.2722734267,5.69607337365,-14.0338172641,11.1980384519,10.8180258933,13.4786712904
1049,0.0,70.0,100.0,40.0,50.4399160768,22.7998452524,24.1056974423,22.7997089152,18.7894149645,7.63106964811
968,100.0,40.0,0.0,40.0,46.8309124326,-7.88634265531,-15.5551158899,14.0233933444,15.8908135536,19.6095476754
336,10.0,20.0,40.0,0.0,73.0683898813,5.16071495046,19.1889781296,45.4364262433,45.2685763738,25.0262567031
479,100.0,10.0,55.0,0.0,55.1807348454,-25.5132558751,-1.46271214269,17.171593167,23.1053969409,19.7541864994
560,100.0,10.0,70.0,0.0,54.9068455214,-26.1821224178,5.26833904617,16.8351282567,22.8397069615,16.5123091502
328,0.0,30.0,40.0,0.0,72.4367510636,13.7070136656,20.0380330281,47.5074038661,44.3123079574,23.9589577115
564,100.0,55.0,70.0,0.0,47.2160798662,-11.1849656942,-1.26401093853,13.7628744262,16.184851365,13.8242161637
974,0.0,70.0,20.0,40.0,51.7976973883,24.1171963644,6.25218916297,24.4229525399,19.965071271,13.9688336808
1045,100.0,100.0,70.0,40.0,38.5038980256,1.72669190745,-2.96625280708,10.2249183873,10.3731037696,9.39523796781
234,85.0,100.0,20.0,0.0,43.7516812579,11.651703158,-11.902866717,15.0499588095,13.6671015538,15.6545274831
999,0.0,70.0,40.0,40.0,52.0850789289,23.6727003925,10.698463407,24.6073618296,20.2200333754,12.5252190144
1018,100.0,40.0,40.0,40.0,44.7921663019,-9.62140754525,-5.85911014054,12.4062192064,14.3935821546,13.9812598209
997,0.0,20.0,40.0,40.0,62.3040876834,6.71874862828,17.5739108213,31.4680954685,30.7595044344,16.7028664544
641,100.0,10.0,85.0,0.0,52.6878453217,-27.7852039412,10.6858108408,14.8963589735,20.7618338766,12.8993605057
849,10.0,100.0,40.0,20.0,47.8853888241,35.9770022583,7.01743602192,23.2823135744,16.7043914793,11.3128329313
433,30.0,0.0,55.0,0.0,73.3317582631,-11.2985624453,25.3784895731,40.276451421,45.6713320483,21.9566044552
279,30.0,100.0,30.0,0.0,48.5594546233,33.2377458503,1.42328683119,23.3196185927,17.2387428434,13.6850854148
469,85.0,0.0,55.0,0.0,59.8187059237,-26.9791871097,5.64442625139,20.7924781181,27.9225537183,20.1816372661
315,85.0,100.0,30.0,0.0,42.4879507324,10.6760428476,-10.825748955,13.998243876,12.8181469912,14.3613105749
1046,0.0,0.0,100.0,40.0,63.7169206369,0.77563856397,43.5964646659,31.5083404823,32.4546981789,8.52458588328
955,20.0,100.0,0.0,40.0,44.0529718775,29.1856315179,-0.55126762765,18.4346291597,13.8748899036,11.6320695948
1056,40.0,0.0,100.0,40.0,57.2393872881,-9.01320248938,30.4321808582,22.250013555,25.1686626378,9.08019384394
965,70.0,100.0,0.0,40.0,40.7138574213,15.0164113773,-8.6673455864,13.4764401285,11.6867456847,12.4409712556
1066,100.0,0.0,100.0,40.0,47.3831886066,-21.2392049259,13.0248436587,12.3400435891,16.3135426407,9.19833956367
422,10.0,85.0,55.0,0.0,54.6900372868,35.9087358408,12.9173092841,30.4832714539,22.6308394976,13.3427393578
887,20.0,10.0,70.0,20.0,65.4433841988,-1.87199928576,27.6584403724,32.8425869066,34.6093519113,14.7876085555
458,55.0,85.0,55.0,0.0,48.438828214,18.8281273112,2.24569252171,20.1248774713,17.1422938541,13.3037161897
899,70.0,10.0,70.0,20.0,56.2561450445,-14.6680424996,13.5881452623,20.1654476418,24.1685388623,14.1022103685
740,10.0,70.0,0.0,20.0,54.9021657904,26.4230511639,-0.744618787559,28.2393748349,22.8351851147,19.1878180013
911,0.0,10.0,100.0,20.0,68.1720295868,4.88437427595,46.5096027812,38.3497763819,38.2058116055,9.89105216377
1265,40.0,100.0,0.0,100.0,34.5649439773,9.60262689344,1.70556199874,9.08990180627,8.28275134234,6.44083362244
905,100.0,10.0,70.0,20.0,49.9154745067,-21.8851197797,5.8075744317,13.9111729887,18.3479767308,12.9346948782
1061,70.0,0.0,100.0,40.0,52.07173549,-16.2236207643,21.5335367927,16.4296508027,20.2081474273,9.0770392276
952,20.0,20.0,0.0,40.0,60.4293318481,3.28170464902,-0.177179000063,28.4139083911,28.6026466652,23.6954990142
1063,70.0,40.0,100.0,40.0,47.3070101303,-5.37332539433,14.3180216271,14.7665804074,16.2547929391,8.79596910311
358,30.0,70.0,40.0,0.0,55.3517800663,21.6035217503,5.73374983936,27.5105198575,23.2723622879,16.6404005347
720,85.0,100.0,100.0,0.0,42.8078217816,6.985161591,4.9592804535,13.6319847277,13.0296068934,9.24917557513
135,55.0,100.0,10.0,0.0,47.1118491182,23.7375805694,-8.40132099862,19.9603795289,16.1049264834,16.609898366
350,20.0,85.0,40.0,0.0,54.3742177029,29.6001202084,5.21287889598,28.4699976415,22.3288714177,16.1496201174
384,70.0,55.0,40.0,0.0,53.1089368407,0.704553954307,-3.01578323733,20.5360460777,21.146021433,18.8063011983
1027,20.0,20.0,70.0,40.0,57.3776163339,1.45197443775,21.8808869437,24.7454053173,25.3114387046,11.814508241
986,70.0,0.0,20.0,40.0,55.4043134039,-13.6651554313,-2.59951782033,19.626311821,23.3238035505,20.4895621837
389,85.0,10.0,40.0,0.0,59.3217411129,-20.9312233092,-3.33868461743,21.6157104215,27.3770773958,24.3763361814
1002,20.0,20.0,40.0,40.0,58.7921307998,1.87342214179,12.458487899,26.2998581232,26.8036384503,16.3051078552
1013,70.0,40.0,40.0,40.0,48.4624296024,-3.77605240737,-0.0701250581153,15.8828584982,17.1611363818,14.1865517533
1004,20.0,70.0,40.0,40.0,49.3448201502,18.6975817162,6.94055334538,20.9030855104,17.8755549431,12.1878356869
216,55.0,100.0,20.0,0.0,46.4714553772,22.9095713419,-6.7327750018,19.2426739537,15.6196358023,15.4588576547
728,100.0,85.0,100.0,0.0,41.5870302569,-3.53364148278,1.96647858561,11.301322181,12.2348903182,9.50704318178
471,85.0,20.0,55.0,0.0,55.5206308929,-19.0576554516,2.6271904576,18.6633389405,23.4379726231,18.1288695965
457,55.0,70.0,55.0,0.0,49.866426443,11.5792711567,3.68013821878,19.9027081956,18.3070487123,13.6837958441
435,30.0,20.0,55.0,0.0,67.4884581104,-1.84177320745,20.6404125527,35.4022066958,37.2825280833,19.3358491877
421,10.0,70.0,55.0,0.0,57.2348761342,29.7771126481,15.4113581735,31.8006312585,25.1640121599,14.0505314659
400,100.0,30.0,40.0,0.0,51.9331920665,-18.0401452752,-9.50523575902,16.0041811224,20.085012106,20.9432243869
186,20.0,55.0,20.0,0.0,61.3081314307,19.3709571438,2.59566756128,33.8166902529,29.6006713646,23.0243887032
616,55.0,30.0,85.0,0.0,59.2174263266,-5.41250066417,23.1544717269,24.9952432337,27.2634894469,12.4693532482
222,70.0,55.0,20.0,0.0,53.6068089105,2.33094029855,-9.40733217389,21.3242842053,21.6063399507,22.3570173349
580,10.0,30.0,85.0,0.0,68.3987848744,9.94394567672,37.6295168551,40.2698863896,38.5154178782,12.9511944019
1267,100.0,40.0,0.0,100.0,34.203502117,-0.711872913816,-2.55822323165,7.74007432315,8.10640082824,7.29937818316
935,70.0,10.0,100.0,20.0,55.4868100787,-15.1010270514,23.2143057961,19.4108410779,23.4047381625,10.3258221159
1261,0.0,40.0,0.0,100.0,35.9756279424,6.462016379,4.19496191628,9.44678741295,8.99549915673,6.42791480245
918,10.0,20.0,100.0,20.0,63.6207504772,5.41304778004,40.1451595903,32.6816930637,32.3373801883,9.45161380587
474,85.0,55.0,55.0,0.0,50.4572540317,-4.25862254817,-1.98856188942,17.3359809406,18.8041284863,16.337281645
452,55.0,10.0,55.0,0.0,66.0374748496,-12.8132164547,12.7819849075,30.534156288,35.3722661979,21.9669257136
438,30.0,55.0,55.0,0.0,58.6665251237,14.3849143948,12.216032622,29.3213494697,26.6688232665,16.3159830022
416,10.0,10.0,55.0,0.0,75.230441943,0.738580815178,27.73557476,47.1737491338,48.64580207,22.4292448036
960,40.0,100.0,0.0,40.0,43.4687893532,23.8368768034,-3.94070610262,16.9650510268,13.4739001427,12.4491224341
1059,40.0,70.0,100.0,40.0,46.3994632216,11.8367935226,15.3389546611,17.0801430343,15.5656977656,8.0959211074
958,40.0,40.0,0.0,40.0,53.8282757653,5.48100898523,-4.64363205879,22.2045854291,21.8132304407,20.1621506934
372,55.0,20.0,40.0,0.0,64.0418455754,-7.81813411408,5.95426467805,29.5749196696,32.8531724967,23.7478095395
370,55.0,0.0,40.0,0.0,68.8000230247,-16.8767785309,8.52834163238,32.6914320884,39.0673490556,26.9164819083
362,40.0,10.0,40.0,0.0,69.9479311236,-7.81329537724,11.3036391272,36.7934208264,40.675445072,26.4522319894
364,40.0,30.0,40.0,0.0,64.6595969478,0.000586895276655,7.33764692399,32.4195209978,33.6197264084,23.5764963823
366,40.0,55.0,40.0,0.0,58.3007894817,10.4898346871,3.79552560614,27.9130366186,26.2788476693,19.8120637173
984,40.0,70.0,20.0,40.0,48.0639884545,13.3860491507,-1.46754395601,18.7220587699,16.8448811797,14.4601739315
1035,40.0,100.0,70.0,40.0,43.444577591,19.0230507014,6.09218393295,16.087207607,13.457449796,9.23909443757
198,30.0,100.0,20.0,0.0,50.1760693445,32.7146088042,-1.59317961013,24.7971892719,18.5664527127,15.9699959747
1009,40.0,70.0,40.0,40.0,48.2713778579,13.0203584157,2.99164898647,18.8247196162,17.0090032343,12.9279585935
1008,40.0,40.0,40.0,40.0,53.2709422657,3.34012143623,6.06091662583,21.2316374381,21.2950820606,15.0291177557
1007,40.0,20.0,40.0,40.0,56.3091870264,-2.95181434547,7.84323168219,22.69962203,24.2218030581,16.4458907146
371,55.0,10.0,40.0,0.0,65.2677928223,-13.1397386084,5.74695857277,29.5650930841,34.3859816146,25.022186273
419,10.0,40.0,55.0,0.0,66.2105834844,14.4713838632,21.7904414819,38.7052209652,35.5966578398,17.8008562523
437,30.0,40.0,55.0,0.0,62.5069116896,6.78685117488,15.8490412069,31.7272344489,30.9991447815,17.6038119624
455,55.0,40.0,55.0,0.0,57.8391949602,-1.44716613164,8.72146801227,24.5334975316,25.7921111452,17.2002849028
473,85.0,40.0,55.0,0.0,52.4601372332,-11.7002963304,0.0665738444656,17.5564897966,20.5560340524,16.9321957081
150,85.0,55.0,10.0,0.0,50.5928859724,-1.63852606015,-16.0944824017,17.9333361105,18.9194950863,23.1385175565
1048,0.0,40.0,100.0,40.0,55.5426236423,13.5237614805,31.9312707756,25.7306974178,23.4596009549,7.87980218093
953,20.0,40.0,0.0,40.0,56.0069347593,9.90288587684,-1.23259686528,25.3442778957,23.919329652,20.329637526
1058,40.0,40.0,100.0,40.0,50.8366044851,2.80010711009,21.8684976397,18.9881101401,19.1279825533,8.39459247951
963,70.0,40.0,0.0,40.0,49.6804008754,-0.723427161613,-9.9305129401,17.3704103478,18.1523734078,19.2735259908
1068,100.0,40.0,100.0,40.0,43.7469648298,-11.667063864,7.97320652273,11.4651438494,13.6638654199,8.85364042023
418,10.0,30.0,55.0,0.0,69.411082996,10.3451680162,22.4115819196,41.829764936,39.9179948991,20.0711957339
436,30.0,30.0,55.0,0.0,65.9262573681,3.13637984064,16.7119850711,34.8839988624,35.2285995332,19.9226689862
454,55.0,30.0,55.0,0.0,61.0599716977,-4.38818713281,8.81922914568,27.1641013046,29.3165302249,19.6849180534
76,100.0,30.0,0.0,0.0,55.0951068251,-13.8487682188,-21.9952710404,19.3243029193,23.0221121732,31.1659934591
738,10.0,20.0,0.0,20.0,67.9264359512,5.94336157541,1.50182994554,38.3498996753,37.872360462,30.2857453061
1278,0.0,0.0,100.0,100.0,36.6882655777,0.0285094642173,9.57333418105,9.03943957022,9.37060733624,5.53586897891
1263,40.0,0.0,0.0,100.0,35.0873970753,-0.205785572462,2.3418697878,8.21408963508,8.54215326954,6.50080546835
1284,100.0,0.0,100.0,100.0,34.3390271051,-5.44618765414,3.82493256256,7.30181386967,8.17222820498,5.89016185223
1051,20.0,0.0,100.0,40.0,60.7091654552,-4.4351123689,38.0392333011,26.7783244302,28.9179702187,8.62620855775
962,70.0,20.0,0.0,40.0,52.7128497896,-7.32768976641,-10.2133859037,18.5913122952,20.7845159513,21.9781342341
1053,20.0,40.0,100.0,40.0,53.4538753106,7.37909653645,26.6779319242,22.2664370804,21.4642383054,8.31476481581
394,85.0,70.0,40.0,0.0,48.2702365759,1.39857177537,-7.31079224186,16.6504898196,17.0080971518,16.9983347889
684,30.0,100.0,100.0,0.0,48.7896183788,29.8586035122,16.7470118977,22.7876333301,17.4237767553,8.83141981966
99,10.0,100.0,10.0,0.0,52.4031652438,41.6706647107,1.15264939109,29.396895205,20.5047570373,16.4273421758
386,70.0,85.0,40.0,0.0,47.950790467,9.91170421752,-5.90564163251,17.9638704532,16.7557465765,16.1678371086
348,20.0,55.0,40.0,0.0,61.4427772429,17.5317045172,9.33157911192,33.4557717276,29.7556053425,19.7553000991
1037,70.0,20.0,70.0,40.0,51.1375073366,-10.3880262513,10.0370963001,16.7533806085,19.3874937513,12.1858634598
976,20.0,0.0,20.0,40.0,63.9979879395,-4.24335099822,8.6203856085,30.4747852845,32.7991979869,22.2990798231
353,30.0,10.0,40.0,0.0,71.9767929715,-5.78066045688,13.4770167562,40.1722922554,43.6244949364,27.2276507238
1012,70.0,20.0,40.0,40.0,52.0034695064,-9.72365198783,0.915307001793,17.5580229727,20.1474109389,16.2374270804
1003,20.0,40.0,40.0,40.0,55.7511118355,8.05242399574,10.1585618667,24.649655067,23.6652958325,15.1002217728
