SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,62.1579363351,5.07053424834,7.51391230374,30.8474478613,30.5875916651,21.2472037676
1369,80.0,65.0,65.0,0.0,44.8600234083,-3.60899205053,-2.01039195336,13.359298156,14.4418349566,12.6141337696
1393,100.0,85.0,85.0,80.0,33.8739712576,-2.04830261845,-0.178339692557,7.44705441928,7.94781746619,6.59866733448
1427,0.0,7.0,7.0,0.0,79.2543756882,4.90392532458,7.91683566949,55.3299647212,55.370804955,39.3930591835
1387,100.0,85.0,85.0,60.0,34.8795520358,-3.06086484286,0.207894218309,7.80106305874,8.4383176373,6.91311102
1377,10.0,6.0,6.0,10.0,72.4557900535,-0.165866290788,2.86687215587,42.7019916926,44.3409332703,34.5612311877
558,85.0,100.0,70.0,0.0,40.795830643,-0.319083639131,-1.70853511198,11.2742156835,11.7374944214,10.2004786394
1381,10.0,6.0,6.0,20.0,67.9305782873,-0.156105830364,2.9804078142,36.4782986624,37.8779685087,29.3617050282
1394,80.0,65.0,65.0,80.0,34.9371134443,-2.14551739726,1.08649558824,7.9276557617,8.46698953866,6.73005946995
1434,0.0,7.0,7.0,7.0,76.5725408329,4.12826823167,7.79984754292,50.5467481184,50.8244378958,36.0830167341
1388,80.0,65.0,65.0,60.0,36.9211150197,-2.58259369648,0.658156051512,8.84887576756,9.49539400524,7.66637368387
1392,10.0,6.0,6.0,60.0,50.3759037706,0.57264538647,3.38697645476,18.1749303592,18.735158634,14.1261697227
1382,80.0,65.0,65.0,40.0,38.6586280494,-2.36049923059,-0.18233470112,9.78797259508,10.4616987942,8.68219667618
93,10.0,20.0,10.0,0.0,71.6409521381,7.45917976836,3.18058637245,44.099445485,43.1268058502,33.384077788
230,85.0,40.0,20.0,0.0,48.5237127447,-10.2665746628,-16.6991438422,14.8248105497,17.2101271741,21.6027268947
1430,0.0,7.0,0.0,7.0,76.8204952664,4.71230234768,3.29534778445,51.1709866456,51.2339306922,39.7153557911
1395,60.0,45.0,45.0,80.0,36.9555723932,-1.49612105494,0.413874842903,8.99504465115,9.51395367188,7.74373798327
1376,20.0,12.0,12.0,10.0,66.8274781698,-1.06441178224,1.55528954574,34.7911931153,36.4040203435,29.0663779387
1389,60.0,45.0,45.0,60.0,38.7483605859,-1.94876409972,-0.284901570291,9.88884785145,10.5133080345,8.75336166473
1380,20.0,12.0,12.0,20.0,62.6998673243,-0.833965110781,1.67709712325,29.8917424245,31.2282777166,24.8229441497
1424,3.0,3.0,3.0,3.0,80.4439389789,0.936175666705,5.38746015051,55.7945628006,57.4712775191,42.9584132936
1385,20.0,12.0,12.0,40.0,53.9079916669,-0.723094989546,1.89185982714,20.9549411567,21.8880216546,17.2227784568
1378,60.0,45.0,45.0,20.0,46.4231889354,-3.18768833134,-0.511987388874,14.4992769095,15.5834598284,13.0423584776
1391,20.0,12.0,12.0,60.0,45.0257675784,-0.18275576621,2.4080631884,14.011043291,14.5601478254,11.2075221834
1420,3.0,3.0,0.0,3.0,78.0983904571,0.314046533354,2.91465387769,51.5930552709,53.3792683909,41.7121159083
1397,20.0,12.0,12.0,80.0,39.2747071898,0.391360175093,2.98220019334,10.4846514057,10.8194549826,8.1150755405
210,55.0,20.0,20.0,0.0,57.7151170417,-9.89584391552,-7.3345145492,22.5051896769,25.6623078529,25.0555071865
101,20.0,10.0,10.0,0.0,70.3228022569,-2.55200330522,0.428341687827,38.9265514731,41.2100007974,33.7098259642
1432,0.0,0.0,7.0,7.0,77.1190507544,-0.362758408134,8.34502262776,49.7477918522,51.7299016656,36.3669045202
1375,40.0,27.0,27.0,10.0,56.272297608,-2.33907241989,-0.954183396505,22.7998544602,24.1847508176,20.4168846066
1384,40.0,27.0,27.0,40.0,47.1007411973,-1.56619766444,0.244869944267,15.2551139218,16.0964243985,13.1917569746
1379,40.0,27.0,27.0,20.0,53.4793079787,-2.02344836371,-0.415497703166,20.3034500404,21.4878263097,17.9148312156
1,0.0,0.0,0.0,0.0,81.9187734916,0.610647909276,4.47879299526,58.2529354868,60.1483789466,45.7827438053
970,100.0,100.0,0.0,40.0,37.14541136,2.90274223321,-13.6493938557,9.63029150717,9.61663983859,12.0350913917
1049,0.0,70.0,100.0,40.0,47.1741284848,20.2503907226,18.3948927673,19.315786608,16.1526510264,7.65137135283
968,100.0,40.0,0.0,40.0,40.8821911312,-5.65354526638,-15.2583315521,10.6015843749,11.7911179616,15.0129502746
336,10.0,20.0,40.0,0.0,70.6133917304,5.76922766706,20.0368710343,42.0311455186,41.6275804955,22.2935876479
479,100.0,10.0,55.0,0.0,52.6929670352,-28.8849682461,0.0270948899003,14.7175639673,20.7664785452,17.122760016
560,100.0,10.0,70.0,0.0,51.9418046859,-30.1223165712,6.34977719062,13.9904164192,20.0926522518,14.0260567061
328,0.0,30.0,40.0,0.0,69.7810475349,15.438230228,22.7663100084,44.0864719111,40.438968437,20.2080625962
564,100.0,55.0,70.0,0.0,44.4261781085,-13.0976490968,0.0683241232556,11.6758552737,14.1351822273,11.6400728723
974,0.0,70.0,20.0,40.0,47.3524428949,21.8256079466,5.89777686293,19.783766773,16.2898141934,11.3790376711
1045,100.0,100.0,70.0,40.0,36.4660021724,-2.62813350381,-1.6678469077,8.6147009761,9.25251826327,8.06440506385
234,85.0,100.0,20.0,0.0,42.2193780919,4.2672289258,-14.860621871,12.8235327921,12.6423764501,15.783956754
999,0.0,70.0,40.0,40.0,46.9889597794,22.5178907565,10.0976246848,19.6082940791,16.0110325818,9.85782309688
1018,100.0,40.0,40.0,40.0,41.3121914478,-10.0620811649,-5.49904927365,10.2659242009,12.0605489877,11.7067537698
997,0.0,20.0,40.0,40.0,57.3228524463,6.98039623463,17.1756555685,26.0026362456,25.2548089617,13.4462301169
641,100.0,10.0,85.0,0.0,51.3913708921,-31.0434305115,9.37004906611,13.4708196414,19.6082531544,12.5718956596
849,10.0,100.0,40.0,20.0,46.4842482338,30.6214526194,6.94272681061,20.8183966073,15.6292334985,10.5597835044
433,30.0,0.0,55.0,0.0,70.4674547626,-14.0224906268,24.5249763283,35.5982916812,41.4175169274,19.9306650698
279,30.0,100.0,30.0,0.0,48.1565995307,28.3951175785,-0.579754531527,21.8730830361,16.9180398546,14.1797931103
469,85.0,0.0,55.0,0.0,55.7144922854,-31.1290865532,2.14389668984,16.5716129745,23.6290802152,18.4997960358
315,85.0,100.0,30.0,0.0,40.7255212444,4.17672499091,-13.5872075137,11.8642414909,11.6939576877,14.2546201902
1046,0.0,0.0,100.0,40.0,59.9881914188,-1.51072623426,38.9163307836,26.7332183287,28.1102272474,8.05687605497
955,20.0,100.0,0.0,40.0,40.3174294353,21.6592526436,-2.79028936789,14.2599510244,11.4433848274,10.2795950196
1056,40.0,0.0,100.0,40.0,49.6994135547,-11.3845095427,21.5264818525,15.4903457835,18.168141818,7.96551907402
965,70.0,100.0,0.0,40.0,37.3671169177,7.83053086357,-10.7763259415,10.3817618629,9.73749519131,11.200923496
1066,100.0,0.0,100.0,40.0,44.0005366592,-21.6303112382,10.9728316854,10.2684541147,13.8385770718,8.15664078772
422,10.0,85.0,55.0,0.0,51.8639809221,32.2885453308,13.6368849514,26.4345030653,20.0236860801,11.3920610351
887,20.0,10.0,70.0,20.0,61.0352760405,-4.49779003093,26.4749630802,27.1104205129,29.2883537681,12.4040600101
458,55.0,85.0,55.0,0.0,45.6700971913,10.7141897567,-0.858453998905,16.3133745424,15.0262264991,12.7009363777
899,70.0,10.0,70.0,20.0,51.7295886816,-18.6598452093,9.15371667931,15.7439751264,19.9049617247,12.8562814971
740,10.0,70.0,0.0,20.0,50.2874824103,25.876615546,-3.13142976442,23.339222035,18.6603853064,16.6973437146
911,0.0,10.0,100.0,20.0,65.668120939,1.86682454322,41.6349803631,34.1889018145,34.896648744,10.0597659409
1265,40.0,100.0,0.0,100.0,32.2345931176,7.40738860083,-1.12909823772,7.70058601678,7.18955301478,6.17704879638
905,100.0,10.0,70.0,20.0,47.9944266024,-22.7315749966,3.4094011509,12.5086358863,16.790069297,12.6085967753
1061,70.0,0.0,100.0,40.0,47.7570730547,-17.7472198422,12.9244773379,13.1051801938,16.6039396572,9.41357347113
952,20.0,20.0,0.0,40.0,54.3501530926,2.86635404765,-2.57431153964,22.1253030127,22.3059730374,19.6016676766
1063,70.0,40.0,100.0,40.0,42.6522924285,-7.37884222607,8.05011126037,11.40506636,12.9265016498,8.31594465219
358,30.0,70.0,40.0,0.0,52.7638382307,19.8220666373,3.98023705187,24.3926870507,20.8308198086,15.5140049313
720,85.0,100.0,100.0,0.0,41.3539015942,-1.53102416918,3.00826591455,11.4401361954,12.0869001066,9.09018691743
135,55.0,100.0,10.0,0.0,46.2042332078,16.3310398963,-13.0817872309,17.7554035269,15.4200525951,17.9699061718
350,20.0,85.0,40.0,0.0,51.950733175,29.1413259251,6.431995944,25.7631511914,20.1005746467,14.0006921621
384,70.0,55.0,40.0,0.0,48.9815738973,-3.18080841714,-4.43566874087,16.380471343,17.5791029863,16.2964609046
1027,20.0,20.0,70.0,40.0,52.5759050694,-0.444830196118,20.7261267209,19.8330129939,20.6604928277,9.56185908151
986,70.0,0.0,20.0,40.0,49.0717093248,-15.0847499568,-5.49159124505,14.4207230263,17.6523560055,16.8102212412
389,85.0,10.0,40.0,0.0,55.7990155829,-24.4456977329,-4.42164688491,17.8642506975,23.7127270164,21.737807994
1002,20.0,20.0,40.0,40.0,53.0952779188,1.21080326289,11.381742375,20.6284920054,21.1334857992,12.9017091014
1013,70.0,40.0,40.0,40.0,42.9075936047,-4.69499182724,-2.10402404742,11.9408009028,13.0960365468,11.4911567112
1004,20.0,70.0,40.0,40.0,45.034947773,16.0123455906,5.54049592588,16.7707230157,14.5667197263,10.2188542625
