SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,66.3454685962,5.17480144957,9.82036713192,36.0257962295,35.772158651,23.8048619092
1369,80.0,65.0,65.0,0.0,50.1981604419,1.19621902016,6.0187670017,18.1478291209,18.5850526501,13.0343338263
1393,100.0,85.0,85.0,80.0,35.1091180818,0.269693213677,3.73648570294,8.2780006062,8.55305359391,6.19696464885
1427,0.0,7.0,7.0,0.0,81.7194522774,3.50654357921,9.39321589048,59.0991150375,59.7818161365,41.5275384899
1387,100.0,85.0,85.0,60.0,37.7864925511,0.424407847128,3.78872421457,9.66582280936,9.96886480228,7.25783668844
1377,10.0,6.0,6.0,10.0,76.1819772352,0.314832776793,6.10239617562,48.5072050753,50.1838631094,36.8181799062
558,85.0,100.0,70.0,0.0,46.279004935,10.2136503749,1.27730051314,16.6921799239,15.4757258375,12.3188108566
1381,10.0,6.0,6.0,20.0,71.5592357967,0.377482646025,5.87590740293,41.5953344369,43.0062841146,31.5004044062
1394,80.0,65.0,65.0,80.0,37.5275014953,1.90633623074,4.55048763522,9.7115374639,9.82555179057,6.96605322136
1434,0.0,7.0,7.0,7.0,78.8425066421,3.07100367629,8.89544551262,53.9009255626,54.6556549965,38.1300678497
1388,80.0,65.0,65.0,60.0,40.4204909241,1.82290069924,4.57707335335,11.346880497,11.5063244112,8.21586126386
1392,10.0,6.0,6.0,60.0,53.5725438156,1.03864019877,5.80706247253,21.0210614315,21.5744474283,15.3389820876
1382,80.0,65.0,65.0,40.0,43.9936520861,1.99668272568,5.04729570449,13.6512838684,13.8338140262,9.82363853824
93,10.0,20.0,10.0,0.0,75.5590785685,6.17212548504,6.16433546949,49.6774356644,49.1734039246,36.0033285947
230,85.0,40.0,20.0,0.0,57.5882289918,-5.29782824895,-9.11913572942,23.4054131998,25.5300159235,25.941292353
1430,0.0,7.0,0.0,7.0,79.1450803619,3.55840972789,5.60081800382,54.60737601,55.1804253853,41.023570509
1395,60.0,45.0,45.0,80.0,38.206982385,1.18708691454,4.66004935421,9.99090021397,10.2044999236,7.22207193061
1376,20.0,12.0,12.0,10.0,71.7812958706,-0.206949797874,5.14672007961,41.7185689595,43.3343209746,32.2302879983
1389,60.0,45.0,45.0,60.0,41.9156414742,1.10920945804,4.83850617289,12.1618640363,12.4455371405,8.84728286048
1380,20.0,12.0,12.0,20.0,67.0714720433,-0.0507457639009,5.15313761766,35.400330046,36.7266867901,27.1487842226
1424,3.0,3.0,3.0,3.0,81.4220381434,0.889814200302,6.85714439601,57.4864868841,59.2376287503,43.132216317
1385,20.0,12.0,12.0,40.0,58.7176342589,0.399840918193,5.62827534774,25.8655749377,26.7236250813,19.2841598087
1378,60.0,45.0,45.0,20.0,52.7938003361,0.791657012372,5.43223434262,20.2748633551,20.8580611855,14.9521063369
1391,20.0,12.0,12.0,60.0,49.8123662694,0.659699880976,5.49214384335,17.7331211577,18.262008915,12.9842916447
1420,3.0,3.0,0.0,3.0,81.7920579898,0.940047008356,5.47393729029,58.163348178,59.9151691296,44.7759660393
1397,20.0,12.0,12.0,80.0,43.0373418399,1.00951536223,5.30614278957,12.8639721862,13.182762189,9.26324209566
210,55.0,20.0,20.0,0.0,66.3469957845,-7.13681159649,-1.9334182613,32.4575451793,35.7741489914,30.7397952397
101,20.0,10.0,10.0,0.0,76.6556003299,-1.26824324898,4.51712396828,48.675152493,50.9613653579,38.5814744976
1432,0.0,0.0,7.0,7.0,81.0355694332,0.0717899905762,10.2481796912,56.4745445483,58.535442887,39.9549318114
1375,40.0,27.0,27.0,10.0,64.3673219745,-1.39883700006,4.0057752239,31.6812957308,33.2555797168,25.1277232976
1384,40.0,27.0,27.0,40.0,53.2088612556,-0.227831632636,3.81453753014,20.432708068,21.2378790381,15.8960791289
1379,40.0,27.0,27.0,20.0,60.1510938246,-0.952383409368,3.43317808961,27.0444945291,28.2914020109,21.559643707
1,0.0,0.0,0.0,0.0,83.8084181067,0.488268483921,6.56454777002,61.6333320665,63.6982571071,46.7694267398
970,100.0,100.0,0.0,40.0,38.7325895676,6.14898119214,-10.7693415918,10.9420300677,10.5042251425,11.9859324901
