SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,57.9210994533,6.23245018371,8.48808983939,26.4472438404,25.8780343689,17.3637965107
1369,80.0,65.0,65.0,0.0,42.8753468214,-2.6840475025,1.62100532991,12.2119006723,13.0745414953,10.2792577955
1393,100.0,85.0,85.0,80.0,34.5810010803,-0.407747890278,0.823814820609,7.94986137113,8.29064451216,6.64861424212
1427,0.0,7.0,7.0,0.0,79.3466128288,5.9638407547,9.6966076931,55.9142920772,55.5318114731,38.1803853519
1387,100.0,85.0,85.0,60.0,34.6120421075,-0.706363398981,0.741082673112,7.93181167187,8.30591752468,6.6801236355
1377,10.0,6.0,6.0,10.0,69.212508021,-0.506479968968,2.90003848845,38.0669823899,39.6402218127,30.8084650995
558,85.0,100.0,70.0,0.0,39.3736321824,3.34759735933,-1.94787188551,10.9368412747,10.8776496564,9.53583521751
1381,10.0,6.0,6.0,20.0,63.451739822,-0.434607361497,2.66351172459,30.8668279883,32.1318897091,24.9955595581
1394,80.0,65.0,65.0,80.0,34.8672583971,-0.690091461692,1.85702925605,8.05460117853,8.43220245582,6.5247844389
1434,0.0,7.0,7.0,7.0,74.4545362727,5.22934163226,9.04689227069,47.5867313482,47.4151454168,32.7013774273
1388,80.0,65.0,65.0,60.0,35.9705093506,-1.23327566502,1.91812290987,8.52932025497,8.99284177162,6.95364995709
1392,10.0,6.0,6.0,60.0,47.5643287889,0.520056577382,3.43775774125,15.9568565682,16.4538081249,12.3381937873
1382,80.0,65.0,65.0,40.0,37.2767584765,-1.82248585778,1.35933254372,9.12154483704,9.68811781982,7.64405309342
93,10.0,20.0,10.0,0.0,68.8247194904,8.70827443614,2.3847354737,40.464231612,39.1014919636,30.7101889461
230,85.0,40.0,20.0,0.0,47.1473409096,-8.35281912845,-13.0360742974,14.16747543,16.1321122276,18.6872573414
1430,0.0,7.0,0.0,7.0,76.0375950239,5.59536175648,3.1044729863,50.231932129,49.9484272491,38.8408742995
1395,60.0,45.0,45.0,80.0,36.2200693396,-0.747713985095,2.82830715556,8.70990335855,9.12301449302,6.84010127567
1376,20.0,12.0,12.0,10.0,62.9620900909,-2.81794846968,-0.387907977624,29.6660738173,31.5414706249,26.2481061866
1389,60.0,45.0,45.0,60.0,37.9611644322,-0.942013284855,2.94728225581,9.58942776743,10.0663023496,7.54114569669
1380,20.0,12.0,12.0,20.0,58.1510287042,-2.30222001052,0.239470741405,24.647284031,26.1202646906,21.4310698013
1424,3.0,3.0,3.0,3.0,77.4934845917,0.81071975925,4.23879989453,50.7924024337,52.3564355935,39.880441239
1385,20.0,12.0,12.0,40.0,50.0669186642,-1.33026583134,1.27588596588,17.5666085547,18.4747337471,14.7370747796
1378,60.0,45.0,45.0,20.0,43.3222398831,-2.23922912599,2.05433230501,12.5611358633,13.3745338564,10.3837042134
1391,20.0,12.0,12.0,60.0,44.4880355047,-0.682195117649,1.94728317875,13.5653554969,14.1786366195,11.0556997899
1420,3.0,3.0,0.0,3.0,77.6022919955,1.28949760357,1.8510057635,51.150893348,52.5394451468,41.8759377297
1397,20.0,12.0,12.0,80.0,38.3484744847,0.0872313357583,3.1843036256,9.92849426994,10.2846166235,7.64983595325
210,55.0,20.0,20.0,0.0,55.2512301982,-11.1048550794,-7.31222794629,20.0092325385,23.1741137131,22.7427721276
101,20.0,10.0,10.0,0.0,68.7150077919,-4.92552628529,-2.03942007262,36.0597816445,38.9499673254,33.5028882058
1432,0.0,0.0,7.0,7.0,78.6922813506,-0.0803870719442,10.8747844206,52.4231799017,54.3963515378,36.4980247033
1375,40.0,27.0,27.0,10.0,52.1776961559,-3.75508776238,0.0334690497698,18.836819658,20.3026625845,16.7375153156
1384,40.0,27.0,27.0,40.0,43.2715535395,-1.80959298881,1.97613099708,12.5925565074,13.3402805729,10.3808484555
1379,40.0,27.0,27.0,20.0,49.0680500772,-2.68840216294,0.761788060071,16.5344825578,17.649378181,14.267936407
1,0.0,0.0,0.0,0.0,84.1271773685,0.626512103997,4.48890629012,62.284810401,64.3105098184,49.0302798525
970,100.0,100.0,0.0,40.0,35.2840921884,4.92991983112,-10.424336409,8.9027051195,8.64119984006,9.96060180207
1049,0.0,70.0,100.0,40.0,45.2228426432,22.0721593423,20.0877989703,18.0398545559,14.7016643685,6.43935313439
968,100.0,40.0,0.0,40.0,38.7788237982,-3.0806270254,-13.7200512092,9.76255799248,10.5308673204,13.0525370596
336,10.0,20.0,40.0,0.0,67.400019224,6.6563846044,23.8553451569,37.8650891981,37.1641739835,17.7945563516
479,100.0,10.0,55.0,0.0,50.3998475162,-28.6348618421,3.4914739037,13.1823551545,18.7554409211,14.1020604375
560,100.0,10.0,70.0,0.0,50.5210710599,-29.4430132535,8.97957455631,13.1385476909,18.858351746,12.1840309825
328,0.0,30.0,40.0,0.0,68.1716816397,19.4467911059,28.1843750395,43.0885950757,38.2053378063,16.4929952494
564,100.0,55.0,70.0,0.0,43.0049770676,-10.7010568939,0.902652162326,11.1556906806,13.1610933657,10.5727798419
974,0.0,70.0,20.0,40.0,44.2411869166,21.6069471201,7.74913070723,17.1655467402,14.0057571762,9.15782469333
1045,100.0,100.0,70.0,40.0,34.9865633074,1.01496653189,-0.621284294437,8.30245922442,8.49167280257,7.15612530175
234,85.0,100.0,20.0,0.0,40.144554723,7.01015897365,-12.5301679299,11.911430297,11.3383264736,13.4787763041
999,0.0,70.0,40.0,40.0,44.4471138828,21.2778278718,12.7270344138,17.2680039804,14.1498795093,7.8989652196
1018,100.0,40.0,40.0,40.0,38.2151716508,-7.30772180828,-2.06720395451,8.94962732828,10.2091255263,8.99491510024
997,0.0,20.0,40.0,40.0,52.4807202477,7.759625848,19.2383504092,21.4461424137,20.5745805695,9.95657313998
641,100.0,10.0,85.0,0.0,50.3637403217,-30.0528673524,11.6557898419,12.9422143267,18.7248608133,11.1930322697
849,10.0,100.0,40.0,20.0,44.274557726,29.65265473,9.31270639141,18.709035504,14.0290456819,8.7340489099
433,30.0,0.0,55.0,0.0,67.4940915094,-19.7585362302,27.0008278431,30.3552781296,37.2900755286,16.4994648585
279,30.0,100.0,30.0,0.0,45.6287009556,25.7369856923,0.586810891288,19.0840349705,14.9959876088,12.1693909675
469,85.0,0.0,55.0,0.0,55.120077322,-33.4474590033,8.28882604504,15.7140179367,23.0463786329,15.4142496838
315,85.0,100.0,30.0,0.0,40.0627760218,5.7422458231,-9.34320179564,11.6804052712,11.2888532689,12.2850085801
1046,0.0,0.0,100.0,40.0,57.3860936117,-0.938992884817,37.6670303245,24.1993781953,25.3202123701,7.23683159156
955,20.0,100.0,0.0,40.0,39.8201377564,19.1065203564,-1.61153085506,13.5135372987,11.1429131131,9.66369965255
1056,40.0,0.0,100.0,40.0,48.2686196492,-14.4095607989,21.5151786752,13.971264974,17.0068135022,7.34290900845
965,70.0,100.0,0.0,40.0,36.7229116579,7.97911180436,-8.71581823211,10.0414210396,9.38910490904,10.1958749467
1066,100.0,0.0,100.0,40.0,42.8240430203,-22.0731283287,11.8341502006,9.56827762207,13.0403919214,7.41563566338
422,10.0,85.0,55.0,0.0,50.8008976922,35.6074986789,15.9884837664,26.1272574588,19.0973421238,10.0638299909
887,20.0,10.0,70.0,20.0,57.062640126,-6.10820050702,26.8022440402,22.719757385,24.9868849205,10.0584575881
458,55.0,85.0,55.0,0.0,42.9187478455,10.6374955344,0.845160512719,14.2908475093,13.1034772177,10.5441232564
899,70.0,10.0,70.0,20.0,47.6613519201,-19.4503562458,11.1109194814,12.7842599317,16.5292673312,9.90172169214
740,10.0,70.0,0.0,20.0,48.5973800893,24.1439901126,-2.18703122274,21.3710102647,17.2691414041,15.1048392056
911,0.0,10.0,100.0,20.0,62.6138459361,4.01509492075,43.4810917197,31.094287491,31.1259891835,8.0469674605
1265,40.0,100.0,0.0,100.0,34.1937543953,7.99139394162,-0.735747718646,8.71048478658,8.10167982705,6.85668229144
905,100.0,10.0,70.0,20.0,45.2265126534,-21.9696799423,7.5157405779,10.9247337469,14.7043084057,9.72130956421
1061,70.0,0.0,100.0,40.0,45.4633354359,-18.9061227865,15.4772501895,11.4874144635,14.87559705,7.64326002712
952,20.0,20.0,0.0,40.0,48.5708931411,3.00192538851,-3.58545349271,17.1760773832,17.2479074472,15.651083931
1063,70.0,40.0,100.0,40.0,40.1814544361,-5.86906562563,8.12486888533,10.1776927013,11.3606967299,7.20730672036
358,30.0,70.0,40.0,0.0,49.5931601203,17.8109787859,5.73587015901,20.9414891426,18.0801361405,12.7613135934
720,85.0,100.0,100.0,0.0,38.9067435375,2.25906340967,0.853249057632,10.5218178355,10.6048149113,8.51560946342
135,55.0,100.0,10.0,0.0,42.9533038272,16.9451713517,-11.2944157627,15.3627449317,13.1265464016,14.8572967301
350,20.0,85.0,40.0,0.0,48.4095850924,28.1361434902,7.43920674319,22.05250019,17.1189663012,11.4721998504
384,70.0,55.0,40.0,0.0,45.9012022526,-3.8751582366,-2.56629574786,14.0240034305,15.1957900435,13.4644984725
1027,20.0,20.0,70.0,40.0,47.6508181979,-0.300750884485,19.0571369554,15.8788562081,16.5210636457,7.69192032352
986,70.0,0.0,20.0,40.0,44.849983668,-15.2595479943,-2.81819529044,11.6284603147,14.4346889675,12.895931245
389,85.0,10.0,40.0,0.0,52.2740502921,-26.6672321229,0.836859098534,14.7857573911,20.3888643036,16.4666942
1002,20.0,20.0,40.0,40.0,47.8269821239,0.442323802692,11.9134455504,16.1414386052,16.6586177884,9.746871722
1013,70.0,40.0,40.0,40.0,39.2564504703,-4.0007872468,0.210579263165,9.90635363414,10.8087378283,8.85933205388
1004,20.0,70.0,40.0,40.0,41.6617610409,13.1895983004,6.96824718498,13.8314924476,12.2825838686,8.14929028627
216,55.0,100.0,20.0,0.0,42.643252457,15.1344332585,-8.61008954131,14.8338111587,12.9205255562,13.6227966094
728,100.0,85.0,100.0,0.0,39.0115051676,-3.25355258113,0.817182333114,9.86724522456,10.665632511,8.57475384368
471,85.0,20.0,55.0,0.0,49.6935811121,-22.4153461345,3.27001930446,13.6759144681,18.1633036362,13.7257219913
457,55.0,70.0,55.0,0.0,45.3380347019,5.37051568718,2.16258471042,15.1434938588,14.7848050702,11.4658385
435,30.0,20.0,55.0,0.0,59.5938339117,-6.05459355335,19.1185284505,25.2265440385,27.67484191,14.1878616934
421,10.0,70.0,55.0,0.0,54.1976306489,29.8267910775,18.9537418641,28.3331048626,22.1612061541,10.9697902328
400,100.0,30.0,40.0,0.0,47.0702704248,-17.5116596947,-5.48217487883,12.6928556348,16.0731172074,15.3706187183
186,20.0,55.0,20.0,0.0,55.6937029783,17.8075934333,1.76902151756,26.9323729476,23.6085366765,18.6550908394
616,55.0,30.0,85.0,0.0,51.3204391645,-10.7112249739,17.0721148022,16.8373421898,19.5464032238,10.0067517292
222,70.0,55.0,20.0,0.0,46.2965941339,-0.941547882625,-11.8333453752,14.7792588371,15.4888417746,17.486333658
580,10.0,30.0,85.0,0.0,63.7393675074,10.930671637,38.1845543452,34.4068101757,32.482121901,10.0978496094
1267,100.0,40.0,0.0,100.0,32.5386372093,-0.474847913459,-4.5136521701,7.01679138439,7.32636866211,7.0768326401
935,70.0,10.0,100.0,20.0,47.5424933461,-20.4727496822,15.9684155182,12.554777641,16.4368574488,8.45422997587
1261,0.0,40.0,0.0,100.0,34.5527902787,7.24581284143,3.8107175939,8.80423422253,8.27678029634,5.97206266389
918,10.0,20.0,100.0,20.0,56.9120732281,3.94914688173,34.3396744126,24.8601887078,24.8327247384,7.86758162608
474,85.0,55.0,55.0,0.0,43.8651773635,-7.98127650573,-0.925282040494,12.0621279521,13.7451300382,11.6489174634
452,55.0,10.0,55.0,0.0,57.4425912858,-21.9022967147,13.507913144,19.7363300272,25.3787371387,14.9281321733
438,30.0,55.0,55.0,0.0,51.7405132522,10.9789223539,12.409841029,21.4522488301,19.9145951024,11.7306659237
416,10.0,10.0,55.0,0.0,71.852828129,-1.65010144265,35.5230551543,41.3441149888,43.4403456751,16.0768652373
960,40.0,100.0,0.0,40.0,37.8429690641,13.165671057,-4.78691659715,11.3792496154,10.0003000976,9.59467759726
1059,40.0,70.0,100.0,40.0,39.7707380148,6.92210553248,9.64879291661,11.669229739,11.1133554991,6.67701874146
958,40.0,40.0,0.0,40.0,42.3488801147,4.26195538446,-7.97840457981,12.9070609904,12.7269285974,13.2028472547
372,55.0,20.0,40.0,0.0,55.5309668928,-13.3511774149,5.48955333956,19.7989605183,23.4481357001,16.876947772
370,55.0,0.0,40.0,0.0,61.2682354364,-26.6715918542,9.66172167614,22.186373507,29.5548674296,19.4556667893
362,40.0,10.0,40.0,0.0,61.0434999795,-16.2610467915,12.7987082692,24.3014109841,29.2977348476,17.83781938
364,40.0,30.0,40.0,0.0,54.646799716,-4.81925732041,7.45578531695,20.7648682438,22.589338424,15.4211446783
366,40.0,55.0,40.0,0.0,50.4573844184,6.11659307686,4.15896710385,19.3193853753,18.8042391655,13.8865532827
984,40.0,70.0,20.0,40.0,38.9895380058,8.2504509031,-1.19800209079,11.3829926693,10.6528606301,9.12715002576
1035,40.0,100.0,70.0,40.0,37.5797900031,11.1885992701,5.04288454897,10.9516141998,9.8543742909,6.87068226946
198,30.0,100.0,20.0,0.0,45.6886323648,25.9447529744,-2.65735063767,19.17576283,15.0397791337,13.3629529404
1009,40.0,70.0,40.0,40.0,39.5565987302,7.27951027067,3.03674270005,11.5893495408,10.9858327055,8.22939203356
1008,40.0,40.0,40.0,40.0,41.7685150382,0.731340894697,4.53232246609,12.0151981012,12.3509295431,8.86196122797
