SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,52.9170194654,8.17699430241,9.08015247564,21.9379045772,20.9703409969,13.6314211514
1369,80.0,65.0,65.0,0.0,44.4284562397,2.93633586064,-0.157356979611,14.0982890949,14.1367810218,11.7172539596
1393,100.0,85.0,85.0,80.0,33.9394730501,4.4825488085,1.68226563405,8.18504429511,7.97917331971,6.20525018952
1427,0.0,7.0,7.0,0.0,74.7867439136,11.5495800176,11.7071953529,50.442971059,47.9394837891,31.3270649463
1387,100.0,85.0,85.0,60.0,35.3132120357,4.98444011146,0.885273815301,8.92400007345,8.65592799351,6.92978642047
1377,10.0,6.0,6.0,10.0,61.9720770756,1.18614811282,2.94226767548,29.5967296331,30.3698986486,23.4487914295
558,85.0,100.0,70.0,0.0,42.5605644412,5.22105795078,-2.75855751201,13.1924769204,12.86594808,11.5098577224
1381,10.0,6.0,6.0,20.0,57.2692891586,1.05902777353,3.19582773912,24.5450457511,25.1995024943,19.253793058
1394,80.0,65.0,65.0,80.0,34.6570847251,2.39336194033,0.993518568279,8.29774781586,8.32811303198,6.63972295713
1434,0.0,7.0,7.0,7.0,68.9959400913,10.66003271,11.1584318549,41.3427864599,39.3387519529,25.594291289
1388,80.0,65.0,65.0,60.0,35.7938395977,2.48610585438,0.337035961065,8.87358885559,8.9014417606,7.26177360183
1392,10.0,6.0,6.0,60.0,41.5249424966,1.97812020692,4.31183192856,12.0436399758,12.1953596345,8.80629867972
1382,80.0,65.0,65.0,40.0,37.5178858761,3.47835318188,0.305877285601,9.90449166088,9.82025758906,8.0224261595
93,10.0,20.0,10.0,0.0,61.1402454491,11.5089269545,0.942894741857,31.4060524114,29.4082432174,23.7524557277
230,85.0,40.0,20.0,0.0,48.074274993,-1.03306978973,-7.65745274194,16.0695876615,16.8529966599,17.0021323202
1430,0.0,7.0,0.0,7.0,69.6439334371,12.0803988326,2.81273725939,42.7444244118,40.2453629247,31.3449425287
1395,60.0,45.0,45.0,80.0,34.4394896709,1.14630966549,1.29345152198,8.05377981757,8.22125433697,6.48519975643
1376,20.0,12.0,12.0,10.0,55.115438281,1.33567617781,0.633984904485,22.5108942523,23.0418690995,18.7185634785
1389,60.0,45.0,45.0,60.0,36.6812089793,1.17995795812,1.25793468137,9.17394571135,9.36684279265,7.41194173156
1380,20.0,12.0,12.0,20.0,52.1493353649,1.34446998517,1.20823685806,19.8230634417,20.2773364098,16.2200821469
1424,3.0,3.0,3.0,3.0,72.2757151952,3.11051930355,6.05166740925,43.5479344522,44.0706815416,32.1955789905
1385,20.0,12.0,12.0,40.0,44.8548395398,1.88533313365,2.02873635854,14.2250127656,14.4381449385,11.2352201653
1378,60.0,45.0,45.0,20.0,42.8362064523,0.963077237623,0.593096223322,12.7264901643,13.0484829355,10.5786231912
1391,20.0,12.0,12.0,60.0,39.8833239355,1.06453830525,2.34589293524,10.9251716305,11.180795968,8.56775913854
1420,3.0,3.0,0.0,3.0,72.9907772274,3.52824194322,1.82190858468,44.7507802581,45.1503406996,35.9423583681
1397,20.0,12.0,12.0,80.0,36.3009239564,1.3130419328,2.73634098229,8.99354559582,9.16545682735,6.89468912926
210,55.0,20.0,20.0,0.0,54.5319718262,-5.50567014873,-3.34470884482,20.5202755215,22.4793685892,20.1207440839
101,20.0,10.0,10.0,0.0,63.387308618,-1.90673794666,-1.72007394705,30.3954962468,32.0537812411,27.4573932812
1432,0.0,0.0,7.0,7.0,76.773840196,-0.230229947997,15.1231200981,49.2450427384,51.1567132187,31.3336219005
1375,40.0,27.0,27.0,10.0,48.89994584,0.946972341086,-0.461424637844,17.0597354947,17.5129390192,14.6295061521
1384,40.0,27.0,27.0,40.0,41.9490431689,1.91110038069,0.706639475662,12.3000149886,12.46708271,10.069927066
1379,40.0,27.0,27.0,20.0,47.179013756,1.57113967378,0.0934558667611,15.8507574709,16.1563985819,13.2964370085
