SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,59.4408044584,4.18886351191,8.91429965367,27.5633206807,27.5071100391,18.342324429
1369,80.0,65.0,65.0,0.0,49.3948635364,0.0647243670892,9.71786201535,17.2888577429,17.9166556098,11.2806515094
1393,100.0,85.0,85.0,80.0,35.4897718724,2.79925122311,7.17545340527,8.7564746673,8.74558641369,5.60389183262
1427,0.0,7.0,7.0,0.0,80.4707328188,4.5229641881,9.9817086693,57.2951865915,57.5191904538,39.4174799097
1387,100.0,85.0,85.0,60.0,36.7352480169,3.77308592455,8.01679536967,9.51893478137,9.39569717427,5.87729692839
1377,10.0,6.0,6.0,10.0,69.6954893707,-0.185395075541,3.41987097512,38.8200458046,40.3180873944,31.0097052883
558,85.0,100.0,70.0,0.0,44.0037945079,9.32475899772,7.43587618551,14.8429042795,13.8408313736,9.13039929422
1381,10.0,6.0,6.0,20.0,63.8545424322,0.0225267813364,3.77577781005,31.4644681348,32.6230760741,24.7630551868
1394,80.0,65.0,65.0,80.0,34.7178745024,2.29307938587,6.06389182868,8.31600091997,8.3581308614,5.55883260764
1434,0.0,7.0,7.0,7.0,74.3184507038,4.539983091,9.87249238494,47.1272121279,47.2014641159,31.9984661451
1388,80.0,65.0,65.0,60.0,36.7410655362,1.90316708198,6.36463316,9.29276501463,9.3988069926,6.23793544206
1392,10.0,6.0,6.0,60.0,46.2406341686,0.767945425859,3.80778417356,15.0238917291,15.4471391726,11.4363139546
1382,80.0,65.0,65.0,40.0,39.626626652,2.60238932273,7.72211048264,10.9837168781,11.0274273223,7.07320071953
93,10.0,20.0,10.0,0.0,70.7828689225,6.43977080969,5.15962180567,42.4988726982,41.8724181155,31.0968283016
230,85.0,40.0,20.0,0.0,50.2758317029,-3.57114361605,-9.41680221968,17.3185680718,18.6505477712,19.5152964789
1430,0.0,7.0,0.0,7.0,75.0273993416,5.35676601088,3.27475587026,48.5311073447,48.3217259069,37.4264059633
1395,60.0,45.0,45.0,80.0,34.8530671979,2.00422980214,5.18428221288,8.34923434123,8.42514705194,5.78997844608
1376,20.0,12.0,12.0,10.0,64.4100051791,-0.840836936352,3.58323936571,31.8861360509,33.3085941268,25.4066927788
1389,60.0,45.0,45.0,60.0,36.8408890964,1.9631500573,5.56329664012,9.35251486978,9.45227572343,6.45583494271
1380,20.0,12.0,12.0,20.0,58.2865267825,-0.943100840324,3.25595122867,25.1028661373,26.2637171966,20.0593150668
1424,3.0,3.0,3.0,3.0,77.5386453671,0.332347720217,5.421906425,50.6854160051,52.4323424723,39.0438814987
1385,20.0,12.0,12.0,40.0,50.3413505246,-0.215713725287,3.33440942824,17.9972419961,18.7059150274,14.1234958025
1378,60.0,45.0,45.0,20.0,44.4575239034,1.01421040098,6.62537930307,13.8117343796,14.1571913178,9.59235105085
1391,20.0,12.0,12.0,60.0,43.3216335393,0.337047298352,3.53690316373,12.9476760659,13.3741237496,9.92937280872
1420,3.0,3.0,0.0,3.0,77.9397875052,1.09492255069,1.70349971275,51.6301440701,53.1098106071,42.4529487518
1397,20.0,12.0,12.0,80.0,38.3548825645,0.764663849755,4.10878984906,10.0183760445,10.2882549454,7.42058130262
210,55.0,20.0,20.0,0.0,59.3302904381,-8.88005471564,-2.71093099192,24.3005957143,27.3864006843,24.041337573
101,20.0,10.0,10.0,0.0,71.2994309165,-2.44750202696,3.00848858549,40.3058870383,42.6245954653,33.1027237167
1432,0.0,0.0,7.0,7.0,78.0965234568,-0.475725847475,12.0976752358,51.2894333841,53.3760911697,34.90505971
1375,40.0,27.0,27.0,10.0,55.4195717477,-2.57151213195,4.70236151858,21.9461760391,23.3387588935,17.1339445995
1384,40.0,27.0,27.0,40.0,46.4650207232,-1.11233099109,5.27069216291,14.8714455479,15.6148097613,11.0833298954
1379,40.0,27.0,27.0,20.0,52.2939872685,-2.05906090866,4.99070038976,19.2680711071,20.4067310196,14.7861788892
1,0.0,0.0,0.0,0.0,83.9577038739,0.489553265273,4.13800078497,61.9105438919,63.9845097193,49.0816565589
970,100.0,100.0,0.0,40.0,36.0731390475,10.3521514518,-10.4404421124,9.98674816501,9.04622337674,10.3825619334
1049,0.0,70.0,100.0,40.0,46.7248530589,15.5707382491,21.9663376381,18.0347001164,15.8104776324,6.60142811341
968,100.0,40.0,0.0,40.0,39.2219784532,-0.524033343975,-13.0844972826,10.334764172,10.7885211879,13.0991131342
336,10.0,20.0,40.0,0.0,70.816825126,4.23248518062,24.0233801433,41.8120464182,41.9215885832,20.4653178877
479,100.0,10.0,55.0,0.0,54.9568276281,-24.8625203082,7.27933549936,17.1140844625,22.8880400193,15.7105860686
560,100.0,10.0,70.0,0.0,55.5195576542,-25.1091795977,14.1004969051,17.5153125682,23.4369175081,13.4336902728
328,0.0,30.0,40.0,0.0,70.487999307,16.0279367125,28.5112547447,45.3470948944,41.4470461719,18.0936259231
564,100.0,55.0,70.0,0.0,47.7783508355,-5.02965310729,9.44501194164,15.1634484858,16.6205690079,10.4748100714
974,0.0,70.0,20.0,40.0,45.1600689777,20.7865642662,8.04822898152,17.74694387,14.656488513,9.53011434034
1045,100.0,100.0,70.0,40.0,37.6557014658,5.76786539587,6.48437408527,10.2749220781,9.89631848176,6.56598631547
234,85.0,100.0,20.0,0.0,42.5922629819,15.0781236463,-9.38209142232,14.7879974193,12.8868522113,13.8791993639
999,0.0,70.0,40.0,40.0,45.6083915817,19.4752149788,14.0825244966,17.8634627529,14.9811669768,8.06765369588
1018,100.0,40.0,40.0,40.0,39.9308039048,-3.09313208574,1.6722870441,10.3983622327,11.2093186993,8.7759878659
997,0.0,20.0,40.0,40.0,52.9280038512,6.23956385354,19.6643737522,21.53288706,20.9803697111,10.0612533388
641,100.0,10.0,85.0,0.0,55.5541985422,-25.1208440063,21.9893382757,17.5408681921,23.4709894023,10.7467090715
849,10.0,100.0,40.0,20.0,46.2434798144,25.9614923716,12.737414018,19.6544114084,15.4492580021,8.72573900352
433,30.0,0.0,55.0,0.0,70.6906117453,-16.5992219508,31.1019303917,35.1196443773,41.7390187746,17.1034997155
279,30.0,100.0,30.0,0.0,48.4877446262,28.0184134923,4.23002024927,22.0999544019,17.1813623588,12.6191874192
469,85.0,0.0,55.0,0.0,58.4687852666,-30.1938902579,13.681668358,18.9691863949,26.4575022306,15.5687784746
315,85.0,100.0,30.0,0.0,42.6856645766,12.983146151,-5.02859817271,14.5092286847,12.9485790796,12.3573343873
1046,0.0,0.0,100.0,40.0,55.8232733367,-1.24126519296,34.6642872325,22.6150450316,23.7367696242,7.31239887961
955,20.0,100.0,0.0,40.0,39.1617468053,22.0344342688,-2.26290909962,13.5275945142,10.7532579509,9.52107729401
1056,40.0,0.0,100.0,40.0,49.2748028892,-11.1405149383,24.1800247842,15.2207232366,17.8181552849,7.1158457935
965,70.0,100.0,0.0,40.0,35.070256293,14.3468560565,-9.4695149342,9.94494669685,8.53355799496,9.56582778994
1066,100.0,0.0,100.0,40.0,44.8806420823,-18.2966326658,16.0809279235,11.2230243787,14.4565181114,7.24293620722
422,10.0,85.0,55.0,0.0,53.7851307554,31.1375227206,19.8663155668,28.2137824369,21.7728219965,10.4545691744
