SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,58.8845696928,7.29313827906,9.27409000765,27.7411277944,26.9031447299,17.7498376445
1369,80.0,65.0,65.0,0.0,42.3711046158,-1.13261843211,-0.274926761445,12.1213668342,12.7414768142,10.5994450446
1393,100.0,85.0,85.0,80.0,32.561296822,-0.00257880652221,1.89217752632,7.0744230656,7.33663410416,5.65227765408
1427,0.0,7.0,7.0,0.0,81.0142144833,6.53265889385,8.50736940435,59.0933949485,58.4968051056,41.269587509
1387,100.0,85.0,85.0,60.0,33.5001088881,-0.0987077095858,1.61090676439,7.48258783387,7.77042002869,6.05516840438
1377,10.0,6.0,6.0,10.0,71.0069580837,1.74054410987,3.420150653,41.2601692373,42.1976230219,32.4899067307
558,85.0,100.0,70.0,0.0,39.1205671908,2.94143144732,-0.987312522885,10.7351572561,10.729193202,9.13149227779
1381,10.0,6.0,6.0,20.0,65.0879008991,1.67050066278,3.40977763134,33.4130921218,34.158139404,26.1717631497
1394,80.0,65.0,65.0,80.0,33.6563954203,0.138538885682,1.44109482005,7.57887713732,7.84425321743,6.15096595798
1434,0.0,7.0,7.0,7.0,75.7723535674,6.00631370247,8.16980502178,49.9581170301,49.5178341867,34.849766858
1388,80.0,65.0,65.0,60.0,34.0148777117,0.114925261526,1.32044567252,7.74155601862,8.0153716867,6.3143376324
1392,10.0,6.0,6.0,60.0,46.6720832624,1.70046287092,4.21562361476,15.4965247222,15.7706075997,11.5480645025
1382,80.0,65.0,65.0,40.0,35.6810996556,0.12210492913,1.05695391984,8.54172239856,8.84344074006,7.04017224442
93,10.0,20.0,10.0,0.0,70.1462085214,11.5795332976,4.12754996062,43.3066166756,40.9576033923,31.0544736911
230,85.0,40.0,20.0,0.0,46.4090049269,-4.02589894927,-15.2265953856,14.352639847,15.5728394623,19.1123743399
1430,0.0,7.0,0.0,7.0,76.2075293104,6.51443389883,3.4463697714,50.8531071047,50.2256063229,38.8042571226
1395,60.0,45.0,45.0,80.0,34.234162551,1.06089082014,1.7423146741,7.94697332606,8.12126219728,6.30457319569
1376,20.0,12.0,12.0,10.0,63.9306615347,1.53606031589,2.24710553614,31.9721903375,32.7164561259,25.6954245653
1389,60.0,45.0,45.0,60.0,35.3509994802,1.18594134914,1.60742191413,8.50051352224,8.67506495527,6.77500839402
1380,20.0,12.0,12.0,20.0,58.6812934708,1.26686244609,2.48535388933,26.0368983308,26.6846509354,20.7671204277
1424,3.0,3.0,3.0,3.0,80.1201790872,2.19420487529,4.92578956903,55.7393462407,56.8944294,42.8811353257
1385,20.0,12.0,12.0,40.0,48.9548442574,1.63295399786,2.92071541514,17.2285134451,17.5574188468,13.3825749683
