SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,60.4669760501,5.68185830838,10.2743285911,29.0754617276,28.6449309896,18.5288191972
1369,80.0,65.0,65.0,0.0,44.1683960135,-3.18640961964,1.1503581648,12.9668589171,13.9550479993,11.1355573477
1393,100.0,85.0,85.0,80.0,32.1179992262,1.66964624686,3.44679273295,7.0502638773,7.13754262449,5.1852621383
1427,0.0,7.0,7.0,0.0,80.0860990667,4.85506917919,9.84188161466,56.7547551308,56.8339340092,39.0229816462
1387,100.0,85.0,85.0,60.0,33.3862439458,1.18906055408,2.83614953113,7.56678944493,7.71692046543,5.75197702082
1377,10.0,6.0,6.0,10.0,71.6880827169,0.382265362466,4.97727394818,41.780632797,43.1964200384,32.236064516
558,85.0,100.0,70.0,0.0,41.796337023,1.60168271349,-1.54893385825,12.1586965833,12.3687831903,10.6888779414
1381,10.0,6.0,6.0,20.0,65.6033807549,0.536430852691,5.15931772478,33.7245527437,34.8137244042,25.67938478
1394,80.0,65.0,65.0,80.0,32.2335301621,1.23993060204,3.39050723813,7.05717182526,7.18907771235,5.23540249533
1434,0.0,7.0,7.0,7.0,74.9991813984,4.51797692177,9.50456075935,48.1803721767,48.2768015078,33.0238879882
1388,80.0,65.0,65.0,60.0,33.4981203444,1.09053430644,3.41354109565,7.60755237031,7.76948359445,5.67174646316
1392,10.0,6.0,6.0,60.0,40.5678445203,1.3591925942,4.62395073788,11.3707153951,11.5967133948,8.27107098576
1382,80.0,65.0,65.0,40.0,36.2114378535,-0.0240475919315,2.79649709163,8.79010343231,9.11849139537,6.844085381
93,10.0,20.0,10.0,0.0,71.8734176749,7.84261173788,5.85336752783,44.5769656116,43.4708954017,31.8693405039
230,85.0,40.0,20.0,0.0,49.3480783468,-8.20417680844,-13.071179349,15.7769296082,17.8782289872,20.5041746038
1430,0.0,7.0,0.0,7.0,76.1259531866,4.70096571794,4.65360421778,50.0398165291,50.0924202402,37.8041108092
1395,60.0,45.0,45.0,80.0,32.6922788966,1.35154729727,3.66324460974,7.27075831247,7.39616063584,5.33809779928
1376,20.0,12.0,12.0,10.0,65.8192111244,-0.0538489606791,4.04648068561,33.8223020124,35.0906890215,26.5327097788
1389,60.0,45.0,45.0,60.0,34.6475832389,0.664044335113,3.22632501048,8.09971035322,8.32342772822,6.13425739306
1380,20.0,12.0,12.0,20.0,61.0765408256,-0.272461792318,4.14060355858,28.2185019052,29.3354448616,22.0120542568
1424,3.0,3.0,3.0,3.0,79.8090940431,1.34081485111,6.50909009988,54.8630248884,56.3438128697,41.2076086665
1385,20.0,12.0,12.0,40.0,49.0123435529,0.586041472834,4.35275763924,17.08227142,17.6040866429,12.8979171012
1378,60.0,45.0,45.0,20.0,43.7658139526,-1.12983266605,1.63704786985,13.0157143255,13.6768016321,10.7554534195
1391,20.0,12.0,12.0,60.0,38.2167892968,1.18044899542,4.25111235065,9.99544882813,10.2100393984,7.32647225525
1420,3.0,3.0,0.0,3.0,80.4881528995,1.61834036377,4.60793566008,56.1459164666,57.5503554462,43.6475159108
1397,20.0,12.0,12.0,80.0,33.8841309066,1.40793049666,4.09884888558,7.82036307751,7.9526755204,5.66764103293
210,55.0,20.0,20.0,0.0,58.401733667,-11.081360185,-5.49411977232,22.8965166253,26.3860996558,24.6901733726
101,20.0,10.0,10.0,0.0,72.4116229848,-1.43311331782,3.48711818637,42.2138982307,44.2745465019,34.0809589935
1432,0.0,0.0,7.0,7.0,78.7929589171,0.0133357350254,10.8384789279,52.6268062045,54.5700399398,36.6490414509
1375,40.0,27.0,27.0,10.0,55.1682830361,-2.00328496509,2.20588001519,21.8353107214,23.0932734215,18.0450939221
1384,40.0,27.0,27.0,40.0,42.1947222241,0.0559277487842,2.84531217467,12.1836527405,12.6263211375,9.55663041205
1379,40.0,27.0,27.0,20.0,50.6651798068,-1.27348592202,2.07439467184,18.0611926713,18.9811795238,14.8287132205
1,0.0,0.0,0.0,0.0,83.8616485136,0.712598897332,6.25657197659,61.828343509,63.8002272477,47.1091107643
970,100.0,100.0,0.0,40.0,36.7523667825,4.51557570499,-6.37660264882,9.62016681647,9.40485015801,9.50922798771
1049,0.0,70.0,100.0,40.0,42.023791538,16.9492750467,14.9889840153,14.6922008299,12.5153887706,6.34560688606
968,100.0,40.0,0.0,40.0,39.5357548174,-1.10848429074,-7.87516014906,10.4353504641,10.9734722383,11.4770699738
336,10.0,20.0,40.0,0.0,70.763499272,6.3886842191,24.7239680312,42.4537956884,41.8443870154,20.0805372859
479,100.0,10.0,55.0,0.0,53.7640408372,-28.9212506603,5.30438143508,15.4874743017,21.7530879239,15.6771944309
560,100.0,10.0,70.0,0.0,53.5535344174,-29.8693523137,10.0930126314,15.1724401278,21.5567678154,13.6629630412
328,0.0,30.0,40.0,0.0,69.9753959982,16.835824555,28.0721531878,44.8584634267,40.7144513519,17.8942190446
564,100.0,55.0,70.0,0.0,44.6674911999,-9.52387508437,1.19216086636,12.3414743484,14.3052067765,11.4042927911
974,0.0,70.0,20.0,40.0,43.1830898011,19.0114292645,7.4475909824,15.8883713281,13.280637935,8.72941747189
1045,100.0,100.0,70.0,40.0,35.6806688046,1.12436784055,1.40276227767,8.65725618314,8.84321956598,6.95737039014
234,85.0,100.0,20.0,0.0,42.8382404175,6.00591073569,-13.5059077967,13.4992520111,13.0498362388,15.6660310413
999,0.0,70.0,40.0,40.0,42.612697518,17.8136451821,11.1000397544,15.2610087362,12.9003401029,7.50782750478
1018,100.0,40.0,40.0,40.0,38.3992079196,-4.29118129355,0.0465410702604,9.40912349781,10.3134450949,8.49700936609
997,0.0,20.0,40.0,40.0,50.0124123454,5.41337514809,16.8912528632,18.8047648412,18.4290455633,9.3908076169
641,100.0,10.0,85.0,0.0,53.0183180512,-30.7808023768,14.0647972609,14.6361758884,21.0629475756,11.9164428482
849,10.0,100.0,40.0,20.0,45.9973329796,28.4926448423,9.87385343296,19.9504841109,15.2666958749,9.41840405264
433,30.0,0.0,55.0,0.0,71.2061839043,-14.9224260886,32.2505946841,36.2827479239,42.4881556658,16.9911476586
279,30.0,100.0,30.0,0.0,48.7479124733,28.1130989684,1.06054445657,22.3645053271,17.3901506867,13.9436212909
469,85.0,0.0,55.0,0.0,57.4056387236,-33.0775903115,9.70207137655,17.5452520597,25.3404485556,16.4592369336
315,85.0,100.0,30.0,0.0,43.2355973468,4.77314880329,-11.1475733637,13.5742627428,13.3160172587,14.9918333891
1046,0.0,0.0,100.0,40.0,53.3591126522,-1.453073488,30.0832146762,20.3141597064,21.3765008966,7.39451025904
955,20.0,100.0,0.0,40.0,40.1308842731,16.9957724478,1.26578020376,13.3934915859,11.3300462965,8.9864357194
1056,40.0,0.0,100.0,40.0,45.7814076306,-10.0489169184,17.5984654964,12.9805507558,15.1077374738,7.25161951265
965,70.0,100.0,0.0,40.0,36.691177532,6.26153304682,-4.69463581988,9.80581578954,9.37216109521,8.99487437205
1066,100.0,0.0,100.0,40.0,41.0047874573,-15.6737458959,9.02405845086,9.39054318485,11.8675214278,7.33483780345
422,10.0,85.0,55.0,0.0,52.4180644098,36.5798876163,16.7325569883,28.099149604,20.5181586244,10.6989678228
887,20.0,10.0,70.0,20.0,58.5684758646,-3.632668455,28.497080637,24.7567088481,26.5638996962,10.3352514958
458,55.0,85.0,55.0,0.0,45.2033478721,10.569928505,1.04551481385,15.9347594668,14.6876247886,11.7621665105
899,70.0,10.0,70.0,20.0,49.5680905636,-17.3840208813,12.5052964332,14.3947066353,18.059413502,10.4827758172
740,10.0,70.0,0.0,20.0,49.8085219212,25.9980279505,-0.471747591531,22.9053214453,18.2588088437,15.2541232071
911,0.0,10.0,100.0,20.0,63.692040785,2.99148174083,42.3257468739,32.0906529869,32.4243200826,8.86357152376
1265,40.0,100.0,0.0,100.0,32.4167891928,4.25210960134,5.0366553087,7.44909592018,7.27133223534,4.97784308915
905,100.0,10.0,70.0,20.0,47.1016739894,-20.9694310376,8.18957346164,12.2019151567,16.0971382494,10.5025814645
1061,70.0,0.0,100.0,40.0,43.931076384,-14.3406964884,12.1253107961,11.2041372359,13.7905715501,7.8246073869
952,20.0,20.0,0.0,40.0,49.0681009961,3.64073420529,-0.212872107023,17.6906818789,17.6494196155,14.6456718473
1063,70.0,40.0,100.0,40.0,39.2103424348,-3.6105311973,6.89735547539,9.93067870085,10.7817027626,7.09898439099
358,30.0,70.0,40.0,0.0,52.1744436652,21.3327300964,6.35570575541,24.1551425557,20.2997570416,14.1766781665
720,85.0,100.0,100.0,0.0,41.7305462853,2.15891982754,0.405104972287,12.1985524381,12.3265923463,10.0470495128
135,55.0,100.0,10.0,0.0,46.2450490035,16.2205273626,-12.0346688068,17.7676563539,15.450426482,17.5358526871
350,20.0,85.0,40.0,0.0,51.7736093262,31.1456225269,8.72328474999,26.0621062143,19.9437984675,13.0385924622
384,70.0,55.0,40.0,0.0,48.302200725,-1.57695653885,-3.54262920069,16.1465486588,17.0334861875,15.4452098174
1027,20.0,20.0,70.0,40.0,47.1649107218,0.654064203493,17.7760560265,15.6815906478,16.1455815383,7.80527663051
986,70.0,0.0,20.0,40.0,44.7789092634,-11.0988785659,-1.47144148502,12.1813119129,14.384167718,12.3754535763
389,85.0,10.0,40.0,0.0,55.7002038252,-25.3759754305,0.571836318722,17.610466921,23.6149593911,19.2156666717
1002,20.0,20.0,40.0,40.0,47.0086036802,1.7167652002,11.8494372907,15.748734977,16.0260169807,9.35099466191
1013,70.0,40.0,40.0,40.0,39.3127854078,-2.12444821606,1.52980265325,10.1777384903,10.8418306475,8.52201553305
1004,20.0,70.0,40.0,40.0,40.7765493637,12.921687302,7.09363131411,13.1941528267,11.7255444022,7.72028095002
216,55.0,100.0,20.0,0.0,45.5548338031,15.2149129342,-9.61847506037,17.0322822702,14.9421303767,15.9938813006
728,100.0,85.0,100.0,0.0,41.8681004216,-2.19262870396,0.493089726638,11.6587044013,12.4149138908,10.0924761041
471,85.0,20.0,55.0,0.0,52.6970266321,-21.6775697177,5.60563471179,15.9439676751,20.7701605166,14.817657709
457,55.0,70.0,55.0,0.0,46.9339759092,7.31715156943,2.51379945806,16.6790022837,15.9691404647,12.2814956593
435,30.0,20.0,55.0,0.0,63.7413895121,-3.53620979239,23.7509867504,30.3678332594,32.4845929766,15.1737136054
421,10.0,70.0,55.0,0.0,55.8893971759,31.0535705213,18.9853344432,30.5677868726,23.8023895155,11.9265298417
400,100.0,30.0,40.0,0.0,49.8832975544,-17.8713728202,-4.22860552028,14.5370321933,18.3211198892,16.868698782
186,20.0,55.0,20.0,0.0,57.2240250724,22.5572662879,3.73106483026,29.8357189353,25.1528283165,18.9675303832
616,55.0,30.0,85.0,0.0,53.42249749,-10.5515140713,16.9670780518,18.5594709097,21.435160153,11.1807608044
