SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,61.0380242457,7.65515467945,7.8196716099,30.2445197875,29.2914884338,20.1463349098
1369,80.0,65.0,65.0,0.0,42.8397190058,-2.4979826355,0.000313822442988,12.2166427891,13.0508200796,10.7681917814
1393,100.0,85.0,85.0,80.0,34.2920316703,0.516751249083,1.0855026796,7.91472654134,8.14936131601,6.47469335963
1427,0.0,7.0,7.0,0.0,78.8952503492,6.19697823998,8.56167070152,55.2281914936,54.7468908379,38.4451277185
1387,100.0,85.0,85.0,60.0,35.6009984703,0.372320660562,1.76287259786,8.53079937879,8.80238475948,6.83964737499
1377,10.0,6.0,6.0,10.0,71.4984075904,1.42077536314,4.3319567586,41.8538717357,42.9167157843,32.4470529001
558,85.0,100.0,70.0,0.0,40.8414551712,2.70470427315,-1.10315807748,11.725623923,11.7658036092,10.0395555913
1381,10.0,6.0,6.0,20.0,66.4905686021,1.72217931648,4.17475653817,35.1839395493,35.9615931912,27.1351151958
1394,80.0,65.0,65.0,80.0,34.5459596517,0.0439784828136,1.06648731719,7.98286085339,8.2734257064,6.57887773548
1434,0.0,7.0,7.0,7.0,75.0984878109,5.79628066754,8.30957448132,48.8046850818,48.435025889,33.9507492555
1388,80.0,65.0,65.0,60.0,36.3772761834,-0.0692202362755,1.69814307759,8.86881202669,9.20565641287,7.17514288484
1392,10.0,6.0,6.0,60.0,48.6399847604,1.73026681421,5.24172730456,16.998321051,17.3033331059,12.3558488568
1382,80.0,65.0,65.0,40.0,38.7616811406,-1.17756995759,1.54745321472,9.99425551518,10.5209837257,8.26103904455
93,10.0,20.0,10.0,0.0,71.106430953,9.01827197325,3.49395897491,43.8441231752,42.3425189984,32.5549090528
230,85.0,40.0,20.0,0.0,48.7339528551,-8.66229215982,-14.2528372398,15.2455727285,17.3789051877,20.5643176353
1430,0.0,7.0,0.0,7.0,75.2387489123,6.60233723126,4.47315067375,49.3248552525,48.6590915809,36.8203407123
1395,60.0,45.0,45.0,80.0,36.1331076793,0.857785136639,2.30272879203,8.85403193376,9.0775129033,6.92887457135
1376,20.0,12.0,12.0,10.0,66.3395205656,0.350198188618,3.05481921514,34.5896525674,35.7644074586,27.6451117968
1389,60.0,45.0,45.0,60.0,39.1920823201,0.578090166159,2.47140391584,10.4623383515,10.7710085694,8.21259755845
1380,20.0,12.0,12.0,20.0,61.626261558,1.13311437867,4.5512432529,29.192214827,29.9676057195,22.2887131608
1424,3.0,3.0,3.0,3.0,77.6674365745,2.253284043,5.77875658806,51.6242063349,52.6492194671,38.9426617163
1385,20.0,12.0,12.0,40.0,52.9037198296,1.3811187838,4.01706606721,20.4931607838,20.9582027436,15.5971591592
1378,60.0,45.0,45.0,20.0,45.4587674588,-0.945895919494,1.470930712,14.1882006757,14.8722806174,11.7672207751
1391,20.0,12.0,12.0,60.0,45.1624745777,1.58241924006,4.54192935009,14.3909160305,14.6582180256,10.5981376562
1420,3.0,3.0,0.0,3.0,78.2898163737,2.09052870176,2.86689737566,52.5914498121,53.705702555,42.0095530175
1397,20.0,12.0,12.0,80.0,39.0942297753,1.88738133528,5.02412033274,10.5795841106,10.7138208518,7.51023036223
210,55.0,20.0,20.0,0.0,59.8406159123,-8.56144654459,-5.75317957891,24.8865488278,27.9467677813,26.2385444676
101,20.0,10.0,10.0,0.0,72.5732731317,-1.0570679431,1.39179147794,42.572772567,44.5178430406,35.7367014797
1432,0.0,0.0,7.0,7.0,78.9697924162,0.451048714547,10.0998489911,53.0918087528,54.8760064542,37.4060508856
1375,40.0,27.0,27.0,10.0,57.46029399,-0.603689237788,2.04823735585,24.350498221,25.3970935407,19.9549647128
1384,40.0,27.0,27.0,40.0,46.7936223045,0.580573405074,3.21705244087,15.3948183142,15.8625367629,11.9558394868
