SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B,XYZ_X,XYZ_Y,XYZ_Z
810,10.0,20.0,20.0,20.0,62.9628360763,6.89551595189,7.04865313202,32.3025349385,31.5423645867,22.1890591653
1369,80.0,65.0,65.0,0.0,44.0171591181,3.15211766108,-2.78607461135,13.8497477927,13.8500817146,12.3758975799
1393,100.0,85.0,85.0,80.0,34.0672921967,2.26204207211,-0.809567555649,7.99988990515,8.04059790119,6.82274791356
1427,0.0,7.0,7.0,0.0,79.4636856852,4.72707512384,7.5247492312,55.6202551225,55.7366196005,39.9650726615
1387,100.0,85.0,85.0,60.0,34.6877472534,2.8258107313,-0.311725300536,8.36158261245,8.34324510697,6.95797820171
1377,10.0,6.0,6.0,10.0,72.2656411889,0.0827161215897,3.43345205017,42.5103349318,44.0555952522,33.9452063891
558,85.0,100.0,70.0,0.0,39.7274375496,10.6871058949,-4.45236529916,12.1831181548,11.0874903252,10.4799668275
1381,10.0,6.0,6.0,20.0,68.4627249621,0.296615271302,3.79359399586,37.3157857122,38.6030214633,29.4265813184
1394,80.0,65.0,65.0,80.0,36.4626104751,2.32347666779,0.760800286221,9.19823699495,9.25072397486,7.44183102276
1434,0.0,7.0,7.0,7.0,75.4082746814,4.0734650878,7.34548700322,48.6624274498,48.9308283093,34.9869194256
1388,80.0,65.0,65.0,60.0,37.7826887289,2.97607270965,0.0820665221599,9.98581290009,9.96674993444,8.2017964586
1392,10.0,6.0,6.0,60.0,53.3503784563,1.16005857584,4.62575001216,20.8463092913,21.3684262675,15.6630540133
1382,80.0,65.0,65.0,40.0,40.2984963519,3.06791294107,-0.569081676302,11.4470910574,11.4318474188,9.5993468044
93,10.0,20.0,10.0,0.0,70.3032411033,8.23208062471,2.75312583824,42.4067769453,41.1819920044,32.1280338457
230,85.0,40.0,20.0,0.0,51.0285886388,-4.4900472208,-14.6565354745,17.7504506916,19.2932884383,22.7762797049
1430,0.0,7.0,0.0,7.0,75.0368421311,4.20520418674,4.29248704556,48.1255858132,48.3367655288,36.6994482319
1395,60.0,45.0,45.0,80.0,38.647494698,2.23788915506,2.00127804014,10.3721052383,10.455307303,8.08860737394
1376,20.0,12.0,12.0,10.0,67.3478607285,-0.272696696569,2.56750065722,35.688663783,37.0944899938,28.9954422145
1389,60.0,45.0,45.0,60.0,41.0358334535,1.79953845221,1.58050419969,11.7160653691,11.8869218889,9.34260713446
