SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.375604915,78.9112725945,66.7882171936,91.1941302813,-1.45822884733,-1.57439423233
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8960932877,70.5018819085,65.5865787817,87.2424318806,-6.84370137497,-7.26305555525
3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2760390133,64.1452690596,64.6781270984,84.0413475328,-10.9144469784,-11.9227962697
4,30.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6925436294,58.5352549272,63.7918608264,81.0354655713,-14.7212392589,-16.2591780538
5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9126656379,52.5329721038,62.3059920564,77.5984477946,-18.7643098158,-20.7486591974
6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1941025505,45.3219007098,59.500995826,73.1033490034,-23.3940704351,-25.723683296
7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3350587091,41.1675786125,59.6821262379,70.2931714303,-28.2027484641,-30.7506227268
8,70.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4926631809,37.5448232524,58.7304172814,67.6837905751,-31.6229277899,-34.2901473582
9,80.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5863133602,33.5254429068,57.8807617191,64.584125489,-34.6510772493,-38.7690721064
10,90.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8550443046,29.4599405468,56.5488575487,61.1854211061,-37.4455687243,-43.2552323117
11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8824850071,26.0404172729,54.3616303878,58.0753937953,-39.5778742359,-46.3139494198
12,0.0,10.0,0.0,0.0,0.0,0.0,0.0,68.465816134,68.118478898,60.337826187,86.0656572142,6.11968010986,-4.2117667147
13,0.0,20.0,0.0,0.0,0.0,0.0,0.0,61.6355448661,57.8795336187,53.4906786547,80.6717684941,14.0134642425,-6.42026991914
14,0.0,30.0,0.0,0.0,0.0,0.0,0.0,56.8168341246,50.1739653562,48.6591300263,76.1759164925,21.8620247582,-8.79481608309
15,0.0,40.0,0.0,0.0,0.0,0.0,0.0,52.0264249392,43.0073182902,43.4011348396,71.5599376391,29.6303835228,-10.4806144021
16,0.0,50.0,0.0,0.0,0.0,0.0,0.0,46.7648579218,35.4338341606,37.4261776461,66.0850446275,39.016802254,-12.142784602
17,0.0,60.0,0.0,0.0,0.0,0.0,0.0,42.7706305377,29.6947888472,32.7100253321,61.3899803483,47.7356772744,-13.4911530939
18,0.0,70.0,0.0,0.0,0.0,0.0,0.0,39.3850463888,25.2158130995,28.5707432273,57.2850938186,55.0901845831,-14.089629473
19,0.0,80.0,0.0,0.0,0.0,0.0,0.0,36.2989039064,20.9656611449,24.2074568441,52.9118924554,63.9858475082,-14.0818226753
20,0.0,90.0,0.0,0.0,0.0,0.0,0.0,33.215826653,17.4773343403,18.7639078875,48.8559343912,70.9433913589,-10.256678821
21,0.0,100.0,0.0,0.0,0.0,0.0,0.0,30.8425259466,15.4533943739,14.9817069594,46.249034325,73.6251995409,-5.9264816065
22,0.0,0.0,10.0,0.0,0.0,0.0,0.0,72.8613049369,77.1447021121,56.1070891208,90.3881747616,-3.16354609662,7.55472555351
23,0.0,0.0,20.0,0.0,0.0,0.0,0.0,71.9137051762,76.6863087743,50.2291245496,90.1770367242,-4.23635547151,13.5602815305
24,0.0,0.0,30.0,0.0,0.0,0.0,0.0,70.6171160142,75.9219960141,43.7427812413,89.8231118549,-5.45240314302,20.5850984613
25,0.0,0.0,40.0,0.0,0.0,0.0,0.0,69.3385522616,74.9861028261,37.7267856109,89.3864843609,-6.30692164514,27.6217844866
26,0.0,0.0,50.0,0.0,0.0,0.0,0.0,68.5319916558,74.5190090154,32.457422162,89.1672084447,-7.10540930787,34.7797993495
27,0.0,0.0,60.0,0.0,0.0,0.0,0.0,67.2774534532,73.58433305,25.8290427272,88.7256605983,-7.94167409525,44.7625283614
28,0.0,0.0,70.0,0.0,0.0,0.0,0.0,66.6865949068,73.3252475916,20.5188911178,88.6026054068,-8.71330555954,54.5789642826
29,0.0,0.0,80.0,0.0,0.0,0.0,0.0,65.6461980879,72.5772518175,14.6043244541,88.2457029793,-9.48641764616,67.4405917218
30,0.0,0.0,90.0,0.0,0.0,0.0,0.0,64.9744171729,71.8788020461,9.68302313878,87.9102204102,-9.54589480463,81.2372259554
31,0.0,0.0,100.0,0.0,0.0,0.0,0.0,62.6571590803,69.3703113653,6.87071129517,86.6870956105,-9.54805671225,89.7105298518
32,0.0,0.0,0.0,10.0,0.0,0.0,0.0,61.1320792144,63.8205892932,52.8275071059,83.8722711046,-0.957733379652,-0.183844583188
