SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,INK_6,INK_7,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7821,23.2012,55.5924,55.279,-33.73,-52.453
2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.3677,16.6845,15.0819,47.86,75.781,-3.41
3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,66.9784,71.3794,6.92192,87.669,-4.031,91.18
4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.9017,1.95101,1.55268,15.228,0.488,0.64
5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,57.9888,37.4335,2.49797,67.601,61.699,81.801
6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5914,28.3292,22.934,60.185,-74.712,0.82
7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.82737,4.43521,22.488,25.061,48.363,-58.887
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9966,84.2039,74.4764,93.539,1.559,-4.441
9,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2.28308,1.8944,1.63066,14.923,10.289,-0.762
10,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.9017,1.95101,1.55268,15.228,0.488,0.64
11,20.0,0.0,70.2,0.0,0.0,70.2,0.0,15.923,28.928,9.59584,60.718,-56.362,34.641
12,0.0,40.0,70.2,0.0,0.0,0.0,70.2,12.1758,8.59524,5.67178,35.193,30.19,6.329
13,100.0,20.0,40.0,0.0,0.0,40.0,0.0,5.96728,11.7761,15.2739,40.858,-47.302,-15.962
14,40.0,40.0,40.0,0.0,40.0,100.0,40.0,3.23428,3.70236,2.77097,22.662,-5.394,2.127
15,100.0,0.0,100.0,100.0,100.0,100.0,0.0,3.0191,2.20698,0.45529,16.538,17.344,19.918
16,20.0,0.0,100.0,0.0,0.0,0.0,70.2,10.5623,9.55142,3.14976,37.025,10.684,24.075
17,40.0,0.0,100.0,40.0,0.0,40.0,40.0,4.13253,5.36893,1.86679,27.761,-13.646,18.879
18,100.0,40.0,40.0,0.0,0.0,40.0,40.0,3.18164,4.23858,8.4149,24.445,-13.959,-23.717
19,40.0,0.0,0.0,40.0,100.0,40.0,40.0,5.98469,4.30971,1.32227,24.67,22.666,19.693
20,0.0,100.0,0.0,0.0,70.2,0.0,20.0,24.9569,12.5622,2.96844,42.096,68.234,34.136
21,40.0,40.0,100.0,0.0,0.0,40.0,40.0,6.75282,7.40561,2.55346,32.713,-3.871,21.191
22,0.0,0.0,0.0,0.0,0.0,2.0,0.0,79.7322,82.6136,73.0916,92.845,0.149,-4.432
23,0.0,20.0,40.0,0.0,0.0,0.0,0.0,62.0798,59.2485,28.4621,81.428,11.8,27.703
24,100.0,20.0,100.0,0.0,70.2,0.0,0.0,5.27761,5.43842,1.42326,27.949,0.407,24.094
25,20.0,40.0,20.0,0.0,40.0,0.0,0.0,36.3201,26.8745,13.4015,58.858,38.438,19.935
26,40.0,0.0,0.0,40.0,100.0,100.0,40.0,3.84437,2.98358,0.937055,19.978,15.736,17.072
27,40.0,70.2,20.0,0.0,100.0,0.0,0.0,20.3843,11.517,1.57985,40.438,54.593,43.797
28,20.0,70.2,0.0,0.0,0.0,0.0,0.0,32.3154,21.6568,27.6804,53.661,47.047,-18.875
29,100.0,70.2,0.0,40.0,0.0,0.0,0.0,3.25706,3.08369,8.81619,20.376,4.837,-32.195
30,0.0,0.0,40.0,0.0,100.0,40.0,40.0,15.3273,10.5442,1.49346,38.802,34.639,41.97
31,0.0,5.1,0.0,0.0,0.0,0.0,0.0,78.4039,78.5538,70.4843,91.032,5.343,-5.246
32,50.2,0.0,0.0,0.0,0.0,0.0,0.0,39.8014,47.3829,65.6041,74.434,-17.513,-29.378
33,0.0,50.2,0.0,0.0,0.0,0.0,0.0,52.1094,39.5865,40.0501,69.174,40.144,-10.34
34,0.0,0.0,50.2,0.0,0.0,0.0,0.0,72.4807,77.2248,28.5621,90.425,-4.102,43.051
35,0.0,0.0,0.0,50.2,0.0,0.0,0.0,21.64,22.2232,19.1455,54.263,0.997,-1.766
36,0.0,0.0,0.0,0.0,50.2,0.0,0.0,65.7289,53.3208,22.5185,78.064,34.599,32.439
37,0.0,0.0,0.0,0.0,0.0,50.2,0.0,36.8568,50.5293,44.3795,76.393,-35.374,-3.365
38,0.0,0.0,0.0,0.0,0.0,0.0,50.2,32.218,27.1729,44.505,59.134,23.107,-33.275
39,0.0,40.0,0.0,100.0,0.0,0.0,0.0,1.85986,1.73254,1.43076,14.016,4.714,-0.019
40,98.0,96.939,96.939,0.0,0.0,0.0,0.0,2.62526,2.22842,1.90316,16.643,9.717,-0.655
41,0.0,0.0,0.0,98.0,0.0,0.0,0.0,2.20304,2.26052,1.81112,16.799,0.505,0.547
42,70.2,20.0,100.0,0.0,0.0,0.0,40.0,7.48554,9.20182,3.39681,36.37,-12.434,21.229
43,100.0,0.0,100.0,70.2,0.0,100.0,0.0,0.887624,1.81736,0.880323,14.498,-26.666,8.55
44,20.0,70.2,0.0,0.0,70.2,0.0,0.0,29.0935,16.7465,5.24732,47.939,59.762,30.402
45,20.0,70.2,20.0,0.0,0.0,0.0,0.0,30.7116,20.9366,19.7573,52.88,44.57,-5.446
46,40.0,100.0,40.0,20.0,0.0,0.0,100.0,2.21888,1.3215,2.38792,11.425,24.008,-14.125
47,70.2,40.0,40.0,0.0,0.0,0.0,0.0,14.945,16.9936,18.6637,48.252,-8.365,-11.09
48,0.0,0.0,100.0,0.0,100.0,0.0,0.0,55.2266,35.4377,0.817824,66.088,61.41,98.566
49,0.0,0.0,100.0,20.0,0.0,70.2,0.0,12.6463,20.861,3.60321,52.797,-42.499,48.18
50,100.0,0.0,100.0,40.0,100.0,0.0,0.0,4.55081,3.58723,0.644875,22.257,15.793,26.199
