SAMPLE_ID,INK_1,INK_2,INK_3,INK_4,INK_5,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B
1,0.0,0.0,0.0,0.0,0.0,78.3225855064,80.3498014315,71.2820974854,91.8415840635,1.67699530812,-4.54817890555
2,10.0,0.0,0.0,0.0,0.0,70.6484032941,74.1773284522,70.2535826708,89.0062264703,-1.8647963223,-8.51614286121
3,20.0,0.0,0.0,0.0,0.0,62.9589698591,67.810541651,68.7162108027,85.9116251122,-5.51128108339,-12.458716597
4,30.0,0.0,0.0,0.0,0.0,54.9771224599,61.1728628096,67.3763905021,82.4715840861,-9.84842265029,-17.15882459
5,40.0,0.0,0.0,0.0,0.0,45.1846287929,52.6926988838,64.8723428223,77.6932140058,-15.49392493,-23.0522498537
6,50.0,0.0,0.0,0.0,0.0,36.3586372083,44.7659461068,62.7245312452,72.7375114194,-21.2714843212,-29.5364818352
7,60.0,0.0,0.0,0.0,0.0,28.4745405818,37.2661927386,59.7855625977,67.4762628361,-26.8565043378,-35.7110187012
8,70.0,0.0,0.0,0.0,0.0,23.587673763,32.3259422308,57.7959057823,63.6113618981,-30.4521190299,-40.3593658395
9,80.0,0.0,0.0,0.0,0.0,19.3931551931,27.9004089593,55.6137771865,59.7986572438,-33.7755993294,-44.6688589689
10,90.0,0.0,0.0,0.0,0.0,15.9695276896,23.9189028186,53.2921216893,56.0065064426,-35.7959994126,-48.7321415936
11,100.0,0.0,0.0,0.0,0.0,14.0709644123,21.4742444287,51.4469746526,53.4646662219,-36.1831277143,-51.0959060809
12,0.0,10.0,0.0,0.0,0.0,75.3020471877,74.0482248499,68.208188074,88.945270942,8.08525586761,-6.76343213346
13,0.0,20.0,0.0,0.0,0.0,71.385497277,66.9462299854,64.1867911398,85.4767845825,14.9104879113,-8.97975772547
14,0.0,30.0,0.0,0.0,0.0,67.0768686232,58.8159743078,59.8575506324,81.1903369484,24.0970095128,-12.1381344009
15,0.0,40.0,0.0,0.0,0.0,61.5312940505,49.8465520016,53.7973508399,75.9749788735,34.0152791365,-14.8483497566
