model,median,p95,max,mean,n
gaussian_process,1.28,8.066,44.305,2.395,2000
poly3_cbrt,1.611,7.091,30.274,2.329,2000
svm,1.776,13.228,42.827,3.594,2000
random_forest,2.322,8.197,69.308,3.242,2000
mlp_deep,2.536,15.106,39.321,4.552,2000
knn,2.56,8.022,42.641,3.336,2000
poly3_de00_powell,2.979,19.324,49.052,5.628,2000
mlp_shallow,2.985,18.08,37.836,5.359,2000
poly3_de00_nm,3.324,22.758,47.049,6.493,2000
poly3,3.332,24.845,48.974,6.757,2000
gradient_boost,3.916,16.899,44.962,5.664,2000
decision_tree,5.038,15.471,85.477,6.167,2000
ridge,11.244,31.188,50.696,13.465,2000
pcr,11.244,31.188,50.696,13.465,2000
elastic,11.44,31.143,49.817,13.598,2000
lasso,11.529,30.845,49.111,13.697,2000
plsr,17.615,37.903,59.849,19.251,2000
