model,median,p95,max,mean,n
gaussian_process_cbrt,0.16,0.677,5.713,0.245,3302
gaussian_process,0.249,4.497,49.757,1.17,3302
poly4_cbrt,0.272,1.189,18.612,0.432,3302
poly3_cbrt,0.83,2.982,27.979,1.181,3302
poly4,2.08,13.8,57.988,3.934,3302
svm,2.138,11.259,27.735,3.458,3302
poly3_de00_powell,3.104,12.482,48.585,4.347,3302
mlp_shallow,3.38,14.761,43.884,4.89,3302
mlp_deep,3.579,14.126,38.548,4.994,3302
knn,3.669,9.213,28.874,4.156,3302
random_forest,3.774,9.512,29.535,4.266,3302
gradient_boost,3.828,16.099,35.012,5.457,3302
decision_tree,5.337,15.833,38.032,6.569,3302
poly3_de00_nm,5.375,21.828,52.271,7.681,3302
poly3,5.386,25.15,59.833,8.172,3302
lasso,14.937,27.875,50.41,15.725,3302
elastic,14.967,27.829,48.606,15.744,3302
ridge,15.009,27.53,44.107,15.764,3302
pcr,15.009,27.53,44.107,15.764,3302
plsr,18.327,37.555,63.53,20.055,3302
