model,median,p95,max,mean,n
gaussian_process,0.057,0.182,0.679,0.072,795
poly3_de00_nm,0.36,1.156,6.198,0.489,795
poly3,0.369,1.135,8.251,0.496,795
poly3_de00_powell,0.372,1.041,4.018,0.453,795
poly3_cbrt,0.432,0.916,1.958,0.468,795
svm,0.796,1.913,6.107,0.913,795
gradient_boost,0.834,3.491,16.821,1.246,795
mlp_deep,1.083,4.223,13.447,1.549,795
mlp_shallow,1.304,4.934,20.615,1.883,795
random_forest,1.887,4.316,10.982,2.114,795
knn,1.905,4.18,13.354,2.115,795
decision_tree,4.412,9.425,18.467,4.864,795
elastic,6.64,25.312,42.144,9.049,795
lasso,6.642,25.267,42.222,9.022,795
plsr,6.65,25.305,42.061,9.104,795
ridge,6.658,25.175,42.065,9.083,795
pcr,6.658,25.175,42.065,9.083,795
