model,median,p95,max,mean,n
gaussian_process,0.067,0.266,4.185,0.116,1617
poly3,0.822,6.643,28.377,1.793,1617
svm,1.006,4.419,11.337,1.493,1617
gradient_boost,1.539,6.91,30.171,2.355,1617
mlp_deep,1.639,10.603,28.127,2.922,1617
mlp_shallow,1.955,9.976,28.828,3.109,1617
knn,2.151,5.917,20.065,2.613,1617
random_forest,2.567,5.808,16.117,2.829,1617
decision_tree,4.464,10.227,19.473,5.053,1617
plsr,8.699,25.352,43.411,10.877,1617
lasso,8.771,25.522,43.085,10.763,1617
elastic,8.79,25.174,42.785,10.778,1617
pcr,8.82,25.102,42.406,10.783,1617
ridge,8.82,25.102,42.406,10.783,1617
