model,median,p95,max,mean,n
gaussian_process_cbrt,0.764,2.067,16.172,0.926,2214
poly4_cbrt,0.853,2.118,39.488,1.065,2214
gaussian_process,0.867,2.267,31.738,1.123,2214
poly3_cbrt,1.024,2.389,29.23,1.202,2214
poly4,1.057,3.289,55.86,1.567,2214
svm,1.185,6.275,38.741,2.011,2214
poly3_de00_powell,1.405,5.293,59.035,2.107,2214
poly3,1.457,7.928,65.742,2.578,2214
poly3_de00_nm,1.464,7.239,65.888,2.47,2214
knn,1.871,4.935,54.927,2.276,2214
mlp_deep,1.97,9.03,35.677,3.015,2214
mlp_shallow,2.013,11.52,34.424,3.309,2214
random_forest,2.237,6.925,37.295,2.83,2214
gradient_boost,2.825,9.941,40.629,3.806,2214
decision_tree,4.78,14.196,40.78,5.925,2214
lasso,10.681,26.169,50.045,12.232,2214
elastic,10.709,25.476,50.057,12.229,2214
ridge,10.73,24.982,50.271,12.237,2214
pcr,10.73,24.982,50.271,12.237,2214
plsr,13.572,31.858,52.912,15.667,2214
