model,median,p95,max,mean,n
gaussian_process,0.054,0.189,2.061,0.078,818
poly3,0.279,0.966,7.695,0.415,818
svm,0.754,1.947,5.442,0.9,818
gradient_boost,0.881,3.133,22.659,1.23,818
mlp_deep,1.102,4.055,15.958,1.483,818
mlp_shallow,1.195,4.483,21.15,1.647,818
random_forest,1.716,4.187,9.264,1.917,818
knn,2.012,4.27,8.918,2.172,818
decision_tree,4.369,9.828,25.211,4.703,818
lasso,6.601,24.791,43.961,8.958,818
elastic,6.611,24.781,43.89,8.989,818
ridge,6.624,24.802,43.82,9.026,818
pcr,6.624,24.802,43.82,9.026,818
plsr,6.643,24.901,43.823,9.045,818
