model,median,p95,max,mean,n
gaussian_process,0.057,0.383,7.684,0.133,1588
poly3_cbrt,0.216,0.752,3.511,0.29,1588
poly3_de00_powell,0.789,5.987,28.569,1.596,1588
poly3_de00_nm,0.843,6.127,31.084,1.798,1588
poly3,0.869,7.5,33.07,2.009,1588
svm,0.994,4.731,19.743,1.523,1588
gradient_boost,1.41,5.721,25.21,2.069,1588
mlp_deep,1.633,9.516,29.132,2.866,1588
mlp_shallow,1.879,11.921,27.502,3.221,1588
knn,2.132,5.585,11.064,2.505,1588
random_forest,2.349,4.791,12.587,2.504,1588
decision_tree,4.413,9.098,22.321,4.817,1588
lasso,8.394,23.617,41.195,10.331,1588
ridge,8.443,23.337,41.64,10.37,1588
pcr,8.443,23.337,41.64,10.37,1588
elastic,8.446,23.364,41.816,10.347,1588
plsr,8.476,23.647,41.592,10.428,1588
