dataset,series,protocol,model,median,p95,mean,max,n
PC10-CMYK,colourbill poly (in-sample fit),resubstitution,"poly4 (Lab, IRLS)",,,0.31,2.19,1617
PC10-CMYK,"same poly class, our CV",5-fold CV,"poly4 (Lab, OLS)",0.11,0.38,0.157,2.412,1617
PC10-CMYK,our best model (GP),5-fold CV,gaussian_process (XYZ),0.056,0.454,0.16,7.1,1617
PC11-CMYK,colourbill poly (in-sample fit),resubstitution,"poly4 (Lab, IRLS)",,,0.26,1.64,1617
PC11-CMYK,"same poly class, our CV",5-fold CV,"poly4 (Lab, OLS)",0.111,0.357,0.152,2.39,1617
PC11-CMYK,our best model (GP),5-fold CV,gaussian_process (XYZ),0.056,0.389,0.138,6.22,1617
FOGRA51-CMYK,colourbill poly (in-sample fit),resubstitution,"poly4 (Lab, IRLS)",,,0.34,2.65,1617
FOGRA51-CMYK,"same poly class, our CV",5-fold CV,"poly4 (Lab, OLS)",0.167,0.474,0.216,3.861,1617
FOGRA51-CMYK,our best model (GP),5-fold CV,gaussian_process (XYZ),0.067,0.266,0.116,4.185,1617
CMYKOGV-7,colourbill poly (in-sample fit),resubstitution,"poly4 (Lab, IRLS)",,,0.58,12.37,3302
CMYKOGV-7,"same poly class, our CV",5-fold CV,"poly4 (Lab, OLS)",0.274,1.183,0.443,18.55,3302
CMYKOGV-7,our best model (GP),5-fold CV,gaussian_process (XYZ),0.249,4.497,1.17,49.757,3302
