dataset,model,cv,median,p95,max,mean,n
PC10-CMY,noise_floor,pairs,0.0,0.0,0.0,0.0,23
PC10-CMY,gaussian_process,kfold,0.044,0.162,2.14,0.068,818
PC10-CMY,gaussian_process,grouped,0.044,0.156,2.153,0.067,818
PC10-CMY,poly3,kfold,0.279,0.966,7.695,0.415,818
PC10-CMY,poly3,grouped,0.277,0.968,7.004,0.405,818
PC10-CMYK,noise_floor,pairs,0.0,0.0,0.0,0.0,29
PC10-CMYK,gaussian_process,kfold,0.056,0.454,7.1,0.16,1617
PC10-CMYK,gaussian_process,grouped,0.058,0.432,8.788,0.148,1617
PC10-CMYK,poly3,kfold,0.944,8.154,32.059,2.185,1617
PC10-CMYK,poly3,grouped,0.932,8.078,34.029,2.157,1617
PC11-CMY,noise_floor,pairs,0.0,0.0,0.0,0.0,23
PC11-CMY,gaussian_process,kfold,0.044,0.14,1.773,0.064,818
PC11-CMY,gaussian_process,grouped,0.043,0.14,1.77,0.062,818
PC11-CMY,poly3,kfold,0.244,0.89,7.107,0.368,818
PC11-CMY,poly3,grouped,0.239,0.855,6.593,0.359,818
PC11-CMYK,noise_floor,pairs,0.0,0.0,0.0,0.0,29
PC11-CMYK,gaussian_process,kfold,0.056,0.389,6.22,0.138,1617
PC11-CMYK,gaussian_process,grouped,0.056,0.357,6.286,0.126,1617
PC11-CMYK,poly3,kfold,0.868,7.724,32.223,2.011,1617
PC11-CMYK,poly3,grouped,0.883,7.466,33.619,1.98,1617
FOGRA51-CMY,noise_floor,pairs,0.0,0.0,0.0,0.0,23
FOGRA51-CMY,gaussian_process,kfold,0.056,0.176,0.482,0.07,818
FOGRA51-CMY,gaussian_process,grouped,0.055,0.155,0.473,0.068,818
FOGRA51-CMY,poly3,kfold,0.368,1.163,8.008,0.507,818
FOGRA51-CMY,poly3,grouped,0.365,1.094,7.096,0.492,818
FOGRA51-CMYK,noise_floor,pairs,0.0,0.0,0.0,0.0,29
FOGRA51-CMYK,gaussian_process,kfold,0.067,0.266,4.185,0.116,1617
FOGRA51-CMYK,gaussian_process,grouped,0.067,0.257,2.698,0.108,1617
FOGRA51-CMYK,poly3,kfold,0.822,6.643,28.377,1.793,1617
FOGRA51-CMYK,poly3,grouped,0.817,6.509,28.272,1.765,1617
IFRA-wb-Age_64a_wb-CMYK,noise_floor,pairs,0.798,1.673,2.175,0.783,28
IFRA-wb-Age_64a_wb-CMYK,gaussian_process,kfold,0.755,1.656,6.484,0.837,1485
IFRA-wb-Age_64a_wb-CMYK,gaussian_process,grouped,0.747,1.661,4.824,0.831,1485
IFRA-wb-Age_64a_wb-CMYK,poly3,kfold,1.051,3.191,26.268,1.422,1485
IFRA-wb-Age_64a_wb-CMYK,poly3,grouped,1.048,3.103,22.48,1.398,1485
IFRA-wb-Arena_111_wb-CMYK,noise_floor,pairs,0.72,1.469,4.818,0.87,28
IFRA-wb-Arena_111_wb-CMYK,gaussian_process,kfold,0.82,2.231,5.241,0.975,1485
IFRA-wb-Arena_111_wb-CMYK,gaussian_process,grouped,0.815,2.258,4.998,0.967,1485
IFRA-wb-Arena_111_wb-CMYK,poly3,kfold,0.937,2.905,13.91,1.193,1485
IFRA-wb-Arena_111_wb-CMYK,poly3,grouped,0.936,2.883,14.712,1.182,1485
IFRA-wb-Dnvk_131_wb-CMYK,noise_floor,pairs,1.065,2.835,2.916,1.328,28
IFRA-wb-Dnvk_131_wb-CMYK,gaussian_process,kfold,1.052,2.385,4.422,1.157,1485
IFRA-wb-Dnvk_131_wb-CMYK,gaussian_process,grouped,1.034,2.331,4.41,1.154,1485
IFRA-wb-Dnvk_131_wb-CMYK,poly3,kfold,1.332,3.314,22.508,1.603,1485
IFRA-wb-Dnvk_131_wb-CMYK,poly3,grouped,1.325,3.249,22.531,1.589,1485
