train,test,model,median,p95,max,mean,n
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,poly3,4.461,8.399,20.21,4.717,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,svm,4.359,7.776,12.01,4.565,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Arena_111_wb-CMYK,mlp_deep,4.593,8.022,12.453,4.74,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,1.855,4.343,19.778,2.142,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,1.798,3.725,7.714,1.902,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,2.038,4.752,10.177,2.297,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,5.563,9.352,20.596,5.771,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,5.376,9.313,14.812,5.598,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,5.634,9.37,13.183,5.782,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,poly3,2.721,5.318,20.039,2.974,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,svm,2.626,5.012,9.851,2.813,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,2.889,5.852,11.245,3.125,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,3.463,6.551,20.145,3.718,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,3.448,6.377,9.464,3.56,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,3.637,6.631,10.562,3.812,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,6.994,12.353,20.976,7.196,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,6.852,12.214,15.94,7.027,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,7.007,12.451,18.093,7.256,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,3.79,10.778,22.021,4.541,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,3.638,10.437,19.547,4.358,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,3.93,10.48,19.839,4.596,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,3.736,7.22,21.288,4.0,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,3.659,7.331,11.552,3.891,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,3.834,7.839,12.347,4.143,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,3.382,8.632,25.241,3.957,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,3.413,7.807,22.602,3.864,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,3.607,9.123,25.798,4.18,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,poly3,2.197,4.607,20.705,2.44,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,svm,2.072,4.182,8.098,2.252,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,2.399,5.322,11.978,2.688,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,poly3,2.166,4.444,20.614,2.396,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,svm,2.031,4.075,8.259,2.203,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,2.377,5.176,10.438,2.656,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,poly3,3.321,7.839,19.849,3.732,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,svm,3.132,7.439,15.906,3.573,1485
IFRA-wb-Age_64a_wb-CMYK,IFRA-wb-marca_133_wb-CMYK,mlp_deep,3.347,7.875,13.745,3.764,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,poly3,4.537,7.28,12.849,4.601,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,svm,4.428,7.614,10.831,4.565,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Age_64a_wb-CMYK,mlp_deep,4.672,7.755,12.147,4.741,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,poly3,4.434,7.272,12.832,4.482,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,svm,4.284,7.566,11.36,4.438,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,4.515,7.557,10.125,4.589,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,poly3,2.798,5.34,13.665,2.945,1485
IFRA-wb-Arena_111_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,svm,2.776,5.323,7.441,2.898,1485
