held_out,model,median,p95,max,mean,n
IFRA-wb-Age_64a_wb-CMYK,gaussian_process,2.001,3.957,7.599,2.131,1485
IFRA-wb-Age_64a_wb-CMYK,poly3,2.251,5.318,26.79,2.673,1485
IFRA-wb-Age_64a_wb-CMYK,svm,2.092,4.061,7.821,2.222,1485
IFRA-wb-Age_64a_wb-CMYK,mlp_deep,2.607,7.08,15.682,3.099,1485
IFRA-wb-Arena_111_wb-CMYK,gaussian_process,4.366,8.258,12.025,4.537,1485
IFRA-wb-Arena_111_wb-CMYK,poly3,4.459,9.656,24.998,4.904,1485
IFRA-wb-Arena_111_wb-CMYK,svm,4.732,8.55,12.302,4.859,1485
IFRA-wb-Arena_111_wb-CMYK,mlp_deep,4.467,8.74,13.9,4.749,1485
IFRA-wb-Dnvk_131_wb-CMYK,gaussian_process,1.961,4.094,8.371,2.136,1485
IFRA-wb-Dnvk_131_wb-CMYK,poly3,2.169,5.695,24.801,2.593,1485
IFRA-wb-Dnvk_131_wb-CMYK,svm,2.147,4.006,8.427,2.235,1485
IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,2.373,5.487,9.948,2.645,1485
IFRA-wb-GratN_90_wb-CMYK,gaussian_process,5.553,8.593,10.23,5.367,1485
IFRA-wb-GratN_90_wb-CMYK,poly3,5.912,9.097,25.667,5.793,1485
IFRA-wb-GratN_90_wb-CMYK,svm,5.902,8.844,11.462,5.637,1485
IFRA-wb-GratN_90_wb-CMYK,mlp_deep,6.148,9.265,15.727,5.922,1485
IFRA-wb-Mbd_103a_wb-CMYK,gaussian_process,1.648,3.142,4.619,1.722,1485
IFRA-wb-Mbd_103a_wb-CMYK,poly3,1.962,4.395,24.306,2.26,1485
IFRA-wb-Mbd_103a_wb-CMYK,svm,1.554,3.169,6.224,1.675,1485
IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,2.1,5.312,12.953,2.484,1485
IFRA-wb-NordK_92a_wb-CMYK,gaussian_process,3.448,6.15,8.443,3.589,1485
IFRA-wb-NordK_92a_wb-CMYK,poly3,3.642,6.563,24.84,3.917,1485
IFRA-wb-NordK_92a_wb-CMYK,svm,3.008,5.639,8.061,3.198,1485
IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,3.891,6.976,13.159,4.055,1485
IFRA-wb-PressJ_158_wb-CMYK,gaussian_process,6.461,11.586,14.357,6.606,1485
IFRA-wb-PressJ_158_wb-CMYK,poly3,6.697,11.968,23.88,6.878,1485
IFRA-wb-PressJ_158_wb-CMYK,svm,6.23,11.163,13.776,6.346,1485
IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,6.983,12.14,17.32,7.122,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,gaussian_process,3.03,8.228,14.401,3.692,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,3.301,9.213,23.155,4.063,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,svm,3.151,8.707,14.83,3.886,1485
IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,3.765,9.896,17.18,4.5,1485
IFRA-wb-SudK_99_2_wb-CMYK,gaussian_process,3.402,6.352,11.565,3.558,1485
IFRA-wb-SudK_99_2_wb-CMYK,poly3,3.693,6.549,23.522,3.857,1485
IFRA-wb-SudK_99_2_wb-CMYK,svm,3.068,5.726,10.378,3.183,1485
IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,3.797,7.434,15.395,4.011,1485
IFRA-wb-Sudz_100_wb-CMYK,gaussian_process,2.35,7.914,25.807,3.089,1485
IFRA-wb-Sudz_100_wb-CMYK,poly3,2.453,8.667,25.173,3.289,1485
IFRA-wb-Sudz_100_wb-CMYK,svm,2.286,7.509,22.968,2.967,1485
IFRA-wb-Sudz_100_wb-CMYK,mlp_deep,2.6,9.13,25.736,3.502,1485
IFRA-wb-TagesA_147_2_wb-CMYK,gaussian_process,1.534,3.395,5.406,1.686,1485
IFRA-wb-TagesA_147_2_wb-CMYK,poly3,2.023,4.527,23.967,2.312,1485
IFRA-wb-TagesA_147_2_wb-CMYK,svm,1.347,3.005,5.188,1.497,1485
IFRA-wb-TagesA_147_2_wb-CMYK,mlp_deep,2.365,6.436,18.607,2.809,1485
IFRA-wb-TagesA_147_wb-CMYK,gaussian_process,1.521,3.517,5.796,1.7,1485
IFRA-wb-TagesA_147_wb-CMYK,poly3,1.963,4.508,24.625,2.277,1485
IFRA-wb-TagesA_147_wb-CMYK,svm,1.295,2.89,4.795,1.431,1485
IFRA-wb-TagesA_147_wb-CMYK,mlp_deep,2.149,5.093,11.597,2.411,1485
IFRA-wb-marca_133_wb-CMYK,gaussian_process,3.055,7.119,13.757,3.475,1485
IFRA-wb-marca_133_wb-CMYK,poly3,3.398,8.205,24.713,3.925,1485
IFRA-wb-marca_133_wb-CMYK,svm,3.374,7.601,14.797,3.808,1485
IFRA-wb-marca_133_wb-CMYK,mlp_deep,3.625,8.445,15.371,4.035,1485
