run,model,median,p95,max,mean,n
IFRA-wb-Age_64a_wb-CMYK,poly3,1.051,3.191,26.268,1.422,1485
IFRA-wb-Age_64a_wb-CMYK,ridge,6.612,22.41,38.413,8.52,1485
IFRA-wb-Age_64a_wb-CMYK,lasso,6.576,22.17,38.759,8.466,1485
IFRA-wb-Age_64a_wb-CMYK,elastic,6.603,22.265,38.615,8.486,1485
IFRA-wb-Age_64a_wb-CMYK,pcr,6.612,22.41,38.413,8.52,1485
IFRA-wb-Age_64a_wb-CMYK,plsr,6.781,22.144,38.905,8.632,1485
IFRA-wb-Age_64a_wb-CMYK,knn,1.824,4.211,8.365,2.045,1485
IFRA-wb-Age_64a_wb-CMYK,svm,0.959,3.208,22.988,1.257,1485
IFRA-wb-Age_64a_wb-CMYK,decision_tree,3.476,7.252,11.466,3.695,1485
IFRA-wb-Age_64a_wb-CMYK,random_forest,1.797,3.868,7.381,1.948,1485
IFRA-wb-Age_64a_wb-CMYK,gradient_boost,1.222,3.696,13.957,1.504,1485
IFRA-wb-Age_64a_wb-CMYK,gaussian_process,19.539,26.743,32.014,18.532,1485
IFRA-wb-Age_64a_wb-CMYK,mlp_shallow,1.583,4.923,13.522,2.008,1485
IFRA-wb-Age_64a_wb-CMYK,mlp_deep,1.389,4.28,8.891,1.753,1485
IFRA-wb-Arena_111_wb-CMYK,poly3,0.937,2.905,13.91,1.193,1485
IFRA-wb-Arena_111_wb-CMYK,ridge,5.429,22.032,40.179,7.301,1485
IFRA-wb-Arena_111_wb-CMYK,lasso,5.423,21.755,40.327,7.235,1485
IFRA-wb-Arena_111_wb-CMYK,elastic,5.443,21.948,40.26,7.262,1485
IFRA-wb-Arena_111_wb-CMYK,pcr,5.429,22.032,40.179,7.301,1485
IFRA-wb-Arena_111_wb-CMYK,plsr,5.515,22.134,40.252,7.378,1485
IFRA-wb-Arena_111_wb-CMYK,knn,1.918,4.47,12.828,2.121,1485
IFRA-wb-Arena_111_wb-CMYK,svm,0.896,2.926,8.549,1.157,1485
IFRA-wb-Arena_111_wb-CMYK,decision_tree,3.475,7.285,14.271,3.67,1485
IFRA-wb-Arena_111_wb-CMYK,random_forest,1.817,3.838,6.082,1.947,1485
IFRA-wb-Arena_111_wb-CMYK,gradient_boost,1.445,4.322,24.455,1.786,1485
IFRA-wb-Arena_111_wb-CMYK,gaussian_process,18.702,26.533,28.782,17.828,1485
IFRA-wb-Arena_111_wb-CMYK,mlp_shallow,1.454,4.774,14.694,1.894,1485
IFRA-wb-Arena_111_wb-CMYK,mlp_deep,1.325,4.195,13.978,1.678,1485
IFRA-wb-Dnvk_131_wb-CMYK,poly3,1.332,3.314,22.508,1.603,1485
IFRA-wb-Dnvk_131_wb-CMYK,ridge,6.696,22.726,38.206,8.478,1485
IFRA-wb-Dnvk_131_wb-CMYK,lasso,6.661,22.602,38.537,8.409,1485
IFRA-wb-Dnvk_131_wb-CMYK,elastic,6.683,22.514,38.399,8.434,1485
IFRA-wb-Dnvk_131_wb-CMYK,pcr,6.696,22.726,38.206,8.478,1485
IFRA-wb-Dnvk_131_wb-CMYK,plsr,6.873,22.315,38.64,8.584,1485
IFRA-wb-Dnvk_131_wb-CMYK,knn,2.067,4.391,9.712,2.244,1485
IFRA-wb-Dnvk_131_wb-CMYK,svm,1.253,3.35,10.4,1.48,1485
IFRA-wb-Dnvk_131_wb-CMYK,decision_tree,3.526,7.462,12.841,3.82,1485
IFRA-wb-Dnvk_131_wb-CMYK,random_forest,2.007,4.085,7.017,2.147,1485
IFRA-wb-Dnvk_131_wb-CMYK,gradient_boost,1.556,4.057,10.706,1.812,1485
IFRA-wb-Dnvk_131_wb-CMYK,gaussian_process,19.205,25.501,30.263,18.126,1485
IFRA-wb-Dnvk_131_wb-CMYK,mlp_shallow,1.839,5.069,18.435,2.201,1485
IFRA-wb-Dnvk_131_wb-CMYK,mlp_deep,1.718,4.78,13.505,2.065,1485
IFRA-wb-GratN_90_wb-CMYK,poly3,0.914,2.454,18.347,1.117,1485
IFRA-wb-GratN_90_wb-CMYK,ridge,5.436,21.977,40.808,7.448,1485
IFRA-wb-GratN_90_wb-CMYK,lasso,5.423,21.423,41.058,7.402,1485
IFRA-wb-GratN_90_wb-CMYK,elastic,5.444,21.606,40.953,7.419,1485
IFRA-wb-GratN_90_wb-CMYK,pcr,5.436,21.977,40.808,7.448,1485
IFRA-wb-GratN_90_wb-CMYK,plsr,6.179,22.194,40.815,7.97,1485
IFRA-wb-GratN_90_wb-CMYK,knn,1.73,4.222,7.407,1.956,1485
IFRA-wb-GratN_90_wb-CMYK,svm,0.798,2.413,8.362,1.01,1485
IFRA-wb-GratN_90_wb-CMYK,decision_tree,3.341,7.127,16.014,3.585,1485
IFRA-wb-GratN_90_wb-CMYK,random_forest,1.775,3.805,7.915,1.93,1485
IFRA-wb-GratN_90_wb-CMYK,gradient_boost,1.158,3.314,9.203,1.434,1485
IFRA-wb-GratN_90_wb-CMYK,gaussian_process,18.192,26.044,28.915,17.558,1485
IFRA-wb-GratN_90_wb-CMYK,mlp_shallow,1.459,4.713,17.449,1.875,1485
IFRA-wb-GratN_90_wb-CMYK,mlp_deep,1.292,4.227,19.639,1.668,1485
IFRA-wb-Mbd_103a_wb-CMYK,poly3,1.383,5.042,30.504,1.964,1485
IFRA-wb-Mbd_103a_wb-CMYK,ridge,7.524,23.174,38.125,9.185,1485
IFRA-wb-Mbd_103a_wb-CMYK,lasso,7.499,23.007,38.48,9.119,1485
IFRA-wb-Mbd_103a_wb-CMYK,elastic,7.506,23.037,38.333,9.144,1485
IFRA-wb-Mbd_103a_wb-CMYK,pcr,7.524,23.174,38.125,9.185,1485
IFRA-wb-Mbd_103a_wb-CMYK,plsr,7.817,22.853,38.607,9.323,1485
IFRA-wb-Mbd_103a_wb-CMYK,knn,1.827,4.702,9.481,2.097,1485
IFRA-wb-Mbd_103a_wb-CMYK,svm,0.903,3.053,12.461,1.201,1485
IFRA-wb-Mbd_103a_wb-CMYK,decision_tree,3.022,6.862,12.063,3.335,1485
IFRA-wb-Mbd_103a_wb-CMYK,random_forest,1.56,3.4,6.389,1.689,1485
IFRA-wb-Mbd_103a_wb-CMYK,gradient_boost,1.079,3.586,14.036,1.425,1485
IFRA-wb-Mbd_103a_wb-CMYK,gaussian_process,18.519,27.149,31.447,17.77,1485
IFRA-wb-Mbd_103a_wb-CMYK,mlp_shallow,1.556,4.722,17.005,1.959,1485
IFRA-wb-Mbd_103a_wb-CMYK,mlp_deep,1.514,4.817,12.598,1.932,1485
IFRA-wb-NordK_92a_wb-CMYK,poly3,1.768,5.999,36.789,2.383,1485
IFRA-wb-NordK_92a_wb-CMYK,ridge,8.309,23.493,38.938,9.924,1485
IFRA-wb-NordK_92a_wb-CMYK,lasso,8.239,23.32,37.948,9.846,1485
IFRA-wb-NordK_92a_wb-CMYK,elastic,8.28,23.456,37.85,9.873,1485
IFRA-wb-NordK_92a_wb-CMYK,pcr,8.309,23.493,38.938,9.924,1485
IFRA-wb-NordK_92a_wb-CMYK,plsr,8.392,23.305,38.873,9.957,1485
IFRA-wb-NordK_92a_wb-CMYK,knn,2.107,4.725,10.151,2.324,1485
IFRA-wb-NordK_92a_wb-CMYK,svm,1.154,3.695,12.844,1.464,1485
IFRA-wb-NordK_92a_wb-CMYK,decision_tree,3.448,7.321,16.05,3.632,1485
IFRA-wb-NordK_92a_wb-CMYK,random_forest,1.943,4.096,7.39,2.08,1485
IFRA-wb-NordK_92a_wb-CMYK,gradient_boost,1.384,3.961,16.527,1.73,1485
IFRA-wb-NordK_92a_wb-CMYK,gaussian_process,19.112,25.886,32.721,18.25,1485
IFRA-wb-NordK_92a_wb-CMYK,mlp_shallow,1.803,5.325,16.514,2.256,1485
