dataset,model,seed,median,p95,max,mean,n
PC10-CMY,gaussian_process,0,0.042,0.142,2.141,0.067,818
PC10-CMY,gaussian_process,1,0.043,0.15,2.127,0.067,818
PC10-CMY,gaussian_process,2,0.043,0.157,2.148,0.068,818
PC10-CMY,gaussian_process,3,0.044,0.151,2.038,0.069,818
PC10-CMY,gaussian_process,42,0.044,0.162,2.14,0.068,818
PC10-CMYK,gaussian_process,0,0.055,0.508,12.642,0.167,1617
PC10-CMYK,gaussian_process,1,0.056,0.459,8.106,0.147,1617
PC10-CMYK,gaussian_process,2,0.056,0.482,8.885,0.159,1617
PC10-CMYK,gaussian_process,3,0.056,0.434,9.222,0.147,1617
PC10-CMYK,gaussian_process,42,0.056,0.454,7.1,0.16,1617
PC11-CMY,gaussian_process,0,0.045,0.137,1.778,0.062,818
PC11-CMY,gaussian_process,1,0.045,0.139,1.75,0.062,818
PC11-CMY,gaussian_process,2,0.042,0.138,1.776,0.062,818
PC11-CMY,gaussian_process,3,0.045,0.141,1.766,0.063,818
PC11-CMY,gaussian_process,42,0.044,0.14,1.773,0.064,818
PC11-CMYK,gaussian_process,0,0.054,0.387,6.298,0.133,1617
PC11-CMYK,gaussian_process,1,0.057,0.4,5.06,0.138,1617
PC11-CMYK,gaussian_process,2,0.056,0.412,5.07,0.137,1617
PC11-CMYK,gaussian_process,3,0.056,0.354,5.002,0.124,1617
PC11-CMYK,gaussian_process,42,0.056,0.389,6.22,0.138,1617
FOGRA51-CMY,gaussian_process,0,0.056,0.154,0.605,0.068,818
FOGRA51-CMY,gaussian_process,1,0.057,0.154,0.476,0.068,818
FOGRA51-CMY,gaussian_process,2,0.056,0.151,0.486,0.068,818
FOGRA51-CMY,gaussian_process,3,0.056,0.153,0.47,0.067,818
FOGRA51-CMY,gaussian_process,42,0.056,0.176,0.482,0.07,818
FOGRA51-CMYK,gaussian_process,0,0.067,0.275,4.025,0.112,1617
FOGRA51-CMYK,gaussian_process,1,0.067,0.26,6.419,0.114,1617
FOGRA51-CMYK,gaussian_process,2,0.067,0.262,3.642,0.111,1617
FOGRA51-CMYK,gaussian_process,3,0.067,0.279,4.251,0.12,1617
FOGRA51-CMYK,gaussian_process,42,0.067,0.266,4.185,0.116,1617
