dataset,model,seed,median,p95,max,mean,n
PC10-CMY,poly3,0,0.2751,0.9401,7.2379,0.4068,795
PC10-CMY,poly3,1,0.2703,0.9545,6.4779,0.4014,795
PC10-CMY,poly3,2,0.2701,0.9337,6.0207,0.4,795
PC10-CMY,poly3,3,0.2695,0.9555,7.5603,0.413,795
PC10-CMY,poly3,42,0.2681,0.9819,6.7945,0.4067,795
PC10-CMY,svm,0,0.7506,1.7994,6.0795,0.8648,795
PC10-CMY,svm,1,0.7595,1.813,5.6946,0.8812,795
PC10-CMY,svm,2,0.7736,1.8161,5.9344,0.8871,795
PC10-CMY,svm,3,0.7733,2.0059,6.5467,0.9178,795
PC10-CMY,svm,42,0.7231,1.814,7.4007,0.8818,795
PC10-CMY,gaussian_process,0,0.0455,0.1643,2.1408,0.0706,795
PC10-CMY,gaussian_process,1,0.0475,0.1508,2.2351,0.0707,795
PC10-CMY,gaussian_process,2,0.0457,0.1582,2.064,0.069,795
PC10-CMY,gaussian_process,3,0.0453,0.1623,2.0474,0.0711,795
PC10-CMY,gaussian_process,42,0.0465,0.1525,2.2739,0.0688,795
PC10-CMY,knn,0,1.8882,4.3015,12.0381,2.1835,795
PC10-CMY,knn,1,1.9501,4.2014,11.8232,2.1398,795
PC10-CMY,knn,2,1.9774,4.4466,11.4167,2.1987,795
PC10-CMY,knn,3,1.9845,4.5777,10.6495,2.2243,795
PC10-CMY,knn,42,1.9982,4.2699,13.4659,2.2161,795
PC10-CMY,mlp_deep,0,1.1971,4.5172,12.1929,1.6229,795
PC10-CMY,mlp_deep,1,1.0661,4.1148,19.7355,1.5234,795
PC10-CMY,mlp_deep,2,1.2796,5.2167,12.6183,1.7671,795
PC10-CMY,mlp_deep,3,1.1118,4.3484,18.9246,1.601,795
PC10-CMY,mlp_deep,42,1.0766,3.7295,19.1191,1.4478,795
PC10-CMYK,poly3,0,0.9276,7.9546,32.3022,2.1757,1588
PC10-CMYK,poly3,1,0.9521,8.1095,32.8753,2.1717,1588
PC10-CMYK,poly3,2,0.9414,7.8512,33.5984,2.1697,1588
PC10-CMYK,poly3,3,0.943,8.2019,32.4702,2.1815,1588
PC10-CMYK,poly3,42,0.9419,8.3102,33.9782,2.1838,1588
PC10-CMYK,svm,0,1.0262,5.2872,24.8249,1.6783,1588
PC10-CMYK,svm,1,1.0361,5.3491,22.2235,1.6948,1588
PC10-CMYK,svm,2,1.0257,5.6148,17.2786,1.678,1588
PC10-CMYK,svm,3,1.0056,5.4749,20.9711,1.6467,1588
PC10-CMYK,svm,42,1.0235,5.3229,23.3172,1.6731,1588
PC10-CMYK,gaussian_process,0,0.0568,0.5542,8.8209,0.1728,1588
PC10-CMYK,gaussian_process,1,0.0576,0.4914,8.0863,0.1555,1588
PC10-CMYK,gaussian_process,2,0.0583,0.5154,9.5327,0.1611,1588
