dataset,model,seed,median,p95,max,mean,n
PC10-CMY,poly3,0,0.279,0.984,6.516,0.409,818
PC10-CMY,poly3,1,0.282,0.943,7.285,0.411,818
PC10-CMY,poly3,2,0.276,0.965,6.255,0.408,818
PC10-CMY,poly3,3,0.279,0.975,7.485,0.411,818
PC10-CMY,poly3,42,0.279,0.966,7.695,0.415,818
PC10-CMY,svm,0,0.766,1.745,5.579,0.879,818
PC10-CMY,svm,1,0.772,1.819,6.158,0.899,818
PC10-CMY,svm,2,0.751,1.803,5.439,0.871,818
PC10-CMY,svm,3,0.726,1.912,6.046,0.889,818
PC10-CMY,svm,42,0.75,1.928,5.442,0.896,818
PC10-CMY,gaussian_process,0,0.055,0.166,2.074,0.079,818
PC10-CMY,gaussian_process,1,0.055,0.188,2.067,0.078,818
PC10-CMY,gaussian_process,2,0.052,0.188,2.095,0.078,818
PC10-CMY,gaussian_process,3,0.053,0.193,2.018,0.077,818
PC10-CMY,gaussian_process,42,0.054,0.189,2.061,0.078,818
PC10-CMY,knn,0,1.873,4.19,8.918,2.106,818
PC10-CMY,knn,1,1.864,4.427,8.918,2.146,818
PC10-CMY,knn,2,1.933,4.262,10.092,2.159,818
PC10-CMY,knn,3,1.951,4.371,10.358,2.148,818
PC10-CMY,knn,42,2.006,4.251,8.918,2.183,818
PC10-CMY,mlp_deep,0,1.036,3.673,14.79,1.411,818
PC10-CMY,mlp_deep,1,1.213,4.134,19.314,1.631,818
PC10-CMY,mlp_deep,2,1.076,3.897,12.25,1.467,818
PC10-CMY,mlp_deep,3,1.191,4.369,19.554,1.626,818
PC10-CMY,mlp_deep,42,1.135,3.804,11.954,1.486,818
PC10-CMYK,poly3,0,0.94,8.058,33.954,2.196,1617
PC10-CMYK,poly3,1,0.956,8.154,33.973,2.2,1617
PC10-CMYK,poly3,2,0.939,8.112,31.392,2.174,1617
PC10-CMYK,poly3,3,0.943,8.113,31.579,2.183,1617
PC10-CMYK,poly3,42,0.944,8.154,32.059,2.185,1617
PC10-CMYK,svm,0,1.032,5.648,21.577,1.694,1617
PC10-CMYK,svm,1,1.04,6.316,20.991,1.735,1617
PC10-CMYK,svm,2,1.011,5.506,20.4,1.701,1617
PC10-CMYK,svm,3,0.978,5.038,17.091,1.612,1617
PC10-CMYK,svm,42,1.033,5.661,20.253,1.689,1617
PC10-CMYK,gaussian_process,0,0.062,0.509,11.134,0.164,1617
PC10-CMYK,gaussian_process,1,0.063,0.476,6.102,0.148,1617
PC10-CMYK,gaussian_process,2,0.063,0.511,7.684,0.167,1617
PC10-CMYK,gaussian_process,3,0.063,0.479,6.985,0.153,1617
PC10-CMYK,gaussian_process,42,0.063,0.473,8.37,0.161,1617
PC10-CMYK,knn,0,2.281,6.001,16.266,2.685,1617
PC10-CMYK,knn,1,2.256,5.796,15.273,2.657,1617
PC10-CMYK,knn,2,2.183,5.947,17.059,2.65,1617
PC10-CMYK,knn,3,2.218,5.697,16.266,2.641,1617
PC10-CMYK,knn,42,2.222,5.799,13.515,2.669,1617
PC10-CMYK,mlp_deep,0,1.693,11.051,36.195,3.054,1617
PC10-CMYK,mlp_deep,1,1.701,12.168,35.125,3.107,1617
PC10-CMYK,mlp_deep,2,1.797,12.047,36.167,3.245,1617
PC10-CMYK,mlp_deep,3,1.643,10.929,33.884,3.016,1617
PC10-CMYK,mlp_deep,42,1.679,10.839,33.024,3.093,1617
PC11-CMY,poly3,0,0.236,0.851,6.935,0.362,818
PC11-CMY,poly3,1,0.239,0.821,8.388,0.365,818
PC11-CMY,poly3,2,0.242,0.87,7.381,0.362,818
PC11-CMY,poly3,3,0.241,0.842,8.7,0.365,818
PC11-CMY,poly3,42,0.244,0.89,7.107,0.368,818
PC11-CMY,svm,0,0.695,1.628,4.9,0.795,818
PC11-CMY,svm,1,0.746,1.82,4.865,0.861,818
PC11-CMY,svm,2,0.708,1.756,4.882,0.823,818
PC11-CMY,svm,3,0.701,1.778,4.885,0.824,818
PC11-CMY,svm,42,0.714,1.83,4.863,0.843,818
PC11-CMY,gaussian_process,0,0.055,0.159,1.795,0.071,818
PC11-CMY,gaussian_process,1,0.055,0.157,1.812,0.071,818
PC11-CMY,gaussian_process,2,0.056,0.155,1.818,0.07,818
PC11-CMY,gaussian_process,3,0.053,0.161,1.793,0.071,818
PC11-CMY,gaussian_process,42,0.054,0.16,1.797,0.071,818
PC11-CMY,knn,0,1.807,3.995,6.923,2.023,818
PC11-CMY,knn,1,1.809,4.341,9.321,2.075,818
PC11-CMY,knn,2,1.882,4.126,9.217,2.082,818
PC11-CMY,knn,3,1.882,4.28,10.042,2.069,818
PC11-CMY,knn,42,1.937,4.127,8.852,2.101,818
PC11-CMY,mlp_deep,0,1.088,3.963,20.214,1.471,818
PC11-CMY,mlp_deep,1,1.023,3.517,26.856,1.402,818
PC11-CMY,mlp_deep,2,1.051,4.297,12.79,1.475,818
PC11-CMY,mlp_deep,3,1.014,4.013,23.375,1.456,818
PC11-CMY,mlp_deep,42,1.01,3.547,21.909,1.377,818
PC11-CMYK,poly3,0,0.865,7.504,33.656,2.018,1617
PC11-CMYK,poly3,1,0.876,7.528,32.478,2.021,1617
PC11-CMYK,poly3,2,0.869,7.416,31.206,1.996,1617
PC11-CMYK,poly3,3,0.879,7.223,31.255,1.998,1617
PC11-CMYK,poly3,42,0.868,7.724,32.223,2.011,1617
PC11-CMYK,svm,0,0.992,5.316,16.382,1.542,1617
PC11-CMYK,svm,1,0.998,5.119,19.73,1.549,1617
PC11-CMYK,svm,2,1.009,5.274,16.622,1.599,1617
PC11-CMYK,svm,3,0.98,4.968,15.01,1.486,1617
PC11-CMYK,svm,42,1.003,4.906,15.267,1.546,1617
PC11-CMYK,gaussian_process,0,0.066,0.421,6.289,0.139,1617
PC11-CMYK,gaussian_process,1,0.065,0.423,3.446,0.133,1617
PC11-CMYK,gaussian_process,2,0.067,0.443,4.5,0.137,1617
PC11-CMYK,gaussian_process,3,0.065,0.408,6.439,0.138,1617
PC11-CMYK,gaussian_process,42,0.066,0.435,6.796,0.144,1617
PC11-CMYK,knn,0,2.18,5.544,14.905,2.533,1617
PC11-CMYK,knn,1,2.137,5.483,14.402,2.508,1617
PC11-CMYK,knn,2,2.102,5.583,15.841,2.498,1617
PC11-CMYK,knn,3,2.128,5.299,14.905,2.487,1617
PC11-CMYK,knn,42,2.132,5.51,12.148,2.523,1617
PC11-CMYK,mlp_deep,0,1.513,9.506,34.26,2.711,1617
PC11-CMYK,mlp_deep,1,1.651,11.205,32.308,2.986,1617
PC11-CMYK,mlp_deep,2,1.547,10.565,34.744,2.872,1617
PC11-CMYK,mlp_deep,3,1.76,10.797,38.735,3.126,1617
PC11-CMYK,mlp_deep,42,1.7,11.253,39.363,3.052,1617
FOGRA51-CMY,poly3,0,0.372,1.108,7.775,0.498,818
FOGRA51-CMY,poly3,1,0.369,1.08,6.984,0.496,818
FOGRA51-CMY,poly3,2,0.376,1.106,8.804,0.495,818
FOGRA51-CMY,poly3,3,0.371,1.077,8.194,0.502,818
FOGRA51-CMY,poly3,42,0.368,1.163,8.008,0.507,818
FOGRA51-CMY,svm,0,0.771,1.808,4.665,0.869,818
FOGRA51-CMY,svm,1,0.781,1.771,5.103,0.866,818
FOGRA51-CMY,svm,2,0.792,1.777,5.326,0.898,818
FOGRA51-CMY,svm,3,0.8,1.886,4.676,0.912,818
FOGRA51-CMY,svm,42,0.767,1.864,6.194,0.903,818
FOGRA51-CMY,gaussian_process,0,0.063,0.172,0.612,0.077,818
FOGRA51-CMY,gaussian_process,1,0.065,0.175,0.724,0.078,818
FOGRA51-CMY,gaussian_process,2,0.064,0.172,0.503,0.076,818
FOGRA51-CMY,gaussian_process,3,0.065,0.175,0.711,0.078,818
FOGRA51-CMY,gaussian_process,42,0.065,0.191,0.807,0.08,818
FOGRA51-CMY,knn,0,1.948,4.234,10.973,2.122,818
FOGRA51-CMY,knn,1,1.878,4.229,9.698,2.1,818
