ts_utc	script	protocol	dataset	model	median	p95	max	mean	n	seconds	git_commit	git_dirty	host	os_arch	python	sklearn	numpy	scipy	notes
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-Age_64a_wb-CMYK	gaussian_process	0.755								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-Arena_111_wb-CMYK	gaussian_process	0.820								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-Dnvk_131_wb-CMYK	gaussian_process	1.052								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-GratN_90_wb-CMYK	gaussian_process	0.674								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-Mbd_103a_wb-CMYK	gaussian_process	0.721								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-NordK_92a_wb-CMYK	gaussian_process	0.992								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-PressJ_158_wb-CMYK	gaussian_process	2.141								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-RZPOI_125_2_wb-CMYK	gaussian_process	0.899								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-SudK_99_2_wb-CMYK	gaussian_process	1.172								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
2026-08-12T07:02:31Z	run_ifra.py	ifra-within-run	IFRA-wb-Sudz_100_wb-CMYK	gaussian_process	1.392								colourlab-x86_64		3.12.11	1.7.2	2.3.3	1.16.2	backfilled from remote_gp_ifra.log; ts = log mtime (not per-fit)
