dataset,variant,model,median,p95,max,n
PC10,CMY,poly3,0.28,1.074,7.316,818
PC10,CMY,svm,0.767,2.046,6.172,818
PC10,CMY,knn,1.948,4.245,10.344,818
PC11,CMY,poly3,0.245,0.827,7.543,818
PC11,CMY,svm,0.723,1.803,4.987,818
PC11,CMY,knn,1.881,4.061,10.255,818
FOGRA51,CMY,poly3,0.369,1.097,8.408,818
FOGRA51,CMY,svm,0.789,1.89,5.016,818
FOGRA51,CMY,knn,1.968,4.289,9.905,818
PC10,CMYK,poly3,0.943,8.193,29.35,1617
PC10,CMYK,svm,0.975,5.493,23.1,1617
PC10,CMYK,knn,2.252,5.823,13.871,1617
KCMYG5,native,poly3,1.462,8.437,53.986,2214
KCMYG5,native,svm,1.199,6.694,45.048,2214
KCMYG5,native,knn,1.814,5.195,41.049,2214
CMYKOGV7,native,poly3,5.625,25.834,56.342,3534
CMYKOGV7,native,svm,2.008,11.411,27.246,3534
CMYKOGV7,native,knn,3.451,9.67,26.854,3534
CMYKOGB7,native,poly3,3.326,24.37,52.838,2000
CMYKOGB7,native,svm,1.816,14.093,41.63,2000
CMYKOGB7,native,knn,2.598,8.243,41.446,2000
IFRA_Age64a,CMYK,poly3,1.075,3.313,23.533,1485
IFRA_Age64a,CMYK,svm,0.965,3.234,16.258,1485
IFRA_Age64a,CMYK,knn,1.886,4.194,6.975,1485
IFRA_PressJ158,CMYK,poly3,3.17,10.395,33.863,1485
IFRA_PressJ158,CMYK,svm,2.28,5.738,11.219,1485
IFRA_PressJ158,CMYK,knn,3.214,6.801,12.592,1485
PC10,CMYK,gaussian_process,0.057,0.471,12.724,1617
IFRA_Age64a,CMYK,gaussian_process,0.752,1.695,5.687,1485
PC11,CMY,gaussian_process,0.044,0.14,1.755,818
PC10,CMY,gaussian_process,0.047,0.157,2.093,818
CMYKOGB7,native,gaussian_process,1.257,8.657,47.261,2000
FOGRA51,CMY,gaussian_process,0.058,0.161,0.485,818
CMYKOGV7,native,gaussian_process,0.226,4.855,45.215,3534
IFRA_PressJ158,CMYK,gaussian_process,2.194,5.425,9.982,1485
KCMYG5,native,gaussian_process,0.851,2.326,32.424,2214
