Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev,Algorithm
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.28564569171,0.959731272859,6.59067074429,3.46819870079,1.11031598041,Bayesian
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.28564569171,0.959731272859,6.59067074429,3.46819870079,1.11031598041,Bayesian
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': None, 'min_samples_split': 2, 'random_state': 42}",1.50457328696,1.32577541427,5.90984195118,3.80789651316,1.07603553975,DecisionTree
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': 10, 'min_samples_split': 5, 'random_state': 42}",1.57587292649,1.34070707461,5.90984195118,3.82076720742,1.0783510299,DecisionTree
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': None, 'min_samples_split': 2, 'random_state': 42}",1.50457328696,1.32577541427,5.90984195118,3.80789651316,1.07603553975,DecisionTree
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'random_state': 42}",1.74451269072,1.55035356245,6.46326897404,3.83569011542,1.13419805837,DeepLearning
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'solver': 'sgd', 'random_state': 42}",2.14418081638,1.85166564314,5.72767130355,4.59258803988,1.31495301306,DeepLearning
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'random_state': 42}",1.74451269072,1.55035356245,6.46326897404,3.83569011542,1.13419805837,DeepLearning
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 1.0, 'l1_ratio': 0.5, 'random_state': 42}",3.91143990806,3.74237730796,10.0910458178,7.94144292377,1.92236164699,Elastic
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 0.5, 'l1_ratio': 0.7, 'random_state': 42}",3.91143990806,3.74237730796,10.0910458178,7.94144292377,1.92236164699,Elastic
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 1.0, 'l1_ratio': 0.5, 'random_state': 42}",3.91143990806,3.74237730796,10.0910458178,7.94144292377,1.92236164699,Elastic
"{'model': <class 'sklearn.ensemble._gb.GradientBoostingRegressor'>, 'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",1.35472962692,1.10477433645,5.90857393834,3.38246232723,0.98733207923,GradientBoost
"{'model': <class 'sklearn.ensemble._gb.GradientBoostingRegressor'>, 'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 5, 'random_state': 42}",1.29650865799,0.92619822793,6.0773097121,3.41889172539,1.0409560645,GradientBoost
"{'model': <class 'sklearn.ensemble._gb.GradientBoostingRegressor'>, 'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 5, 'random_state': 42}",1.29650865799,0.92619822793,6.0773097121,3.41889172539,1.0409560645,GradientBoost
"{'model': <class 'sklearn.neighbors._regression.KNeighborsRegressor'>, 'n_neighbors': 5, 'weights': 'uniform'}",1.3004328052,1.01896586292,5.68229920734,3.62840568565,1.06504825374,k_Nearest
"{'model': <class 'sklearn.neighbors._regression.KNeighborsRegressor'>, 'n_neighbors': 10, 'weights': 'distance'}",1.36058018499,1.11256421617,5.90984195118,3.80789651316,1.10360733082,k_Nearest
"{'model': <class 'sklearn.neighbors._regression.KNeighborsRegressor'>, 'n_neighbors': 5, 'weights': 'uniform'}",1.3004328052,1.01896586292,5.68229920734,3.62840568565,1.06504825374,k_Nearest
"{'model': <class 'sklearn.linear_model._coordinate_descent.Lasso'>, 'alpha': 1.0, 'random_state': 42}",3.91143990806,3.74237730796,10.0910458178,7.94144292377,1.92236164699,Lasso
"{'model': <class 'sklearn.linear_model._coordinate_descent.Lasso'>, 'alpha': 0.5, 'random_state': 42}",3.91143990806,3.74237730796,10.0910458178,7.94144292377,1.92236164699,Lasso
"{'model': <class 'sklearn.linear_model._coordinate_descent.Lasso'>, 'alpha': 1.0, 'random_state': 42}",3.91143990806,3.74237730796,10.0910458178,7.94144292377,1.92236164699,Lasso
"{'model': 'PCR', 'n_components': 3}",1.78173864508,1.5606011695,5.21938254206,4.26583727475,1.17013668025,PCR
"{'model': 'PCR', 'n_components': 3}",1.78173864508,1.5606011695,5.21938254206,4.26583727475,1.17013668025,PCR
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 2}",2.96249417449,2.59430272337,7.77268662574,6.54638323633,1.62874027287,PLSRegression
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 3}",1.77984443604,1.55793533645,5.23898523492,4.29039512561,1.1711211421,PLSRegression
"{'model': <class 'sklearn.cross_decomposition._pls.PLSRegression'>, 'n_components': 3}",1.77984443604,1.55793533645,5.23898523492,4.29039512561,1.1711211421,PLSRegression
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 10, 'max_depth': 5, 'random_state': 42}",1.72185488589,1.59765933205,6.23110596441,3.68400629901,1.06001745236,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 50, 'max_depth': 5, 'random_state': 42}",1.73101792175,1.58069546648,6.11792908015,3.63862650908,1.05112642759,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 100, 'max_depth': 10, 'random_state': 42}",1.32624675024,1.04666703071,6.02531907801,3.658636628,1.04738291493,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 200, 'max_depth': 15, 'random_state': 42}",1.31650084052,1.00751271424,5.93369523925,3.68305807196,1.05244698698,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 300, 'max_depth': 20, 'random_state': 42}",1.31567878672,1.00173334921,5.87304501196,3.73156510834,1.05334877119,RandomForestRegressor
"{'model': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'n_estimators': 300, 'max_depth': 20, 'random_state': 42}",1.31567878672,1.00173334921,5.87304501196,3.73156510834,1.05334877119,RandomForestRegressor
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 1.0, 'random_state': 42}",1.78173864508,1.5606011695,5.21938254206,4.26583727475,1.17013668025,RidgeRegression
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 0.5, 'random_state': 42}",1.78077107239,1.56254481227,5.22620125251,4.27807642572,1.17061476175,RidgeRegression
"{'model': <class 'sklearn.linear_model._ridge.Ridge'>, 'alpha': 0.5, 'random_state': 42}",1.78077107239,1.56254481227,5.22620125251,4.27807642572,1.17061476175,RidgeRegression
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'lbfgs', 'max_iter': 1000}",1.5186496789,1.36225275954,6.81943737775,3.67602692142,1.10842036721,SimpleMLP
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'adam', 'max_iter': 1000}",5.64135264158,5.39507961141,11.7080232717,10.4612752839,2.96779469412,SimpleMLP
"{'hidden_layer_sizes': (6,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 1000}",3.48132492657,3.09855409819,8.93630947449,7.38234183371,1.91531548029,SimpleMLP
"{'hidden_layer_sizes': (6,), 'activation': 'tanh', 'solver': 'sgd', 'max_iter': 1000}",4.79099550379,4.4108457262,12.0885206121,8.93839582607,2.52988329457,SimpleMLP
"{'hidden_layer_sizes': (10,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 200}",2.4811354333,1.99407612297,8.25457466377,5.88653977028,1.71576138471,SimpleMLP
"{'hidden_layer_sizes': (50, 30, 10), 'activation': 'tanh', 'solver': 'sgd', 'max_iter': 500}",2.36356878253,2.08069340187,7.63803645651,5.08784264283,1.42240283075,SimpleMLP
"{'hidden_layer_sizes': (10,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 200}",2.4811354333,1.99407612297,8.25457466377,5.88653977028,1.71576138471,SimpleMLP
"{'hidden_layer_sizes': (20, 10), 'activation': 'relu', 'solver': 'adam', 'max_iter': 300}",2.44395134933,2.16754585378,7.81507756774,4.81572844433,1.42840716359,SimpleMLP
"{'hidden_layer_sizes': (30, 20, 10), 'activation': 'relu', 'solver': 'adam', 'max_iter': 400}",1.88611555825,1.60748807071,6.56149088754,4.05801257858,1.1420852107,SimpleMLP
"{'hidden_layer_sizes': (20,), 'activation': 'tanh', 'solver': 'adam', 'max_iter': 200}",1.83341590018,1.64352116511,6.64241551399,4.23226969083,1.1818273665,SimpleMLP
"{'hidden_layer_sizes': (20,), 'activation': 'logistic', 'solver': 'adam', 'max_iter': 200}",5.04100277499,4.77542974127,11.2795300639,8.86270841477,2.57149552607,SimpleMLP
