Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
1.0,13.7228486682,8.75019172209,61.0724924486,43.1463540376,12.7264961797
2.0,8.28263232319,5.73578821206,54.5037157743,23.7127757976,8.52088907223
3.0,7.66445467029,4.84897475912,55.3327140429,22.6974233455,8.54743292264
4.0,7.97032006438,5.58313000361,58.7163114396,22.7318865051,8.40934080028
5.0,7.93920124181,5.63889611442,59.7452618126,23.1722208946,8.33347195908
6.0,8.21610817105,6.17555267725,58.6396585236,22.9528175211,8.23913720014
7.0,8.17496869006,6.23540189938,55.9922762029,21.9245767058,8.10610782687
8.0,7.8160797415,5.47964987964,50.9950120291,22.9259469667,7.90334988619
9.0,7.562938949,5.62167323746,48.7467752989,21.9456678526,7.57335523325
10.0,7.39433326714,5.47475189177,48.2519066332,22.2186896203,7.76321273624
