Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'lbfgs', 'max_iter': 1000}",1.49708233367,1.32143356881,5.21539191546,3.24384973578,0.947648473312
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'adam', 'max_iter': 1000}",5.46545252945,5.1112734734,10.9444583103,9.96409832511,2.75431219614
"{'hidden_layer_sizes': (6,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 1000}",3.82703863015,3.82228004996,8.77820044111,6.99448058484,1.8784211447
"{'hidden_layer_sizes': (6,), 'activation': 'tanh', 'solver': 'sgd', 'max_iter': 1000}",4.71771557706,4.27353330672,10.8485993291,9.07523969509,2.40274158053
"{'hidden_layer_sizes': (10,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 200}",2.55604462901,1.99365512048,8.69101511473,5.79478645986,1.74102746668
"{'hidden_layer_sizes': (50, 30, 10), 'activation': 'tanh', 'solver': 'sgd', 'max_iter': 500}",2.52709041968,2.43855088864,6.13878759686,4.70438520114,1.21055489928
"{'hidden_layer_sizes': (10,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 200}",2.55604462901,1.99365512048,8.69101511473,5.79478645986,1.74102746668
"{'hidden_layer_sizes': (20, 10), 'activation': 'relu', 'solver': 'adam', 'max_iter': 300}",2.39742294804,2.24696463347,6.42546625346,4.7638869561,1.32084782451
"{'hidden_layer_sizes': (30, 20, 10), 'activation': 'relu', 'solver': 'adam', 'max_iter': 400}",1.9034345232,1.66356610919,4.83599577704,3.83160545635,1.0102018541
"{'hidden_layer_sizes': (20,), 'activation': 'tanh', 'solver': 'adam', 'max_iter': 200}",1.91224160165,1.76566794327,4.93209002063,3.94190338812,1.10229977892
"{'hidden_layer_sizes': (20,), 'activation': 'logistic', 'solver': 'adam', 'max_iter': 200}",5.28664266199,5.16661679848,10.7412274466,9.28030631546,2.55778561981
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'sgd', 'max_iter': 500}",3.74930595954,3.39437793465,9.85934160486,7.23449633951,1.84673595601
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'lbfgs', 'max_iter': 1000}",1.5804261577,1.42700857052,4.88433209772,3.56488826749,1.00178693
"{'hidden_layer_sizes': (20,), 'activation': 'relu', 'solver': 'adam', 'max_iter': 1000}",2.75142448329,2.5451421833,8.1267747799,5.83126888381,1.505358035
"{'hidden_layer_sizes': (6,), 'activation': 'logistic', 'solver': 'lbfgs', 'max_iter': 1000}",1.49708233367,1.32143356881,5.21539191546,3.24384973578,0.947648473312
